Sexo	Provincias	Periodo	Total
Total	Total	2021	47.385.107
Total	02 Albacete	2021	386.464
Total	03 Alicante/Alacant	2021	1.881.762
Total	04 Almería	2021	731.792
Total	01 Araba/Álava	2021	333.626
Total	33 Asturias	2021	1.011.792
Total	05 Ávila	2021	158.421
Total	06 Badajoz	2021	669.943
Total	07 Balears, Illes	2021	1.173.008
Total	08 Barcelona	2021	5.714.730
Total	48 Bizkaia	2021	1.154.334
Total	09 Burgos	2021	356.055
Total	10 Cáceres	2021	389.558
Total	11 Cádiz	2021	1.245.960
Total	39 Cantabria	2021	584.507
Total	12 Castellón/Castelló	2021	587.064
Total	13 Ciudad Real	2021	492.591
Total	14 Córdoba	2021	776.789
Total	15 Coruña, A	2021	1.120.134
Total	16 Cuenca	2021	195.516
Total	20 Gipuzkoa	2021	726.033
Total	17 Girona	2021	786.596
Total	18 Granada	2021	921.338
Total	19 Guadalajara	2021	265.588
Total	21 Huelva	2021	525.835
Total	22 Huesca	2021	224.264
Total	23 Jaén	2021	627.190
Total	24 León	2021	451.706
Total	25 Lleida	2021	439.727
Total	27 Lugo	2021	326.013
Total	28 Madrid	2021	6.751.251
Total	29 Málaga	2021	1.695.651
Total	30 Murcia	2021	1.518.486
Total	31 Navarra	2021	661.537
Total	32 Ourense	2021	305.223
Total	34 Palencia	2021	159.123
Total	35 Palmas, Las	2021	1.128.539
Total	36 Pontevedra	2021	944.275
Total	26 Rioja, La	2021	319.796
Total	37 Salamanca	2021	327.338
Total	38 Santa Cruz de Tenerife	2021	1.044.405
Total	40 Segovia	2021	153.663
Total	41 Sevilla	2021	1.947.852
Total	42 Soria	2021	88.747
Total	43 Tarragona	2021	822.309
Total	44 Teruel	2021	134.545
Total	45 Toledo	2021	709.403
Total	46 Valencia/València	2021	2.589.312
Total	47 Valladolid	2021	519.361
Total	49 Zamora	2021	168.725
Total	50 Zaragoza	2021	967.452
Total	51 Ceuta	2021	83.517
Total	52 Melilla	2021	86.261
