"provincias_vec","wave_vec","correlation_vec_temp","p_value_vec_temp","correlation_vec_wind","p_value_vec_wind","correlation_vec_prec","p_value_vec_prec"
"alava","first",-0.466170211020687,7.09662935850484e-08,0.0731443992223448,0.425273611982694,-0.00399516407933965,0.965310292849294
"albacete","first",-0.403028530438281,4.5785810431453e-06,0.042162797537764,0.646104263345113,0.296153599775021,0.000973112190921589
"alicante","first",-0.545545015578837,9.75866209879754e-11,0.0264461307977051,0.773394057443243,0.255525401730101,0.00467342965624338
"almeria","first",-0.418895007885313,2.59618301445747e-06,0.0480254204499705,0.607116505640783,0.294863559506013,0.00124981821726285
"asturias","first",-0.386064529399671,1.22315290407544e-05,-0.222665623161401,0.0140963525354766,-0.0459999735969561,0.616362134835898
"avila","first",-0.227332902277547,0.0121544212386133,0.00738128183096467,0.935956989227824,0.239187658903409,0.00823640331411147
"badajoz","first",-0.327826323782831,0.000241950473066558,-0.0946176899304753,0.301927304852806,0.262755041517799,0.00359529677843172
"baleares","first",-0.443131150073405,5.6354080954269e-07,0.10796719797587,0.246580244776636,0.212263646848612,0.0215857915372102
"barcelona","first",-0.35189041783429,8.10612610375352e-05,-0.0746144094963262,0.417977814858206,0.056752046205619,0.538107808088567
"bizkaia","first",-0.238606313075555,0.00839867419177302,-0.162924335452035,0.0741778038241922,-0.0708204638281989,0.440168483589063
"burgos","first",-0.271483720699706,0.00270538576581983,0.145655834951487,0.112431888299166,0.255984084929082,0.00477262163645435
"caceres","first",-0.358623507291426,5.36539732213647e-05,0.04514069209167,0.622970904406437,0.304826146489782,0.000674934172962291
"cadiz","first",-0.438853615541794,4.77544350160243e-07,0.00612380929882373,0.946849747737964,0.271148106113344,0.00262769059974862
"cantabria","first",-0.308946094750923,0.00078094422287535,-0.0646379474299609,0.492517253918087,-0.173823934968822,0.0631888635227072
"castellon","first",-0.499336588533695,5.54145813495963e-09,-0.065850882970962,0.472991445665255,0.327969081408935,0.000240352751577309
"ceuta","first",-0.149649784036539,0.101359118375869,-0.0288170957349457,0.753701132764692,0.0426636374207265,0.642189047432933
"ciudadReal","first",-0.248131911275185,0.006284226022083,0.0156846636059594,0.864987379554542,0.274837706124425,0.00238224984995904
"cordoba","first",-0.378857803564702,1.82710358193505e-05,-0.0247773175821415,0.787342717734138,0.201955722268073,0.0263241822085924
"coruña","first",-0.391122977291626,9.17656618233834e-06,-0.0571421812814858,0.533581279593755,-0.0190468741092485,0.835728995845304
"cuenca","first",-0.333718958623043,0.000183561578511613,0.0407635897015619,0.65709341544973,0.342096964273506,0.000122759784965123
"gipuzkoa","first",-0.1449532881726,0.112665479998322,0.0285650613901919,0.755787248093269,-0.112231516264363,0.220346082199307
"girona","first",-0.262716318920334,0.00360041951823841,-0.0531433653386359,0.562644215494691,0.0634093303479559,0.489591722846839
"granada","first",-0.409844186750097,1.05897883452682e-05,-0.246925983147895,0.00998656233633299,0.385896233120693,3.71335407318152e-05
"guadalajara","first",-0.332362653398516,0.000195705682002506,0.0496992894733083,0.588264824887983,0.188242238214675,0.038668789824022
"huelva","first",-0.498057985109459,6.14516399995921e-09,-0.0702330839786644,0.44397943435131,0.311183399820864,0.000512457220472196
"huesca","first",0.180410245347,0.144029545023523,-0.0582963712259397,0.639358968713317,0.0345706135157643,0.78121930294571
"jaen","first",-0.116700343595651,0.265275842401884,0.197680434308102,0.0575162818929235,0.195720338882823,0.0600864646426506
"laRioja","first",-0.555735645564969,6.4789423696577e-11,0.285118003755536,0.00175147145942742,0.131179182613436,0.156796581040602
"lasPalmas","first",-0.409921988199709,3.02349054574238e-06,0.0504931341224603,0.582312380339566,0.231433600057367,0.0106456726295547
"leon","first",-0.257673540576834,0.00432629936011932,-0.130115518122277,0.154890189141688,0.209025701799203,0.0213976043500346
"lleida","first",-0.0115132563877876,0.900258042699001,-0.0505120053419447,0.582171217776899,0.0754615978808731,0.410715484116633
"lugo","first",-0.355689391673551,6.23559568088492e-05,-0.00265695621295702,0.976925846067649,0.0397742281191824,0.66490830288536
"madrid","first",-0.386236322983764,1.31838033728564e-05,0.0359660358122485,0.696543528510008,0.314955874829831,0.000458903472490871
"malaga","first",-0.498586070260636,1.42250216920019e-08,-0.0608428703928535,0.51831940343558,0.292555142607282,0.0015100387053051
"melilla","first",-0.481719210919277,4.38516916415669e-08,0.0686622010231183,0.463942283119288,0.264994866116207,0.00404343517368678
"murcia","first",-0.401562717807946,4.99503456735094e-06,0.0525102285392894,0.567314019210809,0.168978989067537,0.0639078403450035
"navarra","first",-0.317053106615632,0.000442700496601517,-0.00251594294644345,0.978335277808976,0.0861595088819114,0.351490303732374
"ourense","first",-0.401923008413484,1.02160689641355e-05,-0.0084602042962205,0.92913368491294,0.0377822175507801,0.69114122965688
"palencia","first",-0.142558157883862,0.118797580679476,-0.12756956058485,0.163195809171436,0.242855282036211,0.00727504782869682
"pontevedra","first",-0.35429175697478,6.6949578084128e-05,0.0430695547530797,0.639023050739582,0.0360848964376438,0.694362539070446
"salamanca","first",-0.214906989594634,0.0179248172839641,-0.185082745824901,0.0421160291345138,0.208290046300284,0.0218702541581231
"santaCruzDeTenerife","first",-0.478230180736776,2.89666022785919e-08,0.112964960021611,0.217326131696991,0.239567292197507,0.00813193728247315
"segovia","first",-0.0838697757150166,0.621644501354309,0.292762743303086,0.0786723674898684,0.158270125106174,0.349483335055512
"sevilla","first",-0.450030448365539,2.07962291733897e-06,0.176585654091609,0.0758272836620183,0.163295384966089,0.101025071320617
"soria","first",-0.336240841683445,0.000162820227192548,-0.0560064758626438,0.541758734704828,0.202256807417773,0.0260961824697842
"tarragona","first",-0.381967988627272,1.53833838657217e-05,-0.0101762757767953,0.91179083231211,0.213148811629154,0.0189078979506029
"teruel","first",-0.411302326852597,2.77931078236715e-06,-0.108711782124537,0.235251957271292,0.0862250366522161,0.347021109807988
"toledo","first",-0.242237699015473,0.012785703140962,0.0841019236091902,0.393667724383513,0.324768697371295,0.000724421973714748
"valencia","first",0.181726383742885,0.268204215836344,0.027034194041345,0.870230832783512,-0.161415571827858,0.326247598369997
"valladolid","first",-0.199148287241165,0.028533164289408,-0.0373958711356966,0.683841115816547,0.180649570785649,0.0473826164439437
"zamora","first",-0.309545687022837,0.000550458217556165,-0.0896296365011439,0.328241766288298,0.187024138161635,0.0399686979789779
"zaragoza","first",-0.303014651441252,0.000808923692128552,-0.0894923869438327,0.333101373393347,0.160151704567449,0.0818841478799583
"alava","second",-0.309027136540272,0.00017310750504076,-0.0191760258139715,0.820174739310393,0.107534457745878,0.201126294617253
"albacete","second",-0.67326580210593,4.3597962874195e-20,-0.312195743569468,0.000155357972983679,0.0984279342830687,0.24386946689776
"alicante","second",-0.764042761293295,1.98060272006345e-28,-0.405658053403396,5.491782154441e-07,0.0677404795276574,0.423127671383583
"almeria","second",-0.475417112598624,7.35524064413019e-09,-0.365986492702486,1.47626312885636e-05,0.205018464584531,0.0179196855790321
"asturias","second",-0.660384090121989,3.87432084509829e-19,0.0852856589670801,0.312901156679417,0.166875651022008,0.0471536386013106
"avila","second",-0.553175000633641,7.81248258237486e-13,-0.126114219156345,0.133389239464348,0.236795300591744,0.00440752088419295
"badajoz","second",-0.716819135672994,7.70740687816452e-24,-0.327601876873915,6.49805369857633e-05,0.318689807130609,0.00010481295001163
"baleares","second",0.0189995369041009,0.825586006901573,0.0731237479682167,0.3957772904217,-0.101662822148274,0.237167868553038
"barcelona","second",-0.515620126720557,5.15285097944187e-11,0.00869037727571721,0.91824518894076,-0.10502309555796,0.213545165991517
"bizkaia","second",-0.291151335780343,0.000418946131451468,-0.094746761003461,0.260336261174729,0.0288785783141225,0.732066366562032
"burgos","second",-0.735442992756588,1.3289492101154e-25,-0.163011029677139,0.0517446901602985,0.152079516251126,0.0697998814727264
"caceres","second",-0.705362312229366,7.99893658153477e-23,-0.202565593200446,0.0152544541891427,0.41153760121834,3.28723624873484e-07
"cadiz","second",-0.726165870950348,1.04721326350165e-24,-0.0679790025275068,0.419833703618166,0.343046599138554,2.73797117507764e-05
