provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AB,2020-01-01,0,albacete,6.2,0.0,0.0,676
AB,2020-01-02,0,albacete,5.7,0.0,0.0,676
AB,2020-01-03,0,albacete,5.6,1.1,0.0,676
AB,2020-01-04,0,albacete,7.0,0.3,0.0,676
AB,2020-01-05,0,albacete,6.6,0.3,0.0,676
AB,2020-01-06,0,albacete,6.9,0.0,0.0,676
AB,2020-01-07,0,albacete,7.0,0.6,0.0,676
AB,2020-01-08,0,albacete,7.0,0.3,0.0,676
AB,2020-01-09,0,albacete,7.1,0.8,0.0,676
AB,2020-01-10,0,albacete,6.8,0.6,0.0,676
AB,2020-01-11,0,albacete,5.8,0.6,0.0,676
AB,2020-01-12,0,albacete,5.3,0.8,0.0,676
AB,2020-01-13,0,albacete,5.0,0.3,0.0,676
AB,2020-01-14,0,albacete,5.6,0.3,0.0,676
AB,2020-01-15,0,albacete,7.4,0.0,0.0,676
AB,2020-01-16,0,albacete,8.6,0.0,0.0,676
AB,2020-01-17,0,albacete,10.0,2.2,0.0,676
AB,2020-01-18,0,albacete,8.3,1.4,2.1,676
AB,2020-01-19,0,albacete,5.2,1.1,6.3,676
AB,2020-01-20,0,albacete,1.8,2.8,16.1,676
AB,2020-01-21,0,albacete,2.8,1.9,15.7,676
AB,2020-01-22,0,albacete,6.0,1.4,0.0,676
AB,2020-01-23,0,albacete,5.8,0.8,0.0,676
AB,2020-01-24,0,albacete,6.4,1.1,0.7,676
AB,2020-01-25,0,albacete,8.6,1.1,1.1,676
AB,2020-01-26,0,albacete,7.0,1.4,0.0,676
AB,2020-01-27,0,albacete,6.2,0.8,0.0,676
AB,2020-01-28,0,albacete,10.6,1.9,0.0,676
AB,2020-01-29,0,albacete,11.2,1.4,0.0,676
AB,2020-01-30,0,albacete,12.0,1.7,0.0,676
AB,2020-01-31,0,albacete,11.4,1.4,0.0,676
AB,2020-02-01,0,albacete,13.0,2.2,0.0,676
AB,2020-02-02,0,albacete,13.0,0.6,0.0,676
AB,2020-02-03,0,albacete,12.6,0.0,0.0,676
AB,2020-02-04,0,albacete,12.3,1.4,0.0,676
AB,2020-02-05,0,albacete,8.5,1.7,0.0,676
AB,2020-02-06,0,albacete,9.9,1.9,0.0,676
AB,2020-02-07,0,albacete,9.6,0.3,0.0,676
AB,2020-02-08,0,albacete,9.3,0.8,0.0,676
AB,2020-02-09,0,albacete,10.6,0.6,0.0,676
AB,2020-02-10,0,albacete,11.4,1.4,0.0,676
AB,2020-02-11,0,albacete,12.8,0.8,0.0,676
AB,2020-02-12,0,albacete,10.6,0.6,0.0,676
AB,2020-02-13,0,albacete,12.2,1.4,0.0,676
AB,2020-02-14,0,albacete,11.2,0.0,0.0,676
AB,2020-02-15,0,albacete,11.2,0.3,0.0,676
AB,2020-02-16,0,albacete,13.1,0.3,0.0,676
AB,2020-02-17,0,albacete,11.4,0.8,0.0,676
AB,2020-02-18,0,albacete,10.4,1.1,0.0,676
AB,2020-02-19,0,albacete,12.2,0.3,0.0,676
AB,2020-02-20,0,albacete,10.6,0.8,0.0,676
AB,2020-02-21,0,albacete,10.5,0.8,0.0,676
AB,2020-02-22,0,albacete,11.6,0.3,0.0,676
AB,2020-02-23,0,albacete,11.9,0.6,0.0,676
AB,2020-02-24,1,albacete,12.2,0.8,0.0,676
AB,2020-02-25,0,albacete,12.4,1.9,0.0,676
AB,2020-02-26,0,albacete,11.3,1.9,0.0,676
AB,2020-02-27,0,albacete,11.1,1.4,0.0,676
AB,2020-02-28,2,albacete,12.8,0.6,0.0,676
AB,2020-02-29,4,albacete,12.8,2.8,0.1,676
AB,2020-03-01,9,albacete,12.6,3.6,0.0,676
AB,2020-03-02,9,albacete,10.0,4.7,3.0,676
AB,2020-03-03,8,albacete,9.9,6.1,0.0,676
AB,2020-03-04,9,albacete,13.4,3.3,0.0,676
AB,2020-03-05,9,albacete,12.4,4.2,0.0,676
AB,2020-03-06,12,albacete,8.8,2.5,0.2,676
AB,2020-03-07,26,albacete,8.4,1.4,0.0,676
AB,2020-03-08,24,albacete,10.8,1.7,0.0,676
AB,2020-03-09,29,albacete,11.9,1.9,0.0,676
AB,2020-03-10,41,albacete,14.9,0.8,0.0,676
AB,2020-03-11,60,albacete,17.8,0.8,0.0,676
AB,2020-03-12,82,albacete,17.6,1.1,0.0,676
AB,2020-03-13,106,albacete,15.8,1.4,0.0,676
AB,2020-03-14,95,albacete,14.2,0.6,0.0,676
AB,2020-03-15,181,albacete,15.8,2.2,3.7,676
AB,2020-03-16,137,albacete,7.2,3.1,2.9,676
AB,2020-03-17,128,albacete,7.4,2.2,0.2,676
AB,2020-03-18,114,albacete,10.9,1.7,0.0,676
AB,2020-03-19,149,albacete,9.0,1.7,0.0,676
