provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
O,2020-01-01,0,asturias,7.4,2.5,0.0,127
O,2020-01-02,0,asturias,7.3,2.8,0.0,127
O,2020-01-03,0,asturias,10.7,2.8,0.7,127
O,2020-01-04,0,asturias,8.4,3.6,2.4,127
O,2020-01-05,0,asturias,8.2,2.5,0.0,127
O,2020-01-06,0,asturias,7.6,3.1,0.0,127
O,2020-01-07,0,asturias,8.8,1.9,0.0,127
O,2020-01-08,0,asturias,13.4,2.8,0.0,127
O,2020-01-09,0,asturias,14.4,7.8,5.5,127
O,2020-01-10,0,asturias,8.2,2.2,0.6,127
O,2020-01-11,0,asturias,7.2,2.8,0.0,127
O,2020-01-12,0,asturias,9.6,2.8,0.0,127
O,2020-01-13,0,asturias,12.4,3.3,0.8,127
O,2020-01-14,0,asturias,13.9,1.9,0.6,127
O,2020-01-15,0,asturias,10.8,5.8,2.4,127
O,2020-01-16,0,asturias,14.4,3.9,5.7,127
O,2020-01-17,0,asturias,9.4,4.2,0.4,127
O,2020-01-18,0,asturias,9.0,3.1,12.2,127
O,2020-01-19,0,asturias,8.6,5.8,0.2,127
O,2020-01-20,0,asturias,7.2,6.4,2.0,127
O,2020-01-21,0,asturias,6.8,4.4,2.0,127
O,2020-01-22,0,asturias,7.0,2.8,11.4,127
O,2020-01-23,0,asturias,7.6,3.1,0.0,127
O,2020-01-24,0,asturias,9.2,2.5,0.2,127
O,2020-01-25,0,asturias,9.0,1.9,0.0,127
O,2020-01-26,0,asturias,10.5,3.9,3.3,127
O,2020-01-27,0,asturias,13.6,5.3,5.1,127
O,2020-01-28,0,asturias,11.4,4.7,4.1,127
O,2020-01-29,0,asturias,12.7,3.6,3.6,127
O,2020-01-30,0,asturias,14.3,2.5,0.5,127
O,2020-01-31,0,asturias,14.4,3.1,5.0,127
O,2020-02-01,0,asturias,17.1,2.2,0.0,127
O,2020-02-02,0,asturias,18.4,2.2,0.0,127
O,2020-02-03,0,asturias,17.8,2.2,0.0,127
O,2020-02-04,0,asturias,11.7,2.5,0.7,127
O,2020-02-05,0,asturias,8.4,5.6,0.0,127
O,2020-02-06,0,asturias,10.5,2.5,0.0,127
O,2020-02-07,0,asturias,12.2,3.3,2.5,127
