provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PM,2020-01-01,0,baleares,14.0,0.8,0.0,57
PM,2020-01-02,0,baleares,15.2,1.4,0.0,57
PM,2020-01-03,0,baleares,13.9,0.6,0.0,57
PM,2020-01-04,0,baleares,14.8,3.3,0.0,57
PM,2020-01-05,0,baleares,14.8,2.5,0.0,57
PM,2020-01-06,0,baleares,12.7,1.7,0.0,57
PM,2020-01-07,0,baleares,14.4,3.9,0.0,57
PM,2020-01-08,0,baleares,14.3,7.8,0.0,57
PM,2020-01-09,0,baleares,14.9,3.3,0.0,57
PM,2020-01-10,0,baleares,12.8,9.2,0.3,57
PM,2020-01-11,0,baleares,12.8,11.9,0.0,57
PM,2020-01-12,0,baleares,12.2,7.8,0.0,57
PM,2020-01-13,0,baleares,13.6,1.1,0.0,57
PM,2020-01-14,0,baleares,13.2,3.3,0.0,57
PM,2020-01-15,0,baleares,14.1,1.7,0.0,57
PM,2020-01-16,0,baleares,14.8,1.4,0.0,57
PM,2020-01-17,0,baleares,15.7,2.5,0.0,57
PM,2020-01-18,0,baleares,13.8,1.4,1.3,57
PM,2020-01-19,0,baleares,11.4,13.3,82.5,57
PM,2020-01-20,0,baleares,12.6,13.1,5.6,57
PM,2020-01-21,0,baleares,13.8,15.8,1.7,57
PM,2020-01-22,0,baleares,15.0,7.8,0.4,57
PM,2020-01-23,0,baleares,15.0,1.4,0.0,57
PM,2020-01-24,0,baleares,14.5,3.6,0.0,57
PM,2020-01-25,0,baleares,14.7,5.6,0.0,57
PM,2020-01-26,0,baleares,14.9,4.4,0.0,57
PM,2020-01-27,0,baleares,14.6,2.2,0.0,57
PM,2020-01-28,0,baleares,17.3,1.4,0.0,57
PM,2020-01-29,1,baleares,17.2,1.1,0.0,57
PM,2020-01-30,0,baleares,16.0,1.1,0.0,57
PM,2020-01-31,0,baleares,16.3,2.8,0.0,57
PM,2020-02-01,0,baleares,16.1,0.6,0.0,57
PM,2020-02-02,0,baleares,18.8,2.2,0.0,57
PM,2020-02-03,0,baleares,17.8,1.4,0.0,57
PM,2020-02-04,0,baleares,18.2,6.4,0.7,57
