provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
B,2020-01-01,0,barcelona,9.7,1.4,0.0,74
B,2020-01-02,0,barcelona,9.4,1.1,0.0,74
B,2020-01-03,0,barcelona,10.4,1.4,0.0,74
B,2020-01-04,0,barcelona,10.9,1.4,0.0,74
B,2020-01-05,0,barcelona,11.2,0.8,0.0,74
B,2020-01-06,0,barcelona,11.3,1.7,0.0,74
B,2020-01-07,0,barcelona,11.8,1.4,0.0,74
B,2020-01-08,0,barcelona,11.9,1.4,0.0,74
B,2020-01-09,0,barcelona,10.5,1.9,5.1,74
B,2020-01-10,1,barcelona,9.4,0.8,4.2,74
B,2020-01-11,0,barcelona,9.4,1.4,0.1,74
B,2020-01-12,0,barcelona,9.1,1.4,0.0,74
B,2020-01-13,0,barcelona,8.4,1.4,0.0,74
B,2020-01-14,0,barcelona,9.8,1.9,0.0,74
B,2020-01-15,0,barcelona,10.8,0.8,0.0,74
B,2020-01-16,0,barcelona,10.4,1.7,0.0,74
B,2020-01-17,0,barcelona,12.8,1.9,0.0,74
B,2020-01-18,0,barcelona,11.8,1.1,0.0,74
B,2020-01-19,0,barcelona,9.5,5.8,0.0,74
B,2020-01-20,0,barcelona,7.4,5.0,70.8,74
B,2020-01-21,0,barcelona,9.3,3.1,91.5,74
B,2020-01-22,0,barcelona,11.4,1.1,9.5,74
B,2020-01-23,0,barcelona,12.2,1.1,0.6,74
B,2020-01-24,0,barcelona,11.2,1.4,0.0,74
B,2020-01-25,0,barcelona,11.5,0.3,0.0,74
B,2020-01-26,0,barcelona,12.2,1.1,0.1,74
B,2020-01-27,0,barcelona,10.6,2.5,0.0,74
B,2020-01-28,0,barcelona,12.7,1.7,0.0,74
B,2020-01-29,0,barcelona,12.2,0.8,0.0,74
B,2020-01-30,0,barcelona,12.8,0.6,0.0,74
B,2020-01-31,0,barcelona,14.6,0.8,0.0,74
B,2020-02-01,7,barcelona,15.1,1.7,0.0,74
B,2020-02-02,0,barcelona,16.0,1.1,0.0,74
B,2020-02-03,1,barcelona,17.2,0.8,0.0,74
B,2020-02-04,4,barcelona,15.3,1.1,0.0,74
B,2020-02-05,1,barcelona,11.2,1.1,0.0,74
B,2020-02-06,0,barcelona,10.6,1.9,0.0,74
B,2020-02-07,2,barcelona,11.0,1.1,0.0,74
B,2020-02-08,0,barcelona,11.6,1.1,0.0,74
B,2020-02-09,1,barcelona,11.6,2.2,0.0,74
B,2020-02-10,3,barcelona,15.7,1.1,0.0,74
B,2020-02-11,3,barcelona,13.6,0.6,1.4,74
B,2020-02-12,6,barcelona,12.0,0.3,0.2,74
B,2020-02-13,5,barcelona,13.2,1.1,0.0,74
B,2020-02-14,1,barcelona,12.9,1.1,0.0,74
B,2020-02-15,12,barcelona,12.2,1.4,0.0,74
B,2020-02-16,2,barcelona,13.4,2.5,0.0,74
B,2020-02-17,1,barcelona,13.6,1.1,1.0,74
B,2020-02-18,5,barcelona,12.0,0.6,0.0,74
B,2020-02-19,1,barcelona,11.8,1.4,0.0,74
B,2020-02-20,11,barcelona,10.8,1.7,0.0,74
B,2020-02-21,15,barcelona,12.0,1.7,0.0,74
