provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BI,2020-01-01,0,bizkaia,8.8,1.9,0.0,42
BI,2020-01-02,0,bizkaia,8.4,2.5,0.0,42
BI,2020-01-03,0,bizkaia,6.8,1.7,1.9,42
BI,2020-01-04,0,bizkaia,8.9,1.1,0.5,42
BI,2020-01-05,0,bizkaia,8.5,1.9,0.0,42
BI,2020-01-06,0,bizkaia,6.9,1.9,0.0,42
BI,2020-01-07,0,bizkaia,11.0,1.7,0.0,42
BI,2020-01-08,0,bizkaia,11.7,1.9,0.0,42
BI,2020-01-09,0,bizkaia,13.6,5.0,8.9,42
BI,2020-01-10,0,bizkaia,9.3,2.2,8.4,42
BI,2020-01-11,0,bizkaia,8.4,2.2,0.1,42
BI,2020-01-12,0,bizkaia,7.4,1.9,0.0,42
BI,2020-01-13,0,bizkaia,9.5,2.5,0.0,42
BI,2020-01-14,0,bizkaia,14.2,4.7,0.0,42
BI,2020-01-15,0,bizkaia,12.8,4.4,0.0,42
BI,2020-01-16,0,bizkaia,16.2,5.6,2.5,42
BI,2020-01-17,0,bizkaia,11.2,1.9,0.9,42
BI,2020-01-18,0,bizkaia,11.0,4.7,18.1,42
BI,2020-01-19,0,bizkaia,8.4,4.7,0.0,42
BI,2020-01-20,0,bizkaia,5.0,2.8,0.0,42
BI,2020-01-21,0,bizkaia,3.7,1.1,0.0,42
BI,2020-01-22,0,bizkaia,7.8,0.8,0.1,42
BI,2020-01-23,0,bizkaia,7.8,2.8,0.0,42
BI,2020-01-24,0,bizkaia,11.8,3.1,0.0,42
BI,2020-01-25,0,bizkaia,11.0,2.8,0.3,42
BI,2020-01-26,0,bizkaia,10.0,2.2,0.1,42
BI,2020-01-27,0,bizkaia,14.5,5.6,0.6,42
BI,2020-01-28,0,bizkaia,10.6,2.8,0.1,42
BI,2020-01-29,0,bizkaia,12.6,3.1,4.2,42
BI,2020-01-30,0,bizkaia,16.4,4.4,0.5,42
BI,2020-01-31,0,bizkaia,16.5,3.1,0.3,42
BI,2020-02-01,0,bizkaia,17.4,1.1,0.0,42
BI,2020-02-02,0,bizkaia,18.6,4.7,0.0,42
BI,2020-02-03,0,bizkaia,18.4,1.9,0.1,42
BI,2020-02-04,0,bizkaia,10.2,3.1,4.3,42
BI,2020-02-05,0,bizkaia,7.6,2.8,0.0,42
BI,2020-02-06,0,bizkaia,10.7,3.9,0.0,42
BI,2020-02-07,0,bizkaia,14.0,3.3,0.0,42
BI,2020-02-08,0,bizkaia,10.8,1.1,2.7,42
BI,2020-02-09,0,bizkaia,13.4,3.6,0.0,42
BI,2020-02-10,0,bizkaia,14.2,1.9,0.1,42
BI,2020-02-11,0,bizkaia,12.2,3.9,1.4,42
BI,2020-02-12,1,bizkaia,12.8,2.2,0.0,42
BI,2020-02-13,0,bizkaia,14.6,4.4,0.0,42
BI,2020-02-14,0,bizkaia,13.4,1.9,0.0,42
BI,2020-02-15,2,bizkaia,13.5,3.6,0.0,42
BI,2020-02-16,1,bizkaia,20.0,4.7,1.7,42
BI,2020-02-17,0,bizkaia,13.0,3.9,2.6,42
BI,2020-02-18,0,bizkaia,9.1,3.1,0.1,42
BI,2020-02-19,0,bizkaia,9.4,1.1,0.0,42
BI,2020-02-20,1,bizkaia,9.8,3.9,0.0,42
BI,2020-02-21,1,bizkaia,11.2,3.1,0.0,42
BI,2020-02-22,3,bizkaia,12.4,1.1,0.0,42
BI,2020-02-23,0,bizkaia,11.0,2.2,0.0,42
BI,2020-02-24,2,bizkaia,10.4,3.1,0.5,42
BI,2020-02-25,2,bizkaia,11.2,3.3,7.4,42
BI,2020-02-26,2,bizkaia,9.6,5.6,9.4,42
BI,2020-02-27,5,bizkaia,12.0,3.6,7.5,42
BI,2020-02-28,6,bizkaia,14.0,2.5,0.0,42
BI,2020-02-29,7,bizkaia,14.4,5.6,0.5,42
BI,2020-03-01,20,bizkaia,12.4,4.7,21.0,42
BI,2020-03-02,13,bizkaia,11.0,7.8,11.5,42
BI,2020-03-03,18,bizkaia,11.6,8.9,5.5,42
BI,2020-03-04,18,bizkaia,14.2,1.7,2.2,42
BI,2020-03-05,26,bizkaia,13.0,11.7,11.4,42
BI,2020-03-06,22,bizkaia,8.2,9.2,29.7,42
BI,2020-03-07,20,bizkaia,9.9,3.3,2.9,42
BI,2020-03-08,43,bizkaia,10.5,3.6,6.3,42
BI,2020-03-09,60,bizkaia,9.9,4.4,3.5,42
BI,2020-03-10,99,bizkaia,10.8,1.9,0.0,42
BI,2020-03-11,111,bizkaia,12.5,3.1,0.0,42
BI,2020-03-12,121,bizkaia,12.8,2.5,2.0,42
BI,2020-03-13,213,bizkaia,9.2,2.2,0.0,42
BI,2020-03-14,199,bizkaia,9.0,2.5,0.0,42
BI,2020-03-15,224,bizkaia,11.6,3.9,23.9,42
BI,2020-03-16,337,bizkaia,9.2,3.9,19.2,42
BI,2020-03-17,304,bizkaia,11.4,1.4,0.0,42
BI,2020-03-18,283,bizkaia,13.0,2.5,0.1,42
BI,2020-03-19,278,bizkaia,16.6,2.2,0.0,42
BI,2020-03-20,314,bizkaia,16.9,5.3,0.0,42
BI,2020-03-21,251,bizkaia,15.8,3.3,0.0,42
BI,2020-03-22,225,bizkaia,12.7,2.2,0.0,42
BI,2020-03-23,264,bizkaia,14.0,1.9,0.0,42
BI,2020-03-24,220,bizkaia,14.5,1.7,0.0,42
BI,2020-03-25,227,bizkaia,10.6,4.2,0.0,42
BI,2020-03-26,192,bizkaia,9.0,5.0,0.0,42
BI,2020-03-27,265,bizkaia,8.2,3.1,0.0,42
BI,2020-03-28,175,bizkaia,10.0,2.2,0.0,42
BI,2020-03-29,141,bizkaia,9.0,3.9,2.4,42
BI,2020-03-30,179,bizkaia,4.6,2.2,5.4,42
BI,2020-03-31,164,bizkaia,5.0,1.7,4.2,42
BI,2020-04-01,162,bizkaia,12.3,3.1,0.7,42
BI,2020-04-02,148,bizkaia,10.2,2.8,0.0,42
BI,2020-04-03,201,bizkaia,8.8,2.8,0.0,42
BI,2020-04-04,141,bizkaia,14.5,5.3,0.0,42
BI,2020-04-05,158,bizkaia,19.3,6.4,1.4,42
BI,2020-04-06,184,bizkaia,14.4,1.4,3.6,42
BI,2020-04-07,171,bizkaia,16.9,3.9,0.0,42
BI,2020-04-08,168,bizkaia,17.1,3.6,0.0,42
BI,2020-04-09,123,bizkaia,19.0,3.1,0.0,42
BI,2020-04-10,120,bizkaia,18.2,1.9,1.7,42
BI,2020-04-11,89,bizkaia,16.1,2.5,5.9,42
BI,2020-04-12,104,bizkaia,18.2,1.4,0.7,42
BI,2020-04-13,85,bizkaia,14.0,3.9,0.0,42
BI,2020-04-14,70,bizkaia,14.6,2.8,0.0,42
BI,2020-04-15,79,bizkaia,17.1,8.1,0.0,42
BI,2020-04-16,80,bizkaia,19.2,5.6,2.0,42
BI,2020-04-17,106,bizkaia,18.4,3.9,2.5,42
BI,2020-04-18,90,bizkaia,15.8,1.9,5.7,42
BI,2020-04-19,35,bizkaia,14.6,3.9,0.0,42
BI,2020-04-20,57,bizkaia,15.8,1.4,0.0,42
BI,2020-04-21,65,bizkaia,13.3,4.2,11.3,42
BI,2020-04-22,40,bizkaia,14.5,2.5,0.0,42
BI,2020-04-23,56,bizkaia,15.8,1.9,0.0,42
BI,2020-04-24,80,bizkaia,17.7,2.5,0.0,42
BI,2020-04-25,35,bizkaia,17.4,3.3,0.0,42
BI,2020-04-26,31,bizkaia,17.6,2.2,5.9,42
BI,2020-04-27,31,bizkaia,14.4,2.2,2.3,42
BI,2020-04-28,34,bizkaia,13.8,2.8,3.3,42
BI,2020-04-29,28,bizkaia,14.7,3.3,0.0,42
BI,2020-04-30,23,bizkaia,16.4,4.2,0.1,42
BI,2020-05-01,23,bizkaia,18.0,3.9,0.9,42
BI,2020-05-02,28,bizkaia,20.1,2.8,0.0,42
BI,2020-05-03,20,bizkaia,20.2,2.5,0.0,42
BI,2020-05-04,18,bizkaia,23.4,5.3,0.0,42
BI,2020-05-05,18,bizkaia,20.0,3.1,0.0,42
BI,2020-05-06,16,bizkaia,17.6,3.3,0.0,42
BI,2020-05-07,9,bizkaia,20.2,2.8,0.1,42
BI,2020-05-08,19,bizkaia,23.2,3.9,16.4,42
BI,2020-05-09,15,bizkaia,20.1,3.6,14.4,42
BI,2020-05-10,14,bizkaia,14.9,6.4,5.8,42
BI,2020-05-11,20,bizkaia,15.4,3.6,0.1,42
BI,2020-05-12,20,bizkaia,12.8,1.7,4.5,42
BI,2020-05-13,19,bizkaia,14.7,2.5,0.1,42
BI,2020-05-14,11,bizkaia,14.1,1.7,0.4,42
BI,2020-05-15,15,bizkaia,12.8,3.3,0.1,42
BI,2020-05-16,8,bizkaia,14.1,5.0,0.0,42
BI,2020-05-17,8,bizkaia,13.8,3.1,0.0,42
BI,2020-05-18,19,bizkaia,15.6,2.5,0.0,42
BI,2020-05-19,8,bizkaia,17.3,3.3,0.0,42
BI,2020-05-20,8,bizkaia,19.6,3.6,0.0,42
BI,2020-05-21,4,bizkaia,21.4,1.9,0.0,42
BI,2020-05-22,7,bizkaia,19.0,3.1,1.8,42
BI,2020-05-23,16,bizkaia,14.6,3.9,2.2,42
BI,2020-05-24,11,bizkaia,15.0,2.8,0.0,42
BI,2020-05-25,6,bizkaia,17.8,3.6,0.0,42
BI,2020-05-26,9,bizkaia,17.3,3.6,0.0,42
BI,2020-05-27,8,bizkaia,18.8,3.9,0.0,42
BI,2020-05-28,6,bizkaia,24.2,4.4,0.0,42
BI,2020-05-29,3,bizkaia,21.4,3.9,0.0,42
BI,2020-05-30,10,bizkaia,22.1,3.3,0.0,42
BI,2020-05-31,6,bizkaia,22.2,3.3,0.0,42
BI,2020-06-01,9,bizkaia,21.2,3.6,0.0,42
BI,2020-06-02,13,bizkaia,21.6,3.9,0.0,42
BI,2020-06-03,4,bizkaia,20.1,3.3,9.1,42
BI,2020-06-04,7,bizkaia,16.0,4.7,24.1,42
BI,2020-06-05,10,bizkaia,17.3,4.7,0.2,42
BI,2020-06-06,12,bizkaia,17.0,3.3,3.2,42
