provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CA,2020-01-01,0,cadiz,14.6,1.4,0.0,2
CA,2020-01-02,0,cadiz,14.2,1.4,0.0,2
CA,2020-01-03,0,cadiz,13.0,3.3,0.0,2
CA,2020-01-04,0,cadiz,11.5,2.8,0.0,2
CA,2020-01-05,0,cadiz,13.7,4.2,0.0,2
CA,2020-01-06,0,cadiz,12.9,1.7,0.0,2
CA,2020-01-07,0,cadiz,13.2,1.9,0.0,2
CA,2020-01-08,0,cadiz,13.0,1.1,0.0,2
CA,2020-01-09,0,cadiz,14.2,2.2,0.0,2
CA,2020-01-10,0,cadiz,12.6,3.3,0.0,2
CA,2020-01-11,0,cadiz,13.1,3.1,0.0,2
CA,2020-01-12,0,cadiz,13.2,2.8,0.0,2
CA,2020-01-13,0,cadiz,13.0,2.2,0.0,2
CA,2020-01-14,0,cadiz,12.8,1.4,0.0,2
CA,2020-01-15,0,cadiz,14.4,3.1,0.0,2
CA,2020-01-16,0,cadiz,14.2,1.4,0.0,2
CA,2020-01-17,0,cadiz,15.0,1.4,0.2,2
CA,2020-01-18,0,cadiz,14.3,2.5,1.6,2
CA,2020-01-19,0,cadiz,13.0,5.8,0.0,2
CA,2020-01-20,0,cadiz,10.0,7.2,0.2,2
CA,2020-01-21,0,cadiz,10.2,4.4,4.5,2
CA,2020-01-22,0,cadiz,11.6,3.9,32.2,2
CA,2020-01-23,0,cadiz,13.0,6.7,7.8,2
CA,2020-01-24,0,cadiz,13.1,5.8,28.1,2
CA,2020-01-25,0,cadiz,13.4,1.1,10.3,2
CA,2020-01-26,0,cadiz,12.8,1.9,0.0,2
CA,2020-01-27,0,cadiz,13.1,0.8,0.0,2
CA,2020-01-28,0,cadiz,14.8,1.1,0.0,2
CA,2020-01-29,0,cadiz,14.2,2.2,0.0,2
CA,2020-01-30,0,cadiz,14.2,0.8,0.1,2
CA,2020-01-31,0,cadiz,14.4,1.7,0.0,2
CA,2020-02-01,0,cadiz,15.6,1.7,0.0,2
CA,2020-02-02,0,cadiz,17.6,2.2,0.0,2
CA,2020-02-03,0,cadiz,16.8,1.9,0.0,2
CA,2020-02-04,0,cadiz,16.8,3.3,0.0,2
