provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
S,2020-01-01,0,cantabria,10.6,1.4,0.0,45
S,2020-01-02,0,cantabria,7.9,1.4,0.1,45
S,2020-01-03,0,cantabria,10.9,2.2,4.8,45
S,2020-01-04,0,cantabria,10.0,1.7,1.5,45
S,2020-01-05,0,cantabria,8.2,3.1,0.0,45
S,2020-01-06,0,cantabria,8.3,1.7,0.0,45
S,2020-01-07,0,cantabria,10.9,2.5,0.0,45
S,2020-01-08,0,cantabria,12.0,0.8,0.0,45
S,2020-01-09,0,cantabria,14.0,5.3,2.5,45
S,2020-01-10,0,cantabria,9.8,4.2,2.5,45
S,2020-01-11,0,cantabria,9.8,1.9,0.0,45
S,2020-01-12,0,cantabria,9.4,1.4,0.0,45
S,2020-01-13,0,cantabria,11.0,3.1,0.0,45
S,2020-01-14,0,cantabria,14.6,10.3,0.0,45
S,2020-01-15,0,cantabria,13.0,3.9,0.0,45
S,2020-01-16,0,cantabria,14.8,5.0,1.5,45
S,2020-01-17,0,cantabria,11.9,4.2,1.0,45
S,2020-01-18,0,cantabria,12.6,6.1,8.7,45
S,2020-01-19,0,cantabria,9.4,6.9,0.0,45
S,2020-01-20,0,cantabria,7.4,3.6,0.0,45
S,2020-01-21,0,cantabria,7.8,2.5,0.0,45
S,2020-01-22,0,cantabria,9.3,1.1,1.2,45
S,2020-01-23,0,cantabria,9.2,1.1,0.0,45
S,2020-01-24,0,cantabria,11.0,2.8,0.0,45
S,2020-01-25,0,cantabria,10.8,1.9,0.0,45
S,2020-01-26,0,cantabria,10.8,2.8,0.0,45
S,2020-01-27,0,cantabria,14.2,5.6,1.9,45
S,2020-01-28,0,cantabria,12.7,3.6,0.0,45
S,2020-01-29,0,cantabria,13.7,1.7,3.2,45
S,2020-01-30,0,cantabria,15.6,3.1,0.0,45
S,2020-01-31,0,cantabria,15.0,0.8,0.6,45
S,2020-02-01,0,cantabria,16.2,1.9,0.0,45
S,2020-02-02,0,cantabria,18.6,2.8,0.0,45
S,2020-02-03,0,cantabria,20.2,4.2,0.2,45
S,2020-02-04,0,cantabria,12.9,3.1,5.5,45
S,2020-02-05,0,cantabria,9.6,4.2,0.0,45
S,2020-02-06,0,cantabria,9.8,1.1,0.0,45
S,2020-02-07,0,cantabria,12.3,1.4,0.0,45
S,2020-02-08,0,cantabria,11.2,0.8,1.3,45
S,2020-02-09,0,cantabria,13.6,5.8,0.0,45
S,2020-02-10,0,cantabria,16.0,1.9,0.0,45
S,2020-02-11,0,cantabria,12.3,3.9,2.7,45
S,2020-02-12,0,cantabria,11.5,2.5,0.0,45
S,2020-02-13,0,cantabria,14.6,3.1,0.0,45
S,2020-02-14,0,cantabria,13.2,1.1,0.0,45
S,2020-02-15,0,cantabria,14.4,2.2,0.0,45
S,2020-02-16,0,cantabria,19.0,10.6,4.2,45
S,2020-02-17,0,cantabria,12.5,4.2,1.8,45
S,2020-02-18,0,cantabria,10.4,2.2,0.4,45
S,2020-02-19,0,cantabria,10.2,1.4,0.0,45
S,2020-02-20,0,cantabria,9.4,3.1,0.0,45
S,2020-02-21,0,cantabria,11.0,2.2,0.1,45
S,2020-02-22,0,cantabria,11.0,3.1,0.0,45
S,2020-02-23,1,cantabria,9.5,0.8,0.0,45
