provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CS,2020-01-01,0,castellon,9.6,1.7,0.0,43
CS,2020-01-02,0,castellon,10.4,1.4,0.0,43
CS,2020-01-03,0,castellon,9.5,1.1,0.0,43
CS,2020-01-04,0,castellon,10.5,1.4,0.0,43
CS,2020-01-05,0,castellon,10.4,1.7,0.0,43
CS,2020-01-06,0,castellon,10.0,1.7,0.0,43
CS,2020-01-07,0,castellon,10.0,1.1,0.0,43
CS,2020-01-08,0,castellon,10.3,1.1,0.0,43
CS,2020-01-09,0,castellon,10.2,1.9,0.0,43
CS,2020-01-10,0,castellon,11.1,1.9,0.0,43
CS,2020-01-11,0,castellon,10.4,1.7,0.0,43
CS,2020-01-12,0,castellon,8.4,1.7,0.0,43
CS,2020-01-13,0,castellon,8.0,1.7,0.0,43
CS,2020-01-14,0,castellon,8.6,1.4,0.0,43
CS,2020-01-15,0,castellon,8.8,1.7,0.0,43
CS,2020-01-16,0,castellon,11.8,1.7,0.0,43
CS,2020-01-17,0,castellon,13.2,4.2,0.0,43
CS,2020-01-18,0,castellon,12.4,1.7,0.6,43
CS,2020-01-19,0,castellon,9.0,3.3,16.4,43
CS,2020-01-20,0,castellon,7.9,8.1,31.2,43
CS,2020-01-21,0,castellon,11.0,3.3,16.0,43
CS,2020-01-22,0,castellon,12.6,2.5,0.8,43
CS,2020-01-23,0,castellon,11.0,1.7,0.0,43
CS,2020-01-24,0,castellon,11.8,1.7,0.0,43
CS,2020-01-25,0,castellon,12.1,1.7,2.0,43
CS,2020-01-26,0,castellon,12.0,1.4,0.0,43
CS,2020-01-27,0,castellon,11.2,2.2,0.0,43
CS,2020-01-28,0,castellon,16.2,2.5,0.0,43
CS,2020-01-29,0,castellon,17.0,1.7,0.0,43
CS,2020-01-30,0,castellon,15.8,1.4,0.0,43
CS,2020-01-31,0,castellon,16.4,1.9,0.0,43
CS,2020-02-01,0,castellon,18.1,2.2,0.0,43
CS,2020-02-02,0,castellon,18.0,1.9,0.0,43
CS,2020-02-03,0,castellon,18.2,1.1,0.0,43
CS,2020-02-04,0,castellon,18.2,2.2,0.0,43
CS,2020-02-05,0,castellon,11.6,1.9,0.0,43
CS,2020-02-06,0,castellon,11.3,2.2,0.0,43
CS,2020-02-07,0,castellon,11.4,0.8,0.0,43
CS,2020-02-08,0,castellon,11.4,1.7,0.0,43
CS,2020-02-09,0,castellon,12.3,1.9,0.0,43
CS,2020-02-10,0,castellon,15.2,1.7,0.0,43
CS,2020-02-11,0,castellon,16.9,1.4,0.0,43
CS,2020-02-12,0,castellon,14.8,1.9,0.0,43
CS,2020-02-13,0,castellon,14.7,1.1,0.0,43
CS,2020-02-14,0,castellon,16.1,1.9,0.0,43
CS,2020-02-15,0,castellon,13.0,1.4,0.0,43
CS,2020-02-16,0,castellon,13.0,1.4,0.0,43
CS,2020-02-17,0,castellon,13.6,1.7,0.0,43
CS,2020-02-18,0,castellon,13.5,1.1,0.0,43
CS,2020-02-19,0,castellon,12.8,2.2,0.0,43
CS,2020-02-20,0,castellon,12.0,2.2,0.0,43
CS,2020-02-21,0,castellon,12.8,1.9,0.0,43
CS,2020-02-22,1,castellon,12.9,1.1,0.0,43
CS,2020-02-23,0,castellon,13.2,1.7,0.0,43
CS,2020-02-24,2,castellon,14.4,1.7,0.0,43
CS,2020-02-25,1,castellon,15.6,1.4,0.0,43
CS,2020-02-26,1,castellon,14.6,1.7,0.0,43
CS,2020-02-27,1,castellon,16.9,2.2,0.0,43
CS,2020-02-28,2,castellon,15.3,1.9,0.0,43
CS,2020-02-29,0,castellon,16.2,3.9,0.0,43
CS,2020-03-01,5,castellon,19.5,5.0,0.0,43
CS,2020-03-02,6,castellon,15.9,6.9,0.0,43
CS,2020-03-03,1,castellon,17.0,5.3,0.0,43
CS,2020-03-04,2,castellon,17.8,1.4,0.0,43
CS,2020-03-05,4,castellon,18.6,4.2,0.0,43
CS,2020-03-06,4,castellon,14.8,3.3,0.0,43
CS,2020-03-07,8,castellon,14.0,1.7,0.0,43
CS,2020-03-08,6,castellon,14.2,1.9,0.0,43
CS,2020-03-09,13,castellon,15.4,1.9,0.0,43
CS,2020-03-10,21,castellon,13.4,0.8,0.0,43
CS,2020-03-11,20,castellon,15.8,1.4,0.0,43
CS,2020-03-12,45,castellon,15.3,1.1,0.0,43
CS,2020-03-13,54,castellon,15.0,1.4,0.0,43
CS,2020-03-14,42,castellon,14.5,1.7,0.0,43
CS,2020-03-15,52,castellon,14.5,2.5,2.0,43
CS,2020-03-16,62,castellon,13.9,1.9,15.4,43
CS,2020-03-17,53,castellon,13.6,2.5,10.0,43
CS,2020-03-18,55,castellon,13.7,1.4,0.0,43
CS,2020-03-19,60,castellon,13.1,1.9,0.0,43
CS,2020-03-20,56,castellon,14.0,2.2,0.0,43
CS,2020-03-21,59,castellon,12.6,1.7,4.0,43
CS,2020-03-22,51,castellon,13.3,1.4,5.4,43
CS,2020-03-23,55,castellon,14.4,2.2,0.6,43
CS,2020-03-24,50,castellon,12.2,3.9,7.6,43
CS,2020-03-25,64,castellon,9.0,1.7,1.0,43
CS,2020-03-26,46,castellon,10.6,2.2,0.0,43
CS,2020-03-27,31,castellon,10.8,2.2,0.0,43
CS,2020-03-28,30,castellon,12.1,2.5,0.0,43
CS,2020-03-29,42,castellon,15.8,2.8,0.0,43
CS,2020-03-30,26,castellon,10.6,1.7,9.4,43
CS,2020-03-31,20,castellon,9.8,3.3,150.0,43
CS,2020-04-01,29,castellon,15.0,3.1,1.6,43
CS,2020-04-02,48,castellon,13.5,1.9,0.2,43
CS,2020-04-03,28,castellon,14.0,2.5,0.0,43
CS,2020-04-04,26,castellon,13.2,2.2,0.0,43
CS,2020-04-05,24,castellon,13.6,2.2,0.0,43
CS,2020-04-06,24,castellon,14.6,2.2,0.0,43
CS,2020-04-07,35,castellon,15.4,1.7,0.4,43
CS,2020-04-08,37,castellon,15.6,2.2,0.0,43
CS,2020-04-09,29,castellon,16.2,2.2,0.0,43
CS,2020-04-10,20,castellon,16.2,1.4,0.0,43
