provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CE,2020-01-01,0,ceuta,14.3,2.5,0.0,87
CE,2020-01-02,0,ceuta,14.1,2.2,0.0,87
CE,2020-01-03,0,ceuta,14.1,1.4,0.0,87
CE,2020-01-04,0,ceuta,12.7,1.9,0.0,87
CE,2020-01-05,0,ceuta,14.6,3.9,0.0,87
CE,2020-01-06,0,ceuta,14.2,3.3,0.0,87
CE,2020-01-07,0,ceuta,14.6,3.6,0.0,87
CE,2020-01-08,0,ceuta,14.1,1.7,0.0,87
CE,2020-01-09,0,ceuta,14.2,2.5,0.0,87
CE,2020-01-10,0,ceuta,13.8,2.8,0.0,87
CE,2020-01-11,0,ceuta,14.0,3.9,0.6,87
CE,2020-01-12,0,ceuta,14.8,3.3,0.0,87
CE,2020-01-13,0,ceuta,13.7,2.2,0.0,87
CE,2020-01-14,0,ceuta,14.0,2.8,0.0,87
CE,2020-01-15,0,ceuta,14.4,1.7,0.0,87
CE,2020-01-16,0,ceuta,14.6,1.4,0.0,87
CE,2020-01-17,0,ceuta,16.2,1.4,0.0,87
CE,2020-01-18,0,ceuta,15.8,2.2,12.8,87
CE,2020-01-19,0,ceuta,13.4,4.2,11.2,87
CE,2020-01-20,0,ceuta,11.1,4.4,12.6,87
CE,2020-01-21,0,ceuta,12.4,1.9,0.6,87
CE,2020-01-22,0,ceuta,11.6,1.4,6.2,87
CE,2020-01-23,0,ceuta,13.5,1.9,6.6,87
CE,2020-01-24,0,ceuta,13.4,1.9,7.0,87
CE,2020-01-25,0,ceuta,13.3,2.5,14.4,87
CE,2020-01-26,0,ceuta,14.4,1.7,0.0,87
CE,2020-01-27,0,ceuta,14.8,1.7,0.0,87
CE,2020-01-28,0,ceuta,16.4,2.5,0.0,87
CE,2020-01-29,0,ceuta,16.6,1.7,0.0,87
CE,2020-01-30,0,ceuta,17.6,2.5,0.0,87
CE,2020-01-31,0,ceuta,17.3,1.9,0.0,87
CE,2020-02-01,0,ceuta,18.6,2.2,0.0,87
CE,2020-02-02,0,ceuta,15.6,2.2,0.0,87
CE,2020-02-03,0,ceuta,16.4,1.9,0.0,87
CE,2020-02-04,0,ceuta,16.6,1.7,0.4,87
CE,2020-02-05,0,ceuta,13.2,3.9,0.0,87
CE,2020-02-06,0,ceuta,14.0,5.6,0.0,87
CE,2020-02-07,0,ceuta,14.7,2.2,0.0,87
CE,2020-02-08,0,ceuta,16.7,1.9,0.0,87
