provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
C,2020-01-01,0,coruña,9.0,1.9,0.0,58
C,2020-01-02,0,coruña,9.3,2.8,0.2,58
C,2020-01-03,0,coruña,11.9,2.5,0.0,58
C,2020-01-04,0,coruña,9.4,0.8,0.0,58
C,2020-01-05,0,coruña,8.2,1.7,0.0,58
C,2020-01-06,0,coruña,10.1,2.5,0.0,58
C,2020-01-07,0,coruña,10.8,2.5,0.0,58
C,2020-01-08,0,coruña,14.0,2.2,0.0,58
C,2020-01-09,0,coruña,12.8,5.8,3.0,58
C,2020-01-10,0,coruña,10.2,2.5,0.0,58
C,2020-01-11,0,coruña,9.2,1.4,0.0,58
C,2020-01-12,0,coruña,9.8,1.4,0.1,58
C,2020-01-13,0,coruña,12.0,6.4,0.0,58
C,2020-01-14,0,coruña,14.8,7.5,7.4,58
C,2020-01-15,0,coruña,13.2,2.2,0.4,58
C,2020-01-16,0,coruña,13.1,3.9,48.2,58
C,2020-01-17,0,coruña,10.8,3.1,0.4,58
C,2020-01-18,0,coruña,12.2,4.2,14.8,58
C,2020-01-19,0,coruña,10.6,8.3,0.0,58
C,2020-01-20,0,coruña,9.5,8.3,0.0,58
C,2020-01-21,0,coruña,9.6,7.8,0.0,58
C,2020-01-22,0,coruña,11.6,7.2,0.8,58
C,2020-01-23,0,coruña,10.2,1.1,0.0,58
C,2020-01-24,0,coruña,11.3,1.4,0.0,58
C,2020-01-25,0,coruña,10.2,1.1,0.0,58
C,2020-01-26,0,coruña,11.4,3.9,4.2,58
C,2020-01-27,0,coruña,13.5,5.8,7.2,58
C,2020-01-28,0,coruña,12.4,1.9,6.8,58
C,2020-01-29,0,coruña,13.6,3.9,18.0,58
C,2020-01-30,0,coruña,15.6,4.7,2.2,58
C,2020-01-31,0,coruña,16.8,4.2,5.6,58
C,2020-02-01,0,coruña,17.2,4.7,0.2,58
C,2020-02-02,0,coruña,18.5,6.7,0.0,58
C,2020-02-03,1,coruña,18.4,4.2,0.0,58
C,2020-02-04,0,coruña,12.6,3.1,0.0,58
C,2020-02-05,0,coruña,11.7,1.9,0.0,58
C,2020-02-06,0,coruña,14.0,2.8,0.0,58
C,2020-02-07,0,coruña,14.5,3.6,0.6,58
C,2020-02-08,0,coruña,12.5,2.5,0.0,58
C,2020-02-09,0,coruña,14.0,7.2,0.2,58
C,2020-02-10,0,coruña,15.0,4.2,0.0,58
