provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CU,2020-01-01,0,cuenca,8.1,0.8,0.0,948
CU,2020-01-02,0,cuenca,7.2,0.3,0.0,948
CU,2020-01-03,0,cuenca,5.4,1.1,0.0,948
CU,2020-01-04,0,cuenca,5.4,0.6,0.0,948
CU,2020-01-05,0,cuenca,6.8,0.3,0.0,948
CU,2020-01-06,0,cuenca,7.8,0.6,0.0,948
CU,2020-01-07,0,cuenca,8.1,1.1,0.0,948
CU,2020-01-08,0,cuenca,8.2,1.1,0.0,948
CU,2020-01-09,0,cuenca,7.3,0.6,0.0,948
CU,2020-01-10,0,cuenca,5.8,1.1,0.0,948
CU,2020-01-11,0,cuenca,4.5,1.4,0.0,948
CU,2020-01-12,0,cuenca,4.6,1.1,0.0,948
CU,2020-01-13,0,cuenca,2.8,0.3,0.0,948
CU,2020-01-14,0,cuenca,3.6,1.1,0.0,948
CU,2020-01-15,0,cuenca,4.5,0.8,0.0,948
CU,2020-01-16,0,cuenca,8.1,1.1,0.0,948
CU,2020-01-17,0,cuenca,7.4,1.9,0.0,948
CU,2020-01-18,0,cuenca,5.0,1.1,2.8,948
CU,2020-01-19,0,cuenca,4.0,2.5,0.0,948
CU,2020-01-20,0,cuenca,3.8,3.1,0.0,948
CU,2020-01-21,0,cuenca,3.7,2.8,15.6,948
CU,2020-01-22,0,cuenca,6.0,1.9,0.0,948
CU,2020-01-23,0,cuenca,3.4,1.9,0.0,948
CU,2020-01-24,0,cuenca,5.8,2.2,0.6,948
CU,2020-01-25,0,cuenca,6.2,1.9,7.2,948
CU,2020-01-26,0,cuenca,6.4,1.7,0.2,948
CU,2020-01-27,0,cuenca,4.0,1.4,0.6,948
CU,2020-01-28,0,cuenca,8.2,1.7,0.2,948
CU,2020-01-29,0,cuenca,10.5,1.7,0.0,948
CU,2020-01-30,0,cuenca,9.3,1.4,0.0,948
CU,2020-01-31,0,cuenca,9.8,1.1,1.4,948
CU,2020-02-01,0,cuenca,11.4,0.8,0.2,948
CU,2020-02-02,0,cuenca,12.4,1.4,0.0,948
CU,2020-02-03,0,cuenca,13.0,0.6,0.0,948
CU,2020-02-04,0,cuenca,11.6,1.7,0.0,948
CU,2020-02-05,0,cuenca,7.8,1.4,0.0,948
CU,2020-02-06,0,cuenca,8.0,1.9,0.0,948
CU,2020-02-07,0,cuenca,7.8,0.6,0.6,948
CU,2020-02-08,0,cuenca,6.8,1.1,0.0,948
CU,2020-02-09,0,cuenca,7.0,0.8,0.0,948
CU,2020-02-10,0,cuenca,10.1,1.7,0.0,948
CU,2020-02-11,0,cuenca,11.0,1.4,0.0,948
CU,2020-02-12,0,cuenca,10.2,1.7,0.0,948
CU,2020-02-13,0,cuenca,9.5,1.1,0.0,948
CU,2020-02-14,0,cuenca,10.9,1.1,0.0,948
CU,2020-02-15,0,cuenca,10.0,0.6,0.0,948
CU,2020-02-16,0,cuenca,10.6,0.8,0.0,948
CU,2020-02-17,0,cuenca,9.3,1.7,0.0,948
CU,2020-02-18,0,cuenca,8.4,1.1,0.0,948
CU,2020-02-19,0,cuenca,9.4,0.8,0.0,948
CU,2020-02-20,0,cuenca,10.0,1.1,0.0,948
CU,2020-02-21,0,cuenca,11.2,1.1,0.0,948
CU,2020-02-22,0,cuenca,11.5,0.6,0.0,948
CU,2020-02-23,0,cuenca,11.4,0.8,0.0,948
CU,2020-02-24,0,cuenca,11.6,1.1,0.0,948
CU,2020-02-25,0,cuenca,9.5,1.7,0.0,948
CU,2020-02-26,0,cuenca,9.5,1.7,0.0,948
CU,2020-02-27,0,cuenca,8.3,1.7,0.0,948
CU,2020-02-28,2,cuenca,10.8,1.1,0.0,948
CU,2020-02-29,2,cuenca,10.2,2.8,0.2,948
CU,2020-03-01,4,cuenca,8.8,3.1,8.4,948
CU,2020-03-02,8,cuenca,6.6,4.2,3.6,948
CU,2020-03-03,11,cuenca,7.2,3.1,0.0,948
CU,2020-03-04,6,cuenca,12.4,1.9,0.0,948
CU,2020-03-05,14,cuenca,9.7,2.8,1.0,948
CU,2020-03-06,10,cuenca,7.2,3.3,0.0,948
