provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GI,2020-01-01,0,girona,6.6,1.9,0.0,143
GI,2020-01-02,0,girona,6.2,2.8,0.0,143
GI,2020-01-03,0,girona,6.6,0.3,0.0,143
GI,2020-01-04,0,girona,7.4,1.1,0.0,143
GI,2020-01-05,0,girona,7.4,1.4,0.0,143
GI,2020-01-06,0,girona,7.4,1.4,0.0,143
GI,2020-01-07,0,girona,7.6,1.7,0.0,143
GI,2020-01-08,0,girona,8.4,2.2,0.0,143
GI,2020-01-09,0,girona,7.2,5.0,8.8,143
GI,2020-01-10,0,girona,8.4,1.4,2.2,143
GI,2020-01-11,0,girona,6.0,2.8,0.0,143
GI,2020-01-12,0,girona,6.2,1.1,0.0,143
GI,2020-01-13,0,girona,4.6,1.1,0.0,143
GI,2020-01-14,0,girona,6.4,4.4,0.0,143
GI,2020-01-15,0,girona,8.7,4.4,0.0,143
GI,2020-01-16,0,girona,7.2,3.3,0.0,143
GI,2020-01-17,0,girona,10.6,1.9,0.0,143
GI,2020-01-18,0,girona,7.2,2.2,0.0,143
GI,2020-01-19,0,girona,8.4,11.9,0.6,143
GI,2020-01-20,0,girona,5.0,10.8,107.6,143
GI,2020-01-21,0,girona,7.3,10.6,67.6,143
GI,2020-01-22,0,girona,11.0,4.2,32.2,143
GI,2020-01-23,0,girona,10.1,2.8,21.7,143
GI,2020-01-24,0,girona,8.6,1.9,0.0,143
GI,2020-01-25,0,girona,8.6,0.8,0.0,143
GI,2020-01-26,0,girona,9.6,1.9,0.0,143
GI,2020-01-27,0,girona,7.6,3.1,0.0,143
GI,2020-01-28,0,girona,10.0,3.1,0.0,143
GI,2020-01-29,0,girona,8.2,1.7,0.0,143
GI,2020-01-30,0,girona,10.7,0.8,0.0,143
GI,2020-01-31,0,girona,12.4,1.7,0.0,143
GI,2020-02-01,0,girona,12.4,1.4,0.0,143
GI,2020-02-02,0,girona,13.6,1.1,0.0,143
GI,2020-02-03,0,girona,15.2,1.7,0.0,143
GI,2020-02-04,0,girona,12.0,3.1,0.0,143
GI,2020-02-05,0,girona,8.9,1.1,0.0,143
GI,2020-02-06,0,girona,7.0,5.3,0.0,143
GI,2020-02-07,0,girona,8.8,3.9,0.0,143
GI,2020-02-08,0,girona,8.4,1.7,0.0,143
GI,2020-02-09,0,girona,8.8,3.6,0.0,143
GI,2020-02-10,0,girona,13.5,1.1,0.0,143
GI,2020-02-11,0,girona,10.2,2.8,5.0,143
