provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GU,2020-01-01,0,guadalajara,6.7,0.6,0.0,721
GU,2020-01-02,0,guadalajara,6.4,1.1,0.0,721
GU,2020-01-03,0,guadalajara,2.6,1.1,0.0,721
GU,2020-01-04,0,guadalajara,7.4,3.6,0.0,721
GU,2020-01-05,0,guadalajara,6.0,1.4,0.0,721
GU,2020-01-06,0,guadalajara,7.2,0.8,0.0,721
GU,2020-01-07,0,guadalajara,7.8,0.8,0.0,721
GU,2020-01-08,0,guadalajara,8.6,1.1,0.0,721
GU,2020-01-09,0,guadalajara,7.6,1.4,0.0,721
GU,2020-01-10,0,guadalajara,6.2,2.5,0.0,721
GU,2020-01-11,0,guadalajara,6.0,1.9,0.0,721
GU,2020-01-12,0,guadalajara,3.5,1.1,0.0,721
GU,2020-01-13,0,guadalajara,3.2,1.4,0.0,721
GU,2020-01-14,0,guadalajara,3.2,1.1,0.0,721
GU,2020-01-15,0,guadalajara,5.8,1.7,0.0,721
GU,2020-01-16,0,guadalajara,10.2,3.1,0.0,721
GU,2020-01-17,0,guadalajara,8.8,2.8,0.0,721
GU,2020-01-18,0,guadalajara,5.2,2.2,2.4,721
GU,2020-01-19,0,guadalajara,5.4,6.4,0.6,721
GU,2020-01-20,0,guadalajara,3.7,8.1,0.0,721
GU,2020-01-21,0,guadalajara,5.2,7.2,2.6,721
GU,2020-01-22,0,guadalajara,6.9,3.1,0.2,721
GU,2020-01-23,0,guadalajara,5.0,1.7,0.0,721
GU,2020-01-24,0,guadalajara,7.2,1.7,2.8,721
GU,2020-01-25,0,guadalajara,7.6,3.3,5.0,721
GU,2020-01-26,0,guadalajara,7.2,1.7,0.0,721
GU,2020-01-27,0,guadalajara,5.5,3.3,0.0,721
GU,2020-01-28,0,guadalajara,10.2,4.7,0.0,721
GU,2020-01-29,0,guadalajara,11.8,3.3,0.0,721
GU,2020-01-30,0,guadalajara,10.0,3.1,0.6,721
GU,2020-01-31,0,guadalajara,12.0,2.5,0.2,721
GU,2020-02-01,0,guadalajara,14.2,3.1,0.0,721
GU,2020-02-02,0,guadalajara,11.0,1.1,0.0,721
GU,2020-02-03,0,guadalajara,12.2,1.4,0.0,721
GU,2020-02-04,0,guadalajara,12.4,1.4,0.0,721
GU,2020-02-05,0,guadalajara,9.8,1.7,0.0,721
GU,2020-02-06,0,guadalajara,8.2,1.1,0.0,721
GU,2020-02-07,0,guadalajara,8.4,1.7,0.0,721
GU,2020-02-08,0,guadalajara,7.8,1.7,0.0,721
GU,2020-02-09,0,guadalajara,8.6,1.4,0.0,721
GU,2020-02-10,0,guadalajara,10.8,1.1,0.0,721
GU,2020-02-11,0,guadalajara,9.2,1.9,0.0,721
GU,2020-02-12,0,guadalajara,10.2,2.2,0.0,721
GU,2020-02-13,0,guadalajara,10.6,1.9,0.0,721
GU,2020-02-14,0,guadalajara,10.4,1.4,0.0,721
GU,2020-02-15,0,guadalajara,9.6,1.7,0.0,721
GU,2020-02-16,0,guadalajara,10.1,2.5,0.0,721
GU,2020-02-17,0,guadalajara,9.6,1.7,0.0,721
GU,2020-02-18,0,guadalajara,9.0,1.7,0.0,721
GU,2020-02-19,0,guadalajara,8.6,1.1,0.0,721
GU,2020-02-20,0,guadalajara,9.6,0.6,0.0,721
GU,2020-02-21,0,guadalajara,11.2,1.1,0.0,721
GU,2020-02-22,0,guadalajara,11.8,0.6,0.0,721
GU,2020-02-23,0,guadalajara,12.4,1.1,0.0,721
GU,2020-02-24,0,guadalajara,11.6,1.7,0.0,721
GU,2020-02-25,0,guadalajara,11.2,1.7,0.0,721
GU,2020-02-26,0,guadalajara,9.3,2.2,0.0,721
GU,2020-02-27,0,guadalajara,11.0,3.3,0.0,721
GU,2020-02-28,2,guadalajara,12.2,1.1,0.0,721
GU,2020-02-29,5,guadalajara,10.7,7.8,0.2,721
GU,2020-03-01,15,guadalajara,10.9,5.8,9.2,721
GU,2020-03-02,7,guadalajara,8.4,4.7,0.4,721
GU,2020-03-03,13,guadalajara,10.0,5.8,0.0,721
GU,2020-03-04,13,guadalajara,14.0,2.8,0.0,721
GU,2020-03-05,9,guadalajara,11.4,3.9,0.4,721
GU,2020-03-06,19,guadalajara,6.9,4.4,0.0,721
GU,2020-03-07,20,guadalajara,8.8,2.2,0.0,721
GU,2020-03-08,23,guadalajara,8.0,1.9,0.0,721
GU,2020-03-09,34,guadalajara,10.4,2.2,0.0,721
GU,2020-03-10,26,guadalajara,13.8,1.4,0.0,721
GU,2020-03-11,26,guadalajara,16.2,1.1,0.0,721
GU,2020-03-12,51,guadalajara,17.0,0.8,0.0,721
GU,2020-03-13,58,guadalajara,16.2,1.9,0.0,721
GU,2020-03-14,71,guadalajara,14.8,1.4,0.0,721
GU,2020-03-15,60,guadalajara,13.8,3.1,27.2,721
GU,2020-03-16,65,guadalajara,7.1,2.2,11.6,721
GU,2020-03-17,64,guadalajara,10.7,3.3,0.0,721
GU,2020-03-18,73,guadalajara,12.6,0.8,0.0,721
GU,2020-03-19,64,guadalajara,13.0,1.1,0.0,721
GU,2020-03-20,79,guadalajara,10.4,1.9,0.0,721
GU,2020-03-21,34,guadalajara,8.7,1.4,3.2,721
GU,2020-03-22,56,guadalajara,9.1,1.9,1.8,721
GU,2020-03-23,58,guadalajara,11.5,2.5,0.4,721
GU,2020-03-24,46,guadalajara,12.0,3.3,0.0,721
GU,2020-03-25,41,guadalajara,11.0,2.8,0.0,721
GU,2020-03-26,33,guadalajara,7.6,1.9,0.0,721
GU,2020-03-27,30,guadalajara,7.4,3.3,0.0,721
GU,2020-03-28,25,guadalajara,8.7,1.4,0.0,721
GU,2020-03-29,21,guadalajara,10.8,1.7,0.0,721
GU,2020-03-30,40,guadalajara,5.0,6.4,6.8,721
GU,2020-03-31,18,guadalajara,6.2,3.6,27.4,721
GU,2020-04-01,40,guadalajara,9.3,1.4,2.0,721
GU,2020-04-02,24,guadalajara,8.4,2.8,0.0,721
GU,2020-04-03,30,guadalajara,10.2,1.1,0.0,721
GU,2020-04-04,21,guadalajara,10.8,3.6,0.0,721
GU,2020-04-05,20,guadalajara,14.6,2.8,1.2,721
GU,2020-04-06,19,guadalajara,14.8,3.3,5.8,721
GU,2020-04-07,21,guadalajara,15.0,1.9,3.8,721
GU,2020-04-08,22,guadalajara,16.2,1.4,0.0,721
GU,2020-04-09,11,guadalajara,14.6,1.1,6.2,721
GU,2020-04-10,22,guadalajara,11.8,2.8,4.6,721
GU,2020-04-11,17,guadalajara,15.0,1.4,0.0,721
GU,2020-04-12,15,guadalajara,15.6,2.8,1.8,721
GU,2020-04-13,16,guadalajara,13.6,1.4,0.0,721
GU,2020-04-14,20,guadalajara,13.2,1.1,3.4,721
GU,2020-04-15,13,guadalajara,12.8,2.8,8.4,721
GU,2020-04-16,16,guadalajara,15.1,4.4,5.2,721
GU,2020-04-17,14,guadalajara,15.2,3.6,0.0,721
GU,2020-04-18,7,guadalajara,15.2,1.4,30.4,721
GU,2020-04-19,7,guadalajara,13.2,3.1,0.0,721
GU,2020-04-20,11,guadalajara,12.3,2.8,0.6,721
GU,2020-04-21,10,guadalajara,10.4,1.9,4.4,721
GU,2020-04-22,5,guadalajara,14.0,1.7,0.0,721
GU,2020-04-23,9,guadalajara,15.2,1.7,0.0,721
GU,2020-04-24,6,guadalajara,17.6,2.5,0.0,721
GU,2020-04-25,6,guadalajara,17.4,3.1,0.0,721
GU,2020-04-26,14,guadalajara,15.6,2.5,0.0,721
GU,2020-04-27,3,guadalajara,12.6,3.6,0.6,721
GU,2020-04-28,21,guadalajara,12.2,3.9,0.0,721
GU,2020-04-29,6,guadalajara,12.4,4.4,0.0,721
GU,2020-04-30,4,guadalajara,14.6,4.7,0.0,721
GU,2020-05-01,7,guadalajara,16.6,4.7,0.0,721
GU,2020-05-02,12,guadalajara,18.6,3.1,0.0,721
GU,2020-05-03,1,guadalajara,19.4,1.1,0.0,721
GU,2020-05-04,5,guadalajara,22.0,2.5,0.0,721
GU,2020-05-05,11,guadalajara,17.6,3.1,0.0,721
GU,2020-05-06,6,guadalajara,16.4,1.7,0.0,721
GU,2020-05-07,2,guadalajara,19.7,3.1,0.0,721
GU,2020-05-08,1,guadalajara,19.6,2.8,0.6,721
GU,2020-05-09,3,guadalajara,18.6,3.9,0.2,721
GU,2020-05-10,3,guadalajara,15.1,4.7,0.0,721
GU,2020-05-11,4,guadalajara,15.0,4.7,0.0,721
GU,2020-05-12,3,guadalajara,13.0,1.7,29.8,721
GU,2020-05-13,6,guadalajara,13.9,3.1,2.4,721
GU,2020-05-14,2,guadalajara,11.8,2.8,1.0,721
GU,2020-05-15,2,guadalajara,14.0,1.9,2.2,721
GU,2020-05-16,0,guadalajara,14.9,3.1,0.0,721
GU,2020-05-17,1,guadalajara,15.2,1.9,0.0,721
GU,2020-05-18,3,guadalajara,17.9,2.2,0.0,721
GU,2020-05-19,3,guadalajara,19.8,1.4,0.0,721
GU,2020-05-20,3,guadalajara,20.8,1.7,0.0,721
GU,2020-05-21,2,guadalajara,21.6,1.9,0.0,721
GU,2020-05-22,7,guadalajara,22.7,2.8,0.0,721
GU,2020-05-23,7,guadalajara,23.8,1.4,0.0,721
GU,2020-05-24,1,guadalajara,22.7,1.9,0.0,721
GU,2020-05-25,6,guadalajara,22.8,2.5,4.8,721
GU,2020-05-26,4,guadalajara,20.0,2.2,4.6,721
GU,2020-05-27,2,guadalajara,22.2,1.9,0.0,721
GU,2020-05-28,0,guadalajara,21.7,1.7,0.0,721
GU,2020-05-29,1,guadalajara,22.3,1.9,0.0,721
GU,2020-05-30,3,guadalajara,23.4,1.7,0.0,721
GU,2020-05-31,3,guadalajara,23.3,1.7,13.2,721
GU,2020-06-01,6,guadalajara,21.3,1.4,0.0,721
GU,2020-06-02,4,guadalajara,22.8,2.2,0.0,721
GU,2020-06-03,8,guadalajara,21.3,3.9,10.0,721
GU,2020-06-04,15,guadalajara,17.3,3.1,0.0,721
GU,2020-06-05,9,guadalajara,18.6,2.2,0.0,721
GU,2020-06-06,5,guadalajara,20.4,4.4,0.0,721
GU,2020-06-07,4,guadalajara,17.6,4.7,0.0,721
GU,2020-06-08,5,guadalajara,15.2,3.3,0.0,721
GU,2020-06-09,5,guadalajara,15.4,2.8,0.0,721
