provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
H,2020-01-01,0,huelva,12.0,1.7,0.0,572
H,2020-01-02,0,huelva,10.0,1.4,0.0,572
H,2020-01-03,0,huelva,10.0,1.4,0.0,572
H,2020-01-04,0,huelva,10.2,2.8,0.0,572
H,2020-01-05,0,huelva,10.6,1.4,0.0,572
H,2020-01-06,0,huelva,10.7,1.9,0.0,572
H,2020-01-07,0,huelva,12.8,1.1,0.0,572
H,2020-01-08,0,huelva,13.7,1.4,0.0,572
H,2020-01-09,0,huelva,10.5,2.2,0.0,572
H,2020-01-10,0,huelva,8.4,1.9,0.0,572
H,2020-01-11,0,huelva,9.8,2.5,0.0,572
H,2020-01-12,0,huelva,9.8,2.5,0.0,572
H,2020-01-13,0,huelva,8.5,1.7,0.0,572
H,2020-01-14,0,huelva,7.4,1.4,0.0,572
H,2020-01-15,0,huelva,9.0,1.1,16.2,572
H,2020-01-16,0,huelva,12.0,3.1,3.4,572
H,2020-01-17,0,huelva,10.8,1.4,0.4,572
H,2020-01-18,0,huelva,11.3,1.4,27.4,572
H,2020-01-19,0,huelva,9.2,4.4,0.0,572
H,2020-01-20,0,huelva,5.8,7.5,0.0,572
H,2020-01-21,0,huelva,6.7,5.3,0.4,572
H,2020-01-22,0,huelva,6.0,2.5,20.6,572
H,2020-01-23,0,huelva,7.0,2.8,10.2,572
H,2020-01-24,0,huelva,7.9,2.5,15.8,572
H,2020-01-25,0,huelva,8.2,1.1,6.6,572
H,2020-01-26,0,huelva,9.2,2.2,0.0,572
H,2020-01-27,0,huelva,8.0,1.9,0.8,572
H,2020-01-28,0,huelva,10.4,1.1,0.2,572
H,2020-01-29,0,huelva,11.2,1.1,0.0,572
H,2020-01-30,0,huelva,10.4,1.4,0.2,572
H,2020-01-31,0,huelva,11.6,1.1,0.4,572
H,2020-02-01,0,huelva,14.2,1.9,0.2,572
H,2020-02-02,0,huelva,16.4,2.2,0.0,572
H,2020-02-03,0,huelva,17.4,2.2,0.0,572
H,2020-02-04,0,huelva,18.1,3.3,0.0,572
H,2020-02-05,0,huelva,15.6,1.7,0.0,572
H,2020-02-06,0,huelva,12.2,2.8,0.0,572
H,2020-02-07,0,huelva,10.8,0.8,0.0,572
H,2020-02-08,0,huelva,10.8,1.1,1.0,572
H,2020-02-09,0,huelva,12.6,1.4,0.0,572
H,2020-02-10,0,huelva,14.6,1.7,0.0,572
H,2020-02-11,0,huelva,15.4,2.2,0.0,572
H,2020-02-12,0,huelva,11.6,1.1,0.0,572
H,2020-02-13,0,huelva,11.2,1.4,0.0,572
H,2020-02-14,0,huelva,14.2,1.4,0.0,572
H,2020-02-15,0,huelva,14.0,1.9,0.0,572
H,2020-02-16,0,huelva,14.4,1.9,0.0,572
H,2020-02-17,0,huelva,13.2,3.6,0.0,572
H,2020-02-18,0,huelva,14.2,4.7,0.0,572
H,2020-02-19,0,huelva,14.7,1.9,0.0,572
H,2020-02-20,0,huelva,14.0,2.5,0.0,572
H,2020-02-21,0,huelva,15.7,1.7,0.0,572
H,2020-02-22,0,huelva,16.6,2.2,0.0,572
H,2020-02-23,0,huelva,17.6,3.1,0.0,572
H,2020-02-24,1,huelva,17.4,3.1,0.0,572
H,2020-02-25,0,huelva,12.4,2.5,0.0,572
H,2020-02-26,0,huelva,10.6,3.9,0.0,572
H,2020-02-27,0,huelva,13.4,3.3,0.0,572
H,2020-02-28,0,huelva,14.6,2.2,0.0,572
H,2020-02-29,0,huelva,9.2,2.2,7.4,572
H,2020-03-01,0,huelva,11.2,3.1,4.0,572
H,2020-03-02,1,huelva,11.4,3.6,0.4,572
H,2020-03-03,1,huelva,11.2,3.9,0.2,572
H,2020-03-04,0,huelva,13.5,2.2,0.0,572
H,2020-03-05,1,huelva,11.6,2.5,0.2,572
H,2020-03-06,2,huelva,10.8,4.7,0.0,572
H,2020-03-07,3,huelva,12.8,2.5,0.0,572
H,2020-03-08,1,huelva,14.4,1.9,0.0,572
H,2020-03-09,2,huelva,14.6,5.0,0.0,572
H,2020-03-10,2,huelva,20.2,2.5,0.0,572
H,2020-03-11,9,huelva,20.7,2.5,0.0,572
H,2020-03-12,10,huelva,15.9,1.4,0.0,572
H,2020-03-13,14,huelva,17.2,3.1,0.0,572
H,2020-03-14,11,huelva,15.6,1.9,0.0,572
H,2020-03-15,10,huelva,14.0,2.2,0.0,572
H,2020-03-16,19,huelva,7.8,5.0,4.4,572
H,2020-03-17,11,huelva,9.1,3.1,1.8,572
H,2020-03-18,22,huelva,16.8,3.9,0.0,572
H,2020-03-19,17,huelva,14.3,3.1,0.0,572
H,2020-03-20,26,huelva,10.6,1.7,30.6,572
H,2020-03-21,18,huelva,8.0,1.9,15.8,572
H,2020-03-22,14,huelva,9.8,1.4,0.0,572
H,2020-03-23,13,huelva,11.8,2.5,0.4,572
H,2020-03-24,8,huelva,12.4,3.1,0.0,572
H,2020-03-25,18,huelva,13.2,2.8,0.8,572
H,2020-03-26,12,huelva,12.7,2.8,0.2,572
H,2020-03-27,15,huelva,10.7,2.8,0.0,572
H,2020-03-28,14,huelva,11.6,1.7,0.0,572
H,2020-03-29,11,huelva,12.2,1.9,0.0,572
H,2020-03-30,10,huelva,10.6,1.7,41.6,572
H,2020-03-31,19,huelva,9.5,2.2,7.2,572
H,2020-04-01,11,huelva,7.1,2.5,6.8,572
H,2020-04-02,8,huelva,9.8,3.3,0.2,572
H,2020-04-03,7,huelva,14.8,1.9,0.0,572
H,2020-04-04,10,huelva,11.8,3.1,0.0,572
H,2020-04-05,2,huelva,12.4,2.8,16.2,572
H,2020-04-06,5,huelva,13.0,2.5,2.6,572
H,2020-04-07,11,huelva,13.5,1.4,0.4,572
H,2020-04-08,4,huelva,15.4,1.4,0.4,572
H,2020-04-09,3,huelva,13.6,0.8,4.4,572
H,2020-04-10,3,huelva,16.2,1.1,0.6,572
H,2020-04-11,5,huelva,16.8,2.2,0.0,572
H,2020-04-12,0,huelva,15.5,1.7,0.0,572
H,2020-04-13,4,huelva,14.6,3.1,0.0,572
H,2020-04-14,4,huelva,13.2,3.9,28.8,572
H,2020-04-15,4,huelva,11.8,5.0,11.6,572
H,2020-04-16,5,huelva,12.6,5.0,3.6,572
H,2020-04-17,3,huelva,13.4,2.8,3.6,572
H,2020-04-18,0,huelva,15.0,2.8,0.0,572
H,2020-04-19,2,huelva,13.8,6.4,0.0,572
H,2020-04-20,2,huelva,11.8,3.9,14.2,572
H,2020-04-21,1,huelva,12.2,3.1,0.2,572
H,2020-04-22,1,huelva,14.2,2.8,0.0,572
H,2020-04-23,0,huelva,16.0,2.2,0.0,572
H,2020-04-24,1,huelva,16.4,1.9,11.0,572
H,2020-04-25,0,huelva,14.3,1.7,0.2,572
H,2020-04-26,0,huelva,13.4,4.2,0.4,572
H,2020-04-27,1,huelva,13.4,1.1,4.8,572
H,2020-04-28,0,huelva,14.2,2.8,0.0,572
H,2020-04-29,0,huelva,15.1,2.2,0.2,572
H,2020-04-30,0,huelva,15.4,3.6,0.0,572
H,2020-05-01,0,huelva,17.6,3.3,0.0,572
H,2020-05-02,0,huelva,20.4,1.4,0.0,572
H,2020-05-03,0,huelva,24.0,3.3,0.0,572
H,2020-05-04,0,huelva,19.4,3.3,0.0,572
H,2020-05-05,0,huelva,17.8,3.3,0.0,572
H,2020-05-06,0,huelva,18.8,3.6,0.0,572
H,2020-05-07,0,huelva,21.2,2.5,0.0,572
H,2020-05-08,0,huelva,17.8,3.9,0.0,572
H,2020-05-09,0,huelva,14.6,3.1,19.2,572
H,2020-05-10,0,huelva,13.2,2.8,12.4,572
H,2020-05-11,1,huelva,14.6,5.0,0.8,572
H,2020-05-12,0,huelva,13.0,0.8,21.8,572
H,2020-05-13,0,huelva,12.5,2.5,6.8,572
H,2020-05-14,0,huelva,11.2,4.2,14.0,572
H,2020-05-15,0,huelva,14.4,1.7,0.6,572
H,2020-05-16,0,huelva,15.5,1.9,0.0,572
H,2020-05-17,0,huelva,17.3,1.7,0.0,572
H,2020-05-18,1,huelva,19.6,1.9,0.0,572
H,2020-05-19,0,huelva,23.0,1.9,0.0,572
H,2020-05-20,0,huelva,24.2,2.5,0.0,572
H,2020-05-21,1,huelva,24.8,1.1,0.0,572
H,2020-05-22,0,huelva,25.0,1.7,0.0,572
H,2020-05-23,0,huelva,27.0,2.5,0.0,572
H,2020-05-24,0,huelva,25.6,1.4,0.0,572
H,2020-05-25,0,huelva,23.8,1.4,0.0,572
H,2020-05-26,0,huelva,23.2,2.5,0.0,572
H,2020-05-27,0,huelva,22.7,3.6,0.0,572
H,2020-05-28,0,huelva,23.4,1.7,0.0,572
H,2020-05-29,1,huelva,23.3,1.9,0.0,572
H,2020-05-30,0,huelva,23.2,1.7,0.0,572
H,2020-05-31,1,huelva,21.8,3.3,0.0,572
H,2020-06-01,2,huelva,17.6,2.8,0.0,572
H,2020-06-02,0,huelva,19.4,2.2,0.0,572
H,2020-06-03,0,huelva,21.6,2.8,0.0,572
H,2020-06-04,0,huelva,18.5,3.1,1.8,572
H,2020-06-05,0,huelva,18.8,3.1,0.0,572
H,2020-06-06,0,huelva,19.6,2.5,0.0,572
H,2020-06-07,0,huelva,17.1,4.2,0.0,572
H,2020-06-08,0,huelva,16.6,3.9,0.0,572
H,2020-06-09,0,huelva,20.9,5.0,0.0,572
H,2020-06-10,0,huelva,21.8,4.2,0.0,572
H,2020-06-11,0,huelva,17.0,3.3,0.0,572
H,2020-06-12,0,huelva,15.5,2.8,0.0,572
H,2020-06-13,0,huelva,16.4,3.3,0.0,572
H,2020-06-14,0,huelva,20.0,3.9,0.0,572
H,2020-06-15,0,huelva,19.8,3.9,0.0,572
H,2020-06-16,0,huelva,19.0,5.3,0.0,572
H,2020-06-17,0,huelva,18.8,5.0,0.0,572
H,2020-06-18,1,huelva,20.9,2.8,0.0,572
H,2020-06-19,0,huelva,21.4,1.9,0.0,572
H,2020-06-20,0,huelva,25.8,2.8,0.0,572
H,2020-06-21,0,huelva,26.0,5.3,0.0,572
H,2020-06-22,1,huelva,29.6,1.7,0.0,572
H,2020-06-23,0,huelva,28.8,1.7,0.0,572
H,2020-06-24,9,huelva,26.4,1.9,0.0,572
