provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
HU,2020-01-01,0,huesca,7.0,1.1,0.0,1040
HU,2020-01-02,0,huesca,8.5,1.4,0.0,1040
HU,2020-01-03,0,huesca,5.6,1.7,0.0,1040
HU,2020-01-04,0,huesca,5.9,1.7,0.0,1040
HU,2020-01-05,0,huesca,8.9,1.7,0.0,1040
HU,2020-01-06,0,huesca,7.8,1.4,0.0,1040
HU,2020-01-07,0,huesca,7.0,1.1,0.0,1040
HU,2020-01-08,0,huesca,10.1,2.5,0.0,1040
HU,2020-01-09,0,huesca,9.2,3.3,0.8,1040
HU,2020-01-11,0,huesca,4.5,1.7,0.0,1040
HU,2020-01-12,0,huesca,5.1,1.9,0.0,1040
HU,2020-01-13,0,huesca,6.0,1.9,0.0,1040
HU,2020-01-14,0,huesca,6.4,2.5,0.0,1040
HU,2020-01-15,0,huesca,7.0,2.2,0.0,1040
HU,2020-01-16,0,huesca,8.0,3.3,2.4,1040
HU,2020-01-17,0,huesca,3.9,1.7,5.4,1040
HU,2020-01-18,0,huesca,4.1,1.7,11.6,1040
HU,2020-01-19,0,huesca,3.1,9.2,0.0,1040
HU,2020-01-20,0,huesca,0.0,1.1,0.0,1040
HU,2020-01-21,0,huesca,1.6,0.8,0.0,1040
HU,2020-01-22,0,huesca,5.8,1.9,31.0,1040
HU,2020-01-23,0,huesca,2.2,1.7,4.4,1040
HU,2020-01-24,0,huesca,6.4,2.5,0.0,1040
HU,2020-01-25,0,huesca,5.8,1.7,1.6,1040
HU,2020-01-26,0,huesca,4.4,0.6,0.0,1040
HU,2020-01-27,0,huesca,3.6,2.2,4.0,1040
HU,2020-01-28,0,huesca,6.9,1.9,0.0,1040
HU,2020-01-29,0,huesca,6.2,1.9,13.6,1040
HU,2020-01-30,0,huesca,8.7,1.4,0.2,1040
HU,2020-01-31,0,huesca,9.9,2.2,6.2,1040
HU,2020-02-01,0,huesca,11.4,1.4,0.2,1040
HU,2020-02-02,0,huesca,13.4,2.5,0.0,1040
HU,2020-02-03,0,huesca,13.6,1.9,0.0,1040
HU,2020-02-04,0,huesca,8.6,5.0,0.0,1040
HU,2020-02-05,0,huesca,5.8,1.9,0.0,1040
HU,2020-02-06,0,huesca,9.6,4.2,0.0,1040
HU,2020-02-07,0,huesca,8.0,1.1,0.0,1040
HU,2020-02-08,0,huesca,6.6,1.7,0.0,1040
HU,2020-02-09,0,huesca,8.2,1.9,0.0,1040
HU,2020-02-10,0,huesca,11.8,2.5,0.0,1040
HU,2020-02-11,0,huesca,10.4,2.8,0.0,1040
HU,2020-02-12,0,huesca,9.0,1.4,0.0,1040
HU,2020-02-13,0,huesca,8.6,0.8,0.0,1040
HU,2020-02-14,0,huesca,9.4,1.7,0.0,1040
