provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LO,2020-01-01,0,laRioja,0.4,1.4,0.0,353
LO,2020-01-02,0,laRioja,0.0,2.2,0.0,353
LO,2020-01-03,0,laRioja,4.6,3.1,0.0,353
LO,2020-01-04,0,laRioja,8.8,2.8,0.0,353
LO,2020-01-05,0,laRioja,6.9,3.3,0.0,353
LO,2020-01-06,0,laRioja,1.2,0.8,0.0,353
LO,2020-01-07,1,laRioja,7.0,3.3,0.0,353
LO,2020-01-08,0,laRioja,8.6,5.0,0.0,353
LO,2020-01-09,0,laRioja,3.8,0.6,4.8,353
LO,2020-01-10,0,laRioja,7.2,3.9,0.3,353
LO,2020-01-11,0,laRioja,6.8,2.5,0.0,353
LO,2020-01-12,0,laRioja,6.8,3.3,0.0,353
LO,2020-01-13,0,laRioja,2.0,0.8,0.0,353
LO,2020-01-14,0,laRioja,-0.8,1.7,0.0,353
LO,2020-01-15,0,laRioja,3.6,1.7,0.0,353
LO,2020-01-16,0,laRioja,5.0,0.6,0.0,353
LO,2020-01-17,0,laRioja,7.0,1.7,0.1,353
LO,2020-01-18,0,laRioja,5.8,2.5,12.6,353
LO,2020-01-19,0,laRioja,5.8,3.6,0.0,353
LO,2020-01-20,0,laRioja,2.8,3.6,0.0,353
LO,2020-01-21,0,laRioja,2.8,2.5,5.7,353
LO,2020-01-22,0,laRioja,5.7,1.4,1.4,353
LO,2020-01-23,0,laRioja,6.1,3.1,0.0,353
LO,2020-01-24,0,laRioja,6.0,1.9,0.0,353
LO,2020-01-25,0,laRioja,6.7,3.9,2.3,353
LO,2020-01-26,0,laRioja,7.0,3.1,0.0,353
LO,2020-01-27,0,laRioja,3.8,2.2,0.0,353
LO,2020-01-28,0,laRioja,9.0,2.2,0.0,353
LO,2020-01-29,0,laRioja,10.8,1.9,1.8,353
LO,2020-01-30,0,laRioja,12.2,2.8,0.0,353
LO,2020-01-31,0,laRioja,13.0,1.9,1.4,353
LO,2020-02-01,0,laRioja,13.6,1.7,0.0,353
LO,2020-02-02,0,laRioja,13.8,2.8,0.0,353
LO,2020-02-03,0,laRioja,13.9,0.6,0.0,353
LO,2020-02-04,0,laRioja,11.2,2.5,0.0,353
LO,2020-02-05,0,laRioja,7.2,2.8,0.0,353
LO,2020-02-06,0,laRioja,6.2,2.5,0.0,353
LO,2020-02-07,0,laRioja,6.2,1.9,0.0,353
LO,2020-02-08,0,laRioja,4.0,0.8,1.0,353
LO,2020-02-09,0,laRioja,6.7,0.8,0.0,353
LO,2020-02-10,0,laRioja,10.5,3.3,0.0,353
LO,2020-02-11,0,laRioja,12.6,1.9,0.2,353
LO,2020-02-12,0,laRioja,10.0,0.8,0.0,353
LO,2020-02-14,0,laRioja,10.8,1.9,0.0,353
LO,2020-02-15,0,laRioja,8.8,1.1,0.0,353
LO,2020-02-16,0,laRioja,9.4,1.9,0.0,353
LO,2020-02-18,0,laRioja,7.6,2.8,0.0,353
LO,2020-02-19,0,laRioja,8.0,2.5,0.0,353
LO,2020-02-20,0,laRioja,7.6,0.8,0.0,353
LO,2020-02-21,0,laRioja,10.3,1.7,0.0,353
LO,2020-02-22,0,laRioja,12.4,2.5,0.0,353
LO,2020-02-23,3,laRioja,11.0,1.1,0.0,353
