provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MU,2020-01-01,0,murcia,11.8,1.4,0.0,26
MU,2020-01-02,0,murcia,11.0,1.1,0.0,26
MU,2020-01-03,0,murcia,11.0,1.7,0.0,26
MU,2020-01-04,0,murcia,11.5,1.4,0.0,26
MU,2020-01-05,0,murcia,11.4,1.7,0.0,26
MU,2020-01-06,0,murcia,11.0,1.4,0.2,26
MU,2020-01-07,0,murcia,11.2,1.7,0.0,26
MU,2020-01-08,0,murcia,11.3,1.9,0.0,26
MU,2020-01-09,0,murcia,13.1,1.9,0.0,26
MU,2020-01-10,0,murcia,12.6,2.2,0.0,26
MU,2020-01-11,0,murcia,12.8,2.5,0.0,26
MU,2020-01-12,0,murcia,11.0,1.7,0.0,26
MU,2020-01-13,0,murcia,10.6,1.9,0.0,26
MU,2020-01-14,0,murcia,11.4,1.1,0.0,26
MU,2020-01-15,0,murcia,12.2,1.4,0.0,26
MU,2020-01-16,0,murcia,12.6,1.1,0.0,26
MU,2020-01-17,0,murcia,12.8,1.1,0.0,26
MU,2020-01-18,0,murcia,11.9,1.7,2.0,26
MU,2020-01-19,0,murcia,12.2,3.6,4.6,26
MU,2020-01-20,0,murcia,10.0,3.3,23.8,26
MU,2020-01-21,0,murcia,11.0,1.9,19.2,26
MU,2020-01-22,0,murcia,12.4,3.1,0.4,26
MU,2020-01-23,0,murcia,12.7,1.7,0.0,26
MU,2020-01-24,0,murcia,13.7,1.4,1.6,26
MU,2020-01-25,0,murcia,12.6,0.8,0.0,26
MU,2020-01-26,0,murcia,13.7,0.8,0.0,26
MU,2020-01-27,0,murcia,11.8,1.4,0.0,26
MU,2020-01-28,0,murcia,12.7,1.4,0.0,26
MU,2020-01-29,0,murcia,14.2,0.8,0.0,26
MU,2020-01-30,0,murcia,14.4,1.1,0.0,26
MU,2020-01-31,0,murcia,15.0,1.7,0.0,26
MU,2020-02-01,0,murcia,16.6,1.1,0.0,26
MU,2020-02-02,0,murcia,17.4,1.1,0.0,26
MU,2020-02-03,0,murcia,16.4,0.8,0.0,26
MU,2020-02-04,0,murcia,16.3,0.8,0.0,26
MU,2020-02-05,0,murcia,14.1,2.5,0.6,26
MU,2020-02-06,0,murcia,12.9,2.5,0.0,26
MU,2020-02-07,0,murcia,12.8,1.7,0.0,26
MU,2020-02-08,0,murcia,13.4,0.8,0.0,26
MU,2020-02-09,0,murcia,14.6,1.1,0.0,26
MU,2020-02-10,0,murcia,14.4,1.4,0.0,26
MU,2020-02-11,0,murcia,15.1,1.4,0.0,26
MU,2020-02-12,0,murcia,15.3,1.4,0.0,26
MU,2020-02-13,0,murcia,14.6,1.4,0.0,26
MU,2020-02-14,0,murcia,15.3,1.1,0.0,26
MU,2020-02-15,0,murcia,13.6,1.7,0.0,26
MU,2020-02-16,0,murcia,12.6,1.1,0.0,26
MU,2020-02-17,0,murcia,14.2,1.1,0.0,26
MU,2020-02-18,0,murcia,14.6,3.1,0.2,26
MU,2020-02-19,0,murcia,13.9,3.1,0.0,26
MU,2020-02-20,0,murcia,12.7,1.9,0.0,26
MU,2020-02-21,0,murcia,12.9,2.5,0.0,26
MU,2020-02-22,1,murcia,12.2,1.1,0.0,26
MU,2020-02-23,1,murcia,13.8,1.4,0.0,26
MU,2020-02-24,1,murcia,12.7,1.1,0.0,26
MU,2020-02-25,3,murcia,15.4,1.9,0.0,26
MU,2020-02-26,1,murcia,17.8,1.4,0.0,26
MU,2020-02-27,1,murcia,15.9,1.7,0.0,26
MU,2020-02-28,1,murcia,17.0,1.7,0.0,26
MU,2020-02-29,2,murcia,15.8,1.7,0.0,26
MU,2020-03-01,5,murcia,19.6,3.9,0.0,26
MU,2020-03-02,7,murcia,20.4,10.8,0.0,26
MU,2020-03-03,3,murcia,20.2,7.2,0.0,26
MU,2020-03-04,5,murcia,19.6,2.5,0.0,26
MU,2020-03-05,12,murcia,18.7,3.9,0.0,26
MU,2020-03-06,10,murcia,17.7,5.0,0.0,26
MU,2020-03-07,18,murcia,16.2,2.2,0.0,26
MU,2020-03-08,15,murcia,15.6,1.9,0.0,26
MU,2020-03-09,25,murcia,17.0,1.7,0.0,26
MU,2020-03-10,50,murcia,16.3,2.2,0.0,26
MU,2020-03-11,60,murcia,16.7,1.4,0.0,26
MU,2020-03-12,40,murcia,19.0,1.1,0.0,26
MU,2020-03-13,74,murcia,17.6,2.2,0.0,26
MU,2020-03-14,84,murcia,16.2,1.9,0.0,26
MU,2020-03-15,75,murcia,15.4,1.7,0.0,26
MU,2020-03-16,100,murcia,15.7,2.5,0.0,26
MU,2020-03-17,79,murcia,15.0,3.1,0.0,26
MU,2020-03-18,93,murcia,18.2,5.3,0.0,26
MU,2020-03-19,81,murcia,16.8,4.4,0.0,26
MU,2020-03-20,92,murcia,16.0,4.2,0.0,26
MU,2020-03-21,70,murcia,14.0,2.5,14.2,26
MU,2020-03-22,65,murcia,12.2,1.1,6.4,26
MU,2020-03-23,103,murcia,13.4,3.1,7.6,26
MU,2020-03-24,62,murcia,13.4,6.4,13.0,26
MU,2020-03-25,69,murcia,14.2,1.9,0.2,26
MU,2020-03-26,36,murcia,15.8,3.6,0.0,26
MU,2020-03-27,39,murcia,13.9,3.3,12.4,26
MU,2020-03-28,31,murcia,13.4,1.9,0.0,26
MU,2020-03-29,25,murcia,13.5,1.4,0.0,26
MU,2020-03-30,30,murcia,14.8,2.5,2.6,26
MU,2020-03-31,23,murcia,15.4,2.2,0.4,26
MU,2020-04-01,23,murcia,16.8,1.9,0.0,26
MU,2020-04-02,20,murcia,14.3,1.9,0.0,26
MU,2020-04-03,16,murcia,15.6,1.9,0.0,26
MU,2020-04-04,20,murcia,15.7,3.3,0.0,26
MU,2020-04-05,12,murcia,15.4,3.1,0.0,26
MU,2020-04-06,12,murcia,16.0,2.2,0.0,26
MU,2020-04-07,4,murcia,15.7,2.8,0.0,26
MU,2020-04-08,18,murcia,15.4,3.1,0.0,26
MU,2020-04-09,7,murcia,16.6,2.8,0.4,26
MU,2020-04-10,7,murcia,17.6,1.9,0.0,26
MU,2020-04-11,7,murcia,15.7,2.5,0.0,26
MU,2020-04-12,4,murcia,17.0,2.5,6.4,26
MU,2020-04-13,1,murcia,16.6,1.4,2.2,26
MU,2020-04-14,3,murcia,17.8,3.1,6.0,26
MU,2020-04-15,3,murcia,18.0,2.8,0.2,26
MU,2020-04-16,1,murcia,17.6,2.8,0.2,26
MU,2020-04-17,3,murcia,18.4,2.5,0.0,26
MU,2020-04-18,2,murcia,18.7,1.4,0.6,26
MU,2020-04-19,3,murcia,18.2,0.8,6.0,26
MU,2020-04-20,1,murcia,19.9,4.4,0.0,26
MU,2020-04-21,3,murcia,18.4,3.1,1.8,26
MU,2020-04-22,2,murcia,20.0,2.5,0.0,26
MU,2020-04-23,2,murcia,17.7,2.8,0.0,26
MU,2020-04-24,0,murcia,17.6,3.3,2.0,26
MU,2020-04-25,3,murcia,15.1,1.4,9.2,26
MU,2020-04-26,3,murcia,18.2,1.4,0.0,26
MU,2020-04-27,0,murcia,18.8,1.9,0.0,26
MU,2020-04-28,1,murcia,18.6,2.2,0.0,26
MU,2020-04-29,2,murcia,18.3,2.2,0.0,26
MU,2020-04-30,1,murcia,21.4,2.5,0.0,26
MU,2020-05-01,1,murcia,20.0,1.9,0.0,26
MU,2020-05-02,2,murcia,22.0,1.7,0.0,26
MU,2020-05-03,1,murcia,21.6,1.9,0.0,26
MU,2020-05-04,4,murcia,25.0,2.8,0.0,26
MU,2020-05-05,1,murcia,22.5,1.7,0.0,26
MU,2020-05-06,3,murcia,21.0,2.5,0.0,26
MU,2020-05-07,1,murcia,23.6,4.4,0.0,26
MU,2020-05-08,2,murcia,21.2,3.3,0.0,26
