provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PO,2020-01-01,0,pontevedra,5.0,1.1,0.0,108
PO,2020-01-02,0,pontevedra,6.5,1.4,1.4,108
PO,2020-01-03,0,pontevedra,10.2,0.6,6.2,108
PO,2020-01-04,0,pontevedra,8.8,0.8,0.0,108
PO,2020-01-05,0,pontevedra,7.7,0.8,0.0,108
PO,2020-01-06,0,pontevedra,7.0,0.8,0.0,108
PO,2020-01-07,0,pontevedra,7.8,1.9,0.0,108
PO,2020-01-08,0,pontevedra,10.2,0.6,1.8,108
PO,2020-01-09,0,pontevedra,9.8,4.7,2.6,108
PO,2020-01-10,0,pontevedra,8.5,1.4,0.0,108
PO,2020-01-11,0,pontevedra,8.2,1.4,0.0,108
PO,2020-01-12,0,pontevedra,7.8,1.1,0.0,108
PO,2020-01-13,0,pontevedra,8.8,3.9,1.4,108
PO,2020-01-14,0,pontevedra,12.7,6.1,26.2,108
PO,2020-01-15,0,pontevedra,12.4,1.4,6.6,108
PO,2020-01-16,0,pontevedra,12.2,3.9,43.6,108
PO,2020-01-17,0,pontevedra,9.6,1.1,0.0,108
PO,2020-01-18,0,pontevedra,11.5,3.1,4.4,108
PO,2020-01-19,0,pontevedra,9.4,3.9,0.0,108
PO,2020-01-20,0,pontevedra,8.0,4.7,0.0,108
PO,2020-01-21,0,pontevedra,8.8,5.3,0.0,108
PO,2020-01-22,0,pontevedra,11.4,4.2,0.0,108
PO,2020-01-23,0,pontevedra,10.4,1.4,0.0,108
PO,2020-01-24,0,pontevedra,10.7,1.7,0.0,108
PO,2020-01-25,0,pontevedra,8.8,1.7,0.2,108
PO,2020-01-26,0,pontevedra,9.9,2.5,14.0,108
PO,2020-01-27,0,pontevedra,11.8,2.2,17.8,108
PO,2020-01-28,0,pontevedra,11.3,0.6,17.8,108
PO,2020-01-29,0,pontevedra,13.2,4.2,42.0,108
PO,2020-01-30,0,pontevedra,13.4,1.9,7.2,108
PO,2020-01-31,0,pontevedra,14.2,3.3,28.8,108
PO,2020-02-01,0,pontevedra,14.9,2.5,8.8,108
PO,2020-02-02,0,pontevedra,16.7,3.1,0.0,108
PO,2020-02-03,0,pontevedra,16.6,1.7,0.0,108
PO,2020-02-04,0,pontevedra,14.4,1.9,0.0,108
PO,2020-02-05,0,pontevedra,14.4,1.1,0.0,108
PO,2020-02-06,0,pontevedra,13.5,1.9,0.0,108
PO,2020-02-07,0,pontevedra,13.0,2.2,12.2,108
PO,2020-02-08,0,pontevedra,11.4,1.4,0.0,108
PO,2020-02-09,0,pontevedra,10.9,3.3,6.2,108
PO,2020-02-10,0,pontevedra,12.8,3.6,1.6,108
PO,2020-02-11,0,pontevedra,12.8,1.1,1.0,108
PO,2020-02-12,0,pontevedra,12.6,1.9,3.6,108
PO,2020-02-13,0,pontevedra,13.2,1.9,4.2,108
PO,2020-02-14,0,pontevedra,12.9,0.8,0.4,108
PO,2020-02-15,0,pontevedra,12.0,4.4,2.4,108
PO,2020-02-16,0,pontevedra,13.8,5.6,16.2,108
PO,2020-02-17,0,pontevedra,10.0,2.5,0.6,108
PO,2020-02-18,0,pontevedra,8.4,2.2,0.0,108
PO,2020-02-19,0,pontevedra,8.8,1.4,0.0,108
PO,2020-02-20,0,pontevedra,10.2,1.7,0.0,108
PO,2020-02-21,0,pontevedra,13.2,1.1,0.0,108
