provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SE,2020-01-01,0,sevilla,9.2,0.8,0.1,550
SE,2020-01-02,0,sevilla,8.2,0.8,0.1,550
SE,2020-01-03,0,sevilla,7.0,1.1,0.1,550
SE,2020-01-04,0,sevilla,6.6,1.4,0.0,550
SE,2020-01-05,0,sevilla,8.4,1.1,0.1,550
SE,2020-01-06,0,sevilla,8.8,0.8,0.1,550
SE,2020-01-07,0,sevilla,10.0,1.4,0.0,550
SE,2020-01-08,0,sevilla,10.7,0.8,0.0,550
SE,2020-01-09,0,sevilla,6.8,1.4,0.0,550
SE,2020-01-10,0,sevilla,7.6,2.2,0.0,550
SE,2020-01-11,0,sevilla,8.5,1.4,0.0,550
SE,2020-01-12,0,sevilla,7.7,1.4,0.0,550
SE,2020-01-13,0,sevilla,6.0,1.4,0.0,550
SE,2020-01-14,0,sevilla,6.1,1.1,0.1,550
SE,2020-01-15,0,sevilla,7.3,1.1,0.0,550
SE,2020-01-16,0,sevilla,11.0,1.4,0.2,550
SE,2020-01-17,0,sevilla,11.0,0.8,0.6,550
SE,2020-01-18,0,sevilla,9.0,1.9,5.9,550
SE,2020-01-19,0,sevilla,9.1,3.3,0.0,550
SE,2020-01-20,0,sevilla,6.0,5.6,0.0,550
SE,2020-01-21,0,sevilla,6.6,4.2,9.1,550
SE,2020-01-22,0,sevilla,7.0,2.5,15.3,550
SE,2020-01-23,0,sevilla,7.6,1.9,31.4,550
SE,2020-01-24,0,sevilla,9.2,2.5,24.8,550
SE,2020-01-25,0,sevilla,7.0,0.6,3.8,550
SE,2020-01-26,0,sevilla,8.0,1.4,0.1,550
SE,2020-01-27,0,sevilla,6.0,1.4,0.1,550
SE,2020-01-28,0,sevilla,10.2,0.8,0.1,550
SE,2020-01-29,0,sevilla,10.8,0.6,0.0,550
SE,2020-01-30,0,sevilla,9.7,0.6,2.2,550
SE,2020-01-31,0,sevilla,11.8,1.4,0.1,550
SE,2020-02-01,0,sevilla,14.1,0.8,0.1,550
SE,2020-02-02,1,sevilla,15.4,1.1,0.1,550
SE,2020-02-03,0,sevilla,15.2,0.8,0.0,550
SE,2020-02-06,1,sevilla,12.0,2.5,0.0,550
SE,2020-02-07,0,sevilla,9.2,0.8,0.0,550
SE,2020-02-08,0,sevilla,10.8,1.9,0.0,550
SE,2020-02-09,0,sevilla,12.0,0.8,0.0,550
SE,2020-02-10,0,sevilla,13.1,0.8,0.0,550
SE,2020-02-11,0,sevilla,13.0,1.4,0.0,550
SE,2020-02-12,0,sevilla,9.6,0.8,0.0,550
SE,2020-02-13,1,sevilla,11.6,0.8,0.0,550
SE,2020-02-14,0,sevilla,13.0,1.1,0.0,550
SE,2020-02-15,0,sevilla,12.5,1.4,0.1,550
SE,2020-02-16,0,sevilla,12.4,1.7,0.1,550
SE,2020-02-17,0,sevilla,11.8,1.4,0.0,550
SE,2020-02-18,1,sevilla,12.6,1.1,0.0,550
SE,2020-02-19,0,sevilla,12.2,1.1,0.0,550
SE,2020-02-20,1,sevilla,11.4,0.8,0.0,550
SE,2020-02-21,0,sevilla,12.4,0.8,0.0,550
SE,2020-02-22,0,sevilla,13.0,0.8,0.0,550
SE,2020-02-23,0,sevilla,13.0,1.4,0.0,550
SE,2020-02-24,2,sevilla,12.5,0.8,0.0,550
SE,2020-02-25,0,sevilla,12.2,2.2,0.0,550
SE,2020-02-26,2,sevilla,11.8,1.4,0.0,550
SE,2020-02-27,4,sevilla,11.9,2.2,0.0,550
SE,2020-02-28,3,sevilla,13.2,1.7,0.0,550
SE,2020-02-29,1,sevilla,9.0,1.4,4.3,550
SE,2020-03-01,4,sevilla,10.8,2.2,3.4,550
SE,2020-03-02,6,sevilla,10.5,5.3,1.1,550
SE,2020-03-03,5,sevilla,10.8,2.5,0.0,550
SE,2020-03-04,4,sevilla,12.1,2.2,0.0,550
SE,2020-03-05,10,sevilla,10.7,2.8,0.0,550
SE,2020-03-06,5,sevilla,9.8,3.1,0.0,550
SE,2020-03-07,11,sevilla,11.6,1.4,0.0,550
SE,2020-03-08,8,sevilla,11.2,2.2,0.0,550
SE,2020-03-09,36,sevilla,13.8,1.4,0.0,550
SE,2020-03-11,38,sevilla,16.9,1.9,0.0,550
SE,2020-03-12,51,sevilla,15.6,1.4,0.0,550
SE,2020-03-13,85,sevilla,13.2,1.4,0.0,550
SE,2020-03-14,71,sevilla,13.8,1.7,0.0,550
SE,2020-03-15,68,sevilla,14.0,1.1,0.0,550
SE,2020-03-16,95,sevilla,7.2,3.9,6.1,550
SE,2020-03-17,107,sevilla,9.3,2.8,0.3,550
SE,2020-03-18,87,sevilla,15.5,2.8,0.0,550
SE,2020-03-19,115,sevilla,13.6,1.9,0.0,550
