provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
T,2020-01-01,0,tarragona,5.6,1.1,0.0,71
T,2020-01-02,0,tarragona,7.0,1.4,0.0,71
T,2020-01-03,0,tarragona,5.6,1.4,0.0,71
T,2020-01-04,0,tarragona,6.3,1.4,0.0,71
T,2020-01-05,0,tarragona,8.0,1.9,0.0,71
T,2020-01-06,0,tarragona,8.3,2.8,0.0,71
T,2020-01-07,0,tarragona,7.2,1.4,0.0,71
T,2020-01-08,0,tarragona,8.7,1.9,0.0,71
T,2020-01-09,0,tarragona,8.9,3.1,0.0,71
T,2020-01-10,0,tarragona,7.0,1.9,0.4,71
T,2020-01-11,0,tarragona,7.4,2.8,0.0,71
T,2020-01-12,0,tarragona,7.2,1.9,0.0,71
T,2020-01-13,0,tarragona,6.1,2.5,0.0,71
T,2020-01-14,0,tarragona,7.2,2.5,0.0,71
T,2020-01-15,0,tarragona,7.3,2.8,0.0,71
T,2020-01-16,0,tarragona,9.3,2.5,0.0,71
T,2020-01-17,0,tarragona,10.8,6.7,0.0,71
T,2020-01-18,0,tarragona,9.8,3.1,5.9,71
T,2020-01-19,0,tarragona,8.8,2.2,5.5,71
T,2020-01-20,0,tarragona,9.4,9.7,10.8,71
T,2020-01-21,0,tarragona,9.0,12.2,45.7,71
T,2020-01-22,0,tarragona,11.2,5.6,28.5,71
T,2020-01-23,0,tarragona,9.8,1.7,2.0,71
T,2020-01-24,0,tarragona,9.2,2.2,0.0,71
T,2020-01-25,0,tarragona,10.1,1.9,0.0,71
T,2020-01-26,0,tarragona,10.0,3.1,0.0,71
T,2020-01-27,0,tarragona,9.0,4.7,0.0,71
T,2020-01-28,0,tarragona,12.8,3.1,0.0,71
T,2020-01-29,0,tarragona,13.8,2.8,0.0,71
T,2020-01-30,0,tarragona,13.5,4.2,0.0,71
T,2020-01-31,0,tarragona,14.7,1.4,0.0,71
T,2020-02-01,0,tarragona,15.4,4.2,0.0,71
T,2020-02-02,2,tarragona,15.6,3.1,0.0,71
T,2020-02-03,0,tarragona,16.3,2.5,0.0,71
T,2020-02-04,0,tarragona,14.6,8.6,0.0,71
T,2020-02-05,0,tarragona,10.4,1.1,0.0,71
T,2020-02-06,0,tarragona,8.7,2.8,0.0,71
T,2020-02-07,1,tarragona,11.7,2.5,0.0,71
T,2020-02-08,0,tarragona,10.2,1.9,0.0,71
T,2020-02-09,0,tarragona,10.2,2.5,0.0,71
T,2020-02-10,0,tarragona,14.3,3.6,0.0,71
T,2020-02-11,0,tarragona,16.2,5.0,0.0,71
T,2020-02-12,0,tarragona,11.6,2.5,0.9,71
T,2020-02-13,0,tarragona,14.0,2.5,0.0,71
T,2020-02-14,0,tarragona,12.6,2.2,0.0,71
T,2020-02-15,0,tarragona,12.5,2.8,0.0,71
T,2020-02-16,0,tarragona,13.5,2.2,0.0,71
T,2020-02-17,0,tarragona,15.0,1.9,0.0,71
T,2020-02-18,0,tarragona,10.3,5.0,0.0,71
T,2020-02-19,0,tarragona,8.4,2.2,0.0,71
T,2020-02-20,0,tarragona,9.6,2.8,0.0,71
T,2020-02-21,1,tarragona,10.6,3.1,0.0,71
T,2020-02-22,1,tarragona,10.2,2.2,0.0,71
T,2020-02-23,0,tarragona,12.4,2.2,0.0,71
T,2020-02-24,1,tarragona,12.9,2.2,0.0,71
T,2020-02-25,0,tarragona,12.2,2.5,0.0,71
