provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TE,2020-01-01,0,teruel,0.4,0.6,0.0,334
TE,2020-01-02,0,teruel,-0.3,0.3,0.0,334
TE,2020-01-03,0,teruel,1.8,1.4,0.0,334
TE,2020-01-04,0,teruel,5.0,1.1,0.0,334
TE,2020-01-05,0,teruel,6.0,1.4,0.0,334
TE,2020-01-06,0,teruel,0.0,1.4,0.0,334
TE,2020-01-07,0,teruel,2.3,0.6,0.0,334
TE,2020-01-08,0,teruel,1.5,0.6,0.0,334
TE,2020-01-09,0,teruel,1.0,1.1,0.5,334
TE,2020-01-10,0,teruel,5.7,3.3,0.0,334
TE,2020-01-11,0,teruel,5.0,1.1,0.0,334
TE,2020-01-12,0,teruel,4.2,0.3,0.0,334
TE,2020-01-13,0,teruel,-1.2,0.6,0.0,334
TE,2020-01-14,0,teruel,0.4,0.8,0.0,334
TE,2020-01-15,0,teruel,4.6,0.3,0.0,334
TE,2020-01-16,0,teruel,5.6,1.4,0.0,334
TE,2020-01-17,0,teruel,8.0,3.3,0.0,334
TE,2020-01-18,0,teruel,6.5,1.1,0.7,334
TE,2020-01-19,0,teruel,3.8,3.3,13.4,334
TE,2020-01-20,0,teruel,1.2,1.9,45.9,334
TE,2020-01-21,0,teruel,4.4,1.7,89.8,334
TE,2020-01-22,0,teruel,3.8,0.8,5.3,334
TE,2020-01-23,0,teruel,6.4,0.8,0.0,334
TE,2020-01-24,0,teruel,6.0,0.6,0.0,334
TE,2020-01-25,0,teruel,7.5,0.3,0.2,334
TE,2020-01-26,0,teruel,7.8,1.7,0.0,334
TE,2020-01-27,0,teruel,7.3,1.9,0.0,334
TE,2020-01-28,0,teruel,11.1,1.7,0.0,334
TE,2020-01-29,0,teruel,13.0,1.4,0.0,334
TE,2020-01-30,0,teruel,12.0,1.9,0.0,334
TE,2020-01-31,0,teruel,12.0,0.8,0.0,334
TE,2020-02-01,0,teruel,13.4,1.4,0.0,334
TE,2020-02-02,0,teruel,13.9,1.1,0.0,334
TE,2020-02-03,0,teruel,14.2,0.3,0.0,334
TE,2020-02-04,0,teruel,12.0,6.4,0.0,334
TE,2020-02-05,0,teruel,6.9,0.6,0.0,334
TE,2020-02-06,0,teruel,6.3,0.8,0.0,334
TE,2020-02-07,0,teruel,6.2,0.8,0.0,334
TE,2020-02-08,0,teruel,6.3,0.3,0.0,334
TE,2020-02-09,0,teruel,8.6,0.6,0.0,334
TE,2020-02-10,0,teruel,13.2,2.5,0.0,334
TE,2020-02-11,0,teruel,11.4,1.9,0.0,334
TE,2020-02-12,0,teruel,11.4,1.1,0.0,334
TE,2020-02-13,0,teruel,12.1,1.1,0.0,334
TE,2020-02-14,0,teruel,11.9,0.8,0.0,334
TE,2020-02-15,0,teruel,10.0,1.1,0.0,334
TE,2020-02-16,0,teruel,9.8,1.1,0.0,334
TE,2020-02-17,0,teruel,12.8,3.3,0.0,334
TE,2020-02-18,0,teruel,8.0,1.9,0.0,334
TE,2020-02-19,0,teruel,7.4,1.1,0.0,334
TE,2020-02-20,0,teruel,7.8,0.3,0.0,334
TE,2020-02-21,1,teruel,8.6,1.1,0.0,334
