provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
Z,2020-01-01,0,zamora,-1.4,0.6,0.0,715
Z,2020-01-02,0,zamora,-1.6,0.8,0.0,715
Z,2020-01-03,0,zamora,1.6,0.6,0.0,715
Z,2020-01-04,0,zamora,3.4,1.7,0.0,715
Z,2020-01-05,0,zamora,3.3,1.4,0.0,715
Z,2020-01-06,0,zamora,-0.8,1.1,0.0,715
Z,2020-01-07,0,zamora,0.0,0.8,0.0,715
Z,2020-01-08,0,zamora,3.2,1.1,0.0,715
Z,2020-01-09,0,zamora,5.4,1.9,0.0,715
Z,2020-01-10,0,zamora,4.6,1.1,0.0,715
Z,2020-01-11,0,zamora,3.4,1.4,0.0,715
Z,2020-01-12,0,zamora,-1.7,0.6,0.0,715
Z,2020-01-13,0,zamora,0.4,1.7,0.0,715
Z,2020-01-14,0,zamora,5.8,2.2,0.2,715
Z,2020-01-15,0,zamora,9.3,2.8,0.6,715
Z,2020-01-16,0,zamora,9.9,4.4,1.0,715
Z,2020-01-17,0,zamora,6.9,1.9,0.0,715
Z,2020-01-18,0,zamora,7.6,2.2,0.4,715
Z,2020-01-19,0,zamora,4.4,6.1,0.0,715
Z,2020-01-20,0,zamora,2.2,4.7,0.0,715
Z,2020-01-21,0,zamora,4.4,5.3,0.0,715
Z,2020-01-22,0,zamora,6.6,3.9,0.0,715
Z,2020-01-23,0,zamora,4.6,1.9,0.0,715
Z,2020-01-24,0,zamora,5.0,0.8,0.2,715
Z,2020-01-25,0,zamora,4.2,0.8,0.4,715
Z,2020-01-26,0,zamora,3.3,1.4,0.0,715
Z,2020-01-27,0,zamora,8.0,3.9,0.2,715
Z,2020-01-28,0,zamora,9.2,1.9,0.6,715
Z,2020-01-29,0,zamora,10.4,2.5,2.2,715
Z,2020-01-30,0,zamora,9.2,3.6,0.8,715
Z,2020-01-31,0,zamora,10.9,2.2,0.8,715
Z,2020-02-01,0,zamora,13.8,4.2,0.0,715
Z,2020-02-02,0,zamora,12.4,2.5,0.0,715
Z,2020-02-03,0,zamora,9.2,0.8,0.0,715
Z,2020-02-04,0,zamora,8.4,0.8,0.0,715
Z,2020-02-05,0,zamora,6.0,1.4,0.0,715
Z,2020-02-06,0,zamora,6.0,0.6,0.0,715
Z,2020-02-07,0,zamora,7.2,1.7,0.0,715
Z,2020-02-08,0,zamora,9.9,2.5,0.6,715
Z,2020-02-09,0,zamora,8.6,2.8,0.0,715
Z,2020-02-10,0,zamora,12.9,3.6,0.0,715
Z,2020-02-11,1,zamora,11.2,1.7,0.0,715
Z,2020-02-12,0,zamora,10.1,1.1,0.0,715
Z,2020-02-13,1,zamora,11.6,4.2,0.0,715
Z,2020-02-14,0,zamora,6.4,0.8,0.0,715
Z,2020-02-15,0,zamora,8.2,2.2,0.0,715
Z,2020-02-16,1,zamora,9.0,3.6,0.0,715
Z,2020-02-17,1,zamora,8.8,3.9,0.6,715
Z,2020-02-18,1,zamora,6.2,1.7,0.0,715
Z,2020-02-19,0,zamora,5.3,1.1,0.0,715
Z,2020-02-20,0,zamora,6.4,1.4,0.0,715
Z,2020-02-21,1,zamora,8.2,1.1,0.0,715
Z,2020-02-22,3,zamora,9.0,1.1,0.0,715
Z,2020-02-23,1,zamora,9.8,0.8,0.0,715
Z,2020-02-24,0,zamora,11.2,1.4,0.0,715
Z,2020-02-25,1,zamora,11.0,2.2,0.0,715
Z,2020-02-26,0,zamora,8.1,2.8,0.0,715
Z,2020-02-27,0,zamora,11.4,2.8,0.0,715
Z,2020-02-28,3,zamora,9.6,1.9,0.0,715
Z,2020-02-29,4,zamora,10.4,5.6,0.8,715
Z,2020-03-01,6,zamora,11.0,5.6,7.8,715
Z,2020-03-02,11,zamora,8.0,3.9,0.2,715
Z,2020-03-03,6,zamora,11.8,4.7,0.0,715
Z,2020-03-04,14,zamora,13.6,3.3,0.8,715
Z,2020-03-05,9,zamora,9.9,4.7,0.2,715
Z,2020-03-06,13,zamora,7.2,4.2,0.0,715
Z,2020-03-07,16,zamora,9.2,1.4,0.0,715
Z,2020-03-08,29,zamora,8.6,1.1,0.0,715
Z,2020-03-09,30,zamora,9.8,2.2,0.0,715
Z,2020-03-10,35,zamora,13.6,1.7,0.0,715
Z,2020-03-11,52,zamora,13.7,1.9,0.0,715
Z,2020-03-12,61,zamora,13.9,2.2,0.0,715
Z,2020-03-13,89,zamora,10.4,3.3,0.0,715
Z,2020-03-14,83,zamora,9.0,1.4,0.0,715
