provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ZA,2020-01-01,0,zaragoza,2.9,0.6,0.0,582
ZA,2020-01-02,0,zaragoza,3.8,1.7,0.0,582
ZA,2020-01-03,0,zaragoza,2.8,1.4,0.0,582
ZA,2020-01-04,0,zaragoza,5.0,1.1,0.0,582
ZA,2020-01-05,0,zaragoza,3.4,0.8,0.0,582
ZA,2020-01-06,0,zaragoza,4.0,1.4,0.0,582
ZA,2020-01-07,0,zaragoza,4.4,0.8,0.0,582
ZA,2020-01-08,0,zaragoza,5.6,1.1,0.0,582
ZA,2020-01-09,0,zaragoza,6.9,0.8,0.0,582
ZA,2020-01-10,0,zaragoza,6.0,2.8,0.0,582
ZA,2020-01-11,0,zaragoza,4.2,0.6,0.0,582
ZA,2020-01-12,0,zaragoza,2.4,1.1,0.0,582
ZA,2020-01-14,0,zaragoza,3.4,2.8,0.0,582
ZA,2020-01-15,0,zaragoza,6.0,1.7,0.0,582
ZA,2020-01-16,0,zaragoza,8.2,1.4,0.0,582
ZA,2020-01-17,0,zaragoza,7.8,3.3,0.0,582
ZA,2020-01-18,0,zaragoza,5.5,1.1,2.4,582
ZA,2020-01-19,0,zaragoza,4.4,3.6,0.6,582
ZA,2020-01-20,0,zaragoza,1.7,4.7,4.0,582
ZA,2020-01-21,0,zaragoza,2.4,4.7,33.2,582
ZA,2020-01-22,0,zaragoza,4.2,2.2,0.2,582
ZA,2020-01-23,0,zaragoza,6.9,0.6,0.0,582
ZA,2020-01-24,0,zaragoza,6.5,1.1,0.0,582
ZA,2020-01-25,0,zaragoza,7.8,0.8,5.8,582
ZA,2020-01-26,0,zaragoza,8.0,2.2,0.0,582
ZA,2020-01-27,0,zaragoza,6.7,4.4,0.0,582
ZA,2020-01-28,0,zaragoza,12.2,3.9,0.4,582
ZA,2020-01-29,0,zaragoza,13.8,3.6,0.0,582
ZA,2020-01-30,0,zaragoza,12.3,3.6,0.0,582
ZA,2020-01-31,0,zaragoza,13.4,3.6,0.0,582
ZA,2020-02-01,0,zaragoza,14.3,3.9,0.0,582
ZA,2020-02-02,0,zaragoza,14.4,2.5,0.0,582
ZA,2020-02-03,0,zaragoza,11.8,0.6,0.0,582
ZA,2020-02-04,0,zaragoza,11.2,1.4,0.0,582
ZA,2020-02-05,0,zaragoza,5.8,1.9,0.0,582
ZA,2020-02-06,0,zaragoza,6.7,1.4,0.0,582
ZA,2020-02-07,0,zaragoza,8.0,1.4,0.0,582
ZA,2020-02-08,0,zaragoza,8.0,1.1,0.0,582
ZA,2020-02-09,0,zaragoza,8.2,2.8,0.0,582
ZA,2020-02-10,0,zaragoza,14.2,4.2,0.0,582
ZA,2020-02-11,0,zaragoza,14.2,2.8,0.0,582
ZA,2020-02-12,0,zaragoza,10.4,0.8,0.0,582
ZA,2020-02-13,0,zaragoza,11.6,3.3,0.0,582
ZA,2020-02-14,0,zaragoza,9.7,0.8,0.0,582
ZA,2020-02-15,0,zaragoza,10.2,1.4,0.0,582
ZA,2020-02-16,0,zaragoza,11.6,2.2,0.0,582
ZA,2020-02-17,0,zaragoza,10.3,4.2,0.0,582
ZA,2020-02-18,0,zaragoza,8.6,2.5,0.0,582
ZA,2020-02-19,0,zaragoza,7.0,1.1,0.0,582
ZA,2020-02-20,0,zaragoza,8.8,1.1,0.0,582
ZA,2020-02-21,0,zaragoza,8.9,1.1,0.0,582
ZA,2020-02-22,0,zaragoza,9.8,1.4,0.0,582
ZA,2020-02-23,0,zaragoza,10.2,0.8,0.0,582
ZA,2020-02-24,0,zaragoza,11.4,1.4,0.0,582
ZA,2020-02-25,0,zaragoza,9.4,3.3,0.0,582
ZA,2020-02-26,0,zaragoza,9.8,4.7,0.0,582
ZA,2020-02-27,0,zaragoza,10.4,4.7,0.0,582
ZA,2020-02-28,1,zaragoza,12.6,1.7,0.0,582
ZA,2020-02-29,0,zaragoza,9.6,3.9,0.0,582
ZA,2020-03-01,2,zaragoza,13.0,6.7,2.4,582
ZA,2020-03-02,3,zaragoza,9.7,7.2,1.6,582
ZA,2020-03-03,0,zaragoza,11.5,7.2,0.2,582
ZA,2020-03-04,1,zaragoza,14.0,4.7,0.0,582
ZA,2020-03-05,3,zaragoza,11.8,6.4,2.0,582
ZA,2020-03-06,4,zaragoza,8.1,7.5,0.0,582
ZA,2020-03-07,7,zaragoza,9.4,5.0,0.0,582
ZA,2020-03-08,1,zaragoza,8.2,2.2,0.0,582
ZA,2020-03-09,5,zaragoza,11.5,3.1,0.0,582
ZA,2020-03-10,9,zaragoza,13.2,1.4,0.0,582
ZA,2020-03-11,9,zaragoza,16.0,1.9,0.0,582
ZA,2020-03-12,15,zaragoza,16.6,2.8,0.0,582
ZA,2020-03-13,10,zaragoza,12.9,4.7,0.0,582
ZA,2020-03-14,20,zaragoza,11.7,1.9,0.0,582
ZA,2020-03-15,15,zaragoza,10.9,1.7,17.8,582
ZA,2020-03-16,21,zaragoza,5.4,2.8,35.2,582
ZA,2020-03-17,21,zaragoza,8.6,5.0,1.6,582
ZA,2020-03-18,22,zaragoza,11.3,1.4,0.0,582
