provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VI,2021-11-02,21,alava,11.1,7.2,9.8,513
VI,2021-11-03,19,alava,7.0,2.2,1.9,513
VI,2021-11-04,16,alava,6.6,3.3,3.0,513
VI,2021-11-05,7,alava,6.6,1.9,5.7,513
VI,2021-11-06,32,alava,6.8,3.9,0.0,513
VI,2021-11-07,19,alava,7.5,1.9,0.0,513
VI,2021-11-08,19,alava,10.4,4.4,0.0,513
VI,2021-11-09,26,alava,7.6,3.6,0.0,513
VI,2021-11-10,37,alava,6.3,2.2,0.0,513
VI,2021-11-11,26,alava,8.6,2.5,0.0,513
VI,2021-11-12,14,alava,11.2,2.8,0.0,513
VI,2021-11-13,40,alava,11.9,2.8,0.0,513
VI,2021-11-14,33,alava,9.3,3.1,3.5,513
VI,2021-11-15,48,alava,9.6,4.2,0.7,513
VI,2021-11-16,44,alava,8.8,3.3,0.5,513
VI,2021-11-17,43,alava,7.1,3.6,0.0,513
VI,2021-11-18,60,alava,6.9,3.6,0.0,513
VI,2021-11-19,31,alava,5.9,1.4,0.0,513
VI,2021-11-20,100,alava,6.8,2.2,0.0,513
VI,2021-11-21,69,alava,4.9,0.6,2.5,513
VI,2021-11-22,120,alava,5.8,2.2,1.2,513
VI,2021-11-23,94,alava,5.3,4.2,8.2,513
VI,2021-11-24,134,alava,6.6,2.2,5.5,513
VI,2021-11-25,89,alava,5.7,3.3,0.5,513
VI,2021-11-26,47,alava,6.0,2.5,17.0,513
VI,2021-11-27,224,alava,3.1,4.4,37.4,513
VI,2021-11-28,218,alava,2.2,3.3,61.6,513
VI,2021-11-29,185,alava,5.5,2.5,15.8,513
VI,2021-11-30,226,alava,7.2,1.9,0.0,513
VI,2021-12-01,237,alava,4.8,1.7,21.0,513
VI,2021-12-02,195,alava,4.6,4.7,11.1,513
VI,2021-12-03,181,alava,6.8,2.8,0.9,513
VI,2021-12-04,250,alava,8.8,4.2,23.2,513
VI,2021-12-05,229,alava,4.8,5.6,17.4,513
VI,2021-12-06,200,alava,7.0,3.9,0.9,513
VI,2021-12-07,282,alava,8.9,4.2,18.1,513
VI,2021-12-08,315,alava,3.5,5.6,30.8,513
VI,2021-12-09,257,alava,6.4,3.9,43.9,513
VI,2021-12-10,215,alava,8.9,7.8,21.2,513
VI,2021-12-11,339,alava,10.0,2.5,3.6,513
VI,2021-12-12,289,alava,8.7,0.6,0.0,513
VI,2021-12-13,331,alava,6.6,5.3,0.0,513
VI,2021-12-14,378,alava,3.2,0.8,0.1,513
VI,2021-12-15,366,alava,2.8,0.3,0.2,513
VI,2021-12-16,272,alava,3.2,3.3,0.0,513
VI,2021-12-17,292,alava,2.1,5.0,0.0,513
VI,2021-12-18,525,alava,3.0,3.6,0.0,513
VI,2021-12-19,444,alava,2.2,5.0,0.0,513
VI,2021-12-20,492,alava,4.0,1.7,0.0,513
VI,2021-12-21,651,alava,7.2,3.3,0.0,513
VI,2021-12-22,679,alava,5.2,4.4,0.0,513
VI,2021-12-23,458,alava,5.8,3.9,0.0,513
VI,2021-12-24,498,alava,7.9,2.5,0.0,513
VI,2021-12-25,955,alava,8.2,3.1,0.0,513
VI,2021-12-26,962,alava,7.6,4.2,2.2,513
VI,2021-12-27,1368,alava,12.6,8.6,0.0,513
VI,2021-12-28,1193,alava,11.4,6.9,0.0,513
VI,2021-12-29,1157,alava,10.4,5.0,0.0,513
VI,2021-12-30,848,alava,9.0,2.5,0.0,513
VI,2021-12-31,885,alava,10.2,4.2,0.0,513
VI,2022-01-01,1680,alava,10.5,2.5,0.0,513
VI,2022-01-02,2027,alava,10.6,3.6,0.0,513
VI,2022-01-03,1957,alava,8.8,3.3,0.0,513
VI,2022-01-04,907,alava,10.4,5.0,10.4,513
VI,2022-01-05,1421,alava,4.6,1.9,0.0,513
VI,2022-01-06,848,alava,3.6,1.7,2.3,513
VI,2022-01-07,896,alava,6.5,5.3,5.6,513
VI,2022-01-08,1797,alava,4.3,4.2,13.0,513
VI,2022-01-09,1856,alava,8.8,4.2,40.4,513
VI,2022-01-10,1513,alava,10.4,7.5,2.9,513
VI,2022-01-11,1735,alava,8.6,2.2,0.6,513
VI,2022-01-12,1606,alava,4.2,2.2,0.0,513
VI,2022-01-13,733,alava,2.9,2.8,0.0,513
VI,2022-01-14,497,alava,2.8,1.9,0.0,513
VI,2022-01-15,915,alava,2.0,1.9,0.0,513
VI,2022-01-16,883,alava,2.6,0.8,0.0,513
VI,2022-01-17,976,alava,2.5,2.2,0.0,513
VI,2022-01-18,799,alava,2.4,2.2,0.0,513
VI,2022-01-19,843,alava,2.6,1.1,0.2,513
VI,2022-01-20,546,alava,3.8,1.7,2.3,513
VI,2022-01-21,433,alava,2.9,5.8,0.0,513
VI,2022-01-22,676,alava,2.2,1.4,0.0,513
VI,2022-01-23,854,alava,1.8,2.5,0.0,513
VI,2022-01-24,928,alava,3.6,2.8,0.0,513
VI,2022-01-25,753,alava,2.8,1.4,0.0,513
VI,2022-01-26,787,alava,4.1,0.6,0.0,513
VI,2022-01-27,458,alava,3.2,0.8,0.0,513
VI,2022-01-28,423,alava,4.3,3.1,0.0,513
VI,2022-01-29,603,alava,4.4,0.6,0.0,513
VI,2022-01-30,490,alava,4.9,1.4,0.0,513
VI,2022-01-31,509,alava,4.2,3.3,2.7,513
VI,2022-02-01,518,alava,3.6,3.1,0.4,513
VI,2022-02-02,385,alava,5.6,0.6,0.0,513
VI,2022-02-03,187,alava,5.7,1.7,0.0,513
VI,2022-02-04,239,alava,4.6,1.1,1.3,513
VI,2022-02-05,282,alava,4.0,4.4,0.2,513
VI,2022-02-06,270,alava,3.7,1.4,0.0,513
VI,2022-02-07,17,alava,4.8,1.7,0.0,513
