provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AB,2021-11-02,4,albacete,14.2,1.4,3.2,676
AB,2021-11-03,11,albacete,9.6,0.8,0.0,676
AB,2021-11-04,8,albacete,8.4,0.8,0.0,676
AB,2021-11-05,7,albacete,7.8,1.4,1.3,676
AB,2021-11-06,15,albacete,7.2,0.6,0.0,676
AB,2021-11-07,18,albacete,6.6,0.3,0.0,676
AB,2021-11-08,23,albacete,9.6,0.3,0.0,676
AB,2021-11-09,22,albacete,9.6,0.0,0.0,676
AB,2021-11-10,25,albacete,10.1,0.8,0.0,676
AB,2021-11-11,21,albacete,11.0,0.6,0.0,676
AB,2021-11-12,25,albacete,11.2,0.0,0.0,676
AB,2021-11-13,23,albacete,12.2,0.3,0.0,676
AB,2021-11-14,31,albacete,11.2,1.4,0.0,676
AB,2021-11-15,44,albacete,10.2,0.3,0.0,676
AB,2021-11-16,63,albacete,8.0,0.3,0.0,676
AB,2021-11-17,56,albacete,8.2,0.0,0.0,676
AB,2021-11-18,34,albacete,9.4,1.7,0.0,676
AB,2021-11-19,27,albacete,10.4,0.8,0.2,676
AB,2021-11-20,69,albacete,10.7,0.8,0.2,676
AB,2021-11-21,61,albacete,12.1,0.8,0.7,676
AB,2021-11-22,63,albacete,9.0,0.6,16.0,676
AB,2021-11-23,76,albacete,5.5,0.0,3.0,676
AB,2021-11-24,77,albacete,4.6,1.7,0.0,676
AB,2021-11-25,41,albacete,6.5,1.7,0.0,676
AB,2021-11-26,70,albacete,6.2,1.4,0.0,676
AB,2021-11-27,60,albacete,4.7,2.5,1.0,676
AB,2021-11-28,61,albacete,3.8,2.8,0.0,676
AB,2021-11-29,97,albacete,8.4,2.5,0.0,676
AB,2021-11-30,94,albacete,8.1,0.3,0.0,676
AB,2021-12-01,98,albacete,7.0,1.7,4.0,676
AB,2021-12-02,71,albacete,6.4,1.7,0.0,676
AB,2021-12-03,83,albacete,6.9,1.7,0.0,676
AB,2021-12-04,92,albacete,6.8,1.4,0.0,676
AB,2021-12-05,86,albacete,8.7,3.1,0.2,676
AB,2021-12-06,83,albacete,7.8,1.4,0.0,676
AB,2021-12-07,124,albacete,8.8,0.6,0.2,676
AB,2021-12-08,178,albacete,8.0,3.1,0.6,676
AB,2021-12-09,155,albacete,7.0,3.1,0.0,676
AB,2021-12-10,182,albacete,10.4,3.6,0.0,676
AB,2021-12-11,163,albacete,11.4,1.9,0.0,676
AB,2021-12-12,247,albacete,9.6,0.3,0.0,676
AB,2021-12-13,241,albacete,10.8,1.4,0.0,676
AB,2021-12-14,264,albacete,8.6,0.3,0.0,676
AB,2021-12-15,264,albacete,6.7,0.3,0.0,676
AB,2021-12-16,252,albacete,7.2,1.1,0.0,676
AB,2021-12-17,259,albacete,7.4,0.8,0.0,676
AB,2021-12-18,363,albacete,6.8,1.4,0.0,676
AB,2021-12-19,483,albacete,9.2,0.8,0.0,676
AB,2021-12-20,513,albacete,7.4,0.0,0.0,676
AB,2021-12-21,474,albacete,10.6,0.0,0.0,676
AB,2021-12-22,491,albacete,10.6,0.3,0.0,676
AB,2021-12-23,607,albacete,11.3,0.3,1.5,676
AB,2021-12-24,818,albacete,11.9,0.3,1.4,676
AB,2021-12-25,874,albacete,10.2,0.6,3.3,676
AB,2021-12-26,621,albacete,11.9,0.8,1.5,676
AB,2021-12-27,935,albacete,13.6,1.9,0.0,676
AB,2021-12-28,1247,albacete,11.4,2.5,0.0,676
AB,2021-12-29,1245,albacete,10.4,1.1,0.0,676
AB,2021-12-30,1275,albacete,9.9,0.0,0.0,676
AB,2021-12-31,1016,albacete,11.4,0.0,0.0,676
AB,2022-01-01,951,albacete,10.4,0.0,0.0,676
AB,2022-01-02,941,albacete,10.4,0.0,0.0,676
AB,2022-01-03,1069,albacete,11.4,0.0,0.0,676
AB,2022-01-04,1115,albacete,10.8,3.1,0.5,676
AB,2022-01-05,1503,albacete,6.2,1.9,0.5,676
AB,2022-01-06,586,albacete,4.5,0.8,0.0,676
AB,2022-01-07,1196,albacete,6.0,0.3,0.0,676
AB,2022-01-08,1255,albacete,5.2,1.4,0.0,676
AB,2022-01-09,919,albacete,7.2,2.5,0.0,676
AB,2022-01-10,796,albacete,9.7,1.7,0.0,676
AB,2022-01-11,1023,albacete,7.6,0.3,0.0,676
AB,2022-01-12,1086,albacete,6.0,0.3,0.0,676
AB,2022-01-13,1012,albacete,4.8,0.8,0.0,676
AB,2022-01-14,995,albacete,2.3,0.0,0.0,676
AB,2022-01-15,549,albacete,3.6,0.3,0.0,676
AB,2022-01-16,494,albacete,4.1,0.6,0.0,676
AB,2022-01-17,1050,albacete,4.8,0.0,0.0,676
