provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AL,2021-11-02,31,almeria,17.8,2.2,0.0,869
AL,2021-11-03,27,almeria,11.6,2.8,0.0,869
AL,2021-11-04,27,almeria,10.2,1.4,0.0,869
AL,2021-11-05,18,almeria,9.9,2.5,0.0,869
AL,2021-11-06,42,almeria,10.4,1.4,0.0,869
AL,2021-11-07,26,almeria,11.1,1.7,0.0,869
AL,2021-11-08,44,almeria,12.4,1.9,0.0,869
AL,2021-11-09,34,almeria,12.6,1.7,0.0,869
AL,2021-11-10,33,almeria,13.2,1.4,0.0,869
AL,2021-11-11,37,almeria,14.0,0.6,0.0,869
AL,2021-11-12,17,almeria,12.6,1.7,0.0,869
AL,2021-11-13,31,almeria,13.6,1.9,0.0,869
AL,2021-11-14,66,almeria,15.2,2.5,0.0,869
AL,2021-11-15,56,almeria,12.1,2.2,0.0,869
AL,2021-11-16,82,almeria,11.4,1.4,0.0,869
AL,2021-11-17,62,almeria,9.8,1.4,0.3,869
AL,2021-11-18,60,almeria,9.4,3.9,1.8,869
AL,2021-11-19,35,almeria,10.2,4.2,0.9,869
AL,2021-11-20,64,almeria,10.0,2.2,7.0,869
AL,2021-11-21,76,almeria,12.2,1.4,0.0,869
AL,2021-11-22,75,almeria,11.6,1.4,1.3,869
AL,2021-11-23,69,almeria,9.6,1.4,0.1,869
AL,2021-11-24,96,almeria,8.0,2.8,0.0,869
AL,2021-11-25,66,almeria,9.8,2.5,0.0,869
AL,2021-11-26,52,almeria,8.4,2.2,0.0,869
AL,2021-11-27,46,almeria,8.1,3.1,0.0,869
AL,2021-11-28,73,almeria,5.4,2.2,0.0,869
AL,2021-11-29,61,almeria,9.5,3.1,0.0,869
AL,2021-11-30,70,almeria,9.6,1.9,0.0,869
AL,2021-12-01,97,almeria,10.6,2.5,0.1,869
AL,2021-12-02,64,almeria,7.8,2.8,0.1,869
AL,2021-12-03,55,almeria,8.4,2.8,0.0,869
AL,2021-12-05,45,almeria,10.5,3.6,0.0,869
AL,2021-12-06,51,almeria,10.8,2.5,0.0,869
AL,2021-12-07,109,almeria,14.6,2.2,0.0,869
AL,2021-12-08,139,almeria,9.9,5.6,0.0,869
AL,2021-12-09,95,almeria,10.4,2.2,0.0,869
AL,2021-12-10,98,almeria,10.1,3.3,0.0,869
AL,2021-12-11,104,almeria,15.8,1.7,0.0,869
AL,2021-12-12,104,almeria,11.8,1.9,0.0,869
AL,2021-12-13,214,almeria,9.4,2.8,0.0,869
AL,2021-12-14,335,almeria,10.3,1.9,0.0,869
AL,2021-12-15,276,almeria,7.7,1.7,0.0,869
AL,2021-12-16,230,almeria,8.2,3.1,0.0,869
AL,2021-12-17,215,almeria,8.7,1.7,0.0,869
AL,2021-12-18,289,almeria,9.2,2.2,0.0,869
AL,2021-12-19,338,almeria,10.2,3.6,0.0,869
AL,2021-12-20,448,almeria,11.2,0.8,0.0,869
AL,2021-12-21,624,almeria,14.8,0.8,0.0,869
AL,2021-12-22,579,almeria,11.0,0.8,1.3,869
AL,2021-12-23,536,almeria,9.4,1.4,0.0,869
AL,2021-12-24,584,almeria,12.4,1.1,2.9,869
AL,2021-12-25,517,almeria,11.0,0.3,0.0,869
AL,2021-12-26,515,almeria,13.6,2.2,0.0,869
AL,2021-12-27,790,almeria,15.4,2.8,0.0,869
AL,2021-12-28,1025,almeria,14.7,2.2,0.0,869
AL,2021-12-29,1129,almeria,17.6,1.7,0.0,869
AL,2021-12-30,1413,almeria,16.8,0.8,0.0,869
AL,2021-12-31,1040,almeria,18.6,1.7,0.0,869
AL,2022-01-01,632,almeria,16.2,1.1,0.0,869
AL,2022-01-02,899,almeria,17.6,0.8,0.0,869
AL,2022-01-03,1285,almeria,15.8,1.1,0.0,869
AL,2022-01-04,1594,almeria,14.7,1.7,0.0,869
AL,2022-01-05,1824,almeria,8.9,2.5,3.1,869
AL,2022-01-06,1204,almeria,8.2,2.2,0.0,869
AL,2022-01-07,1554,almeria,10.0,1.9,0.0,869
AL,2022-01-08,1151,almeria,9.6,3.1,0.0,869
AL,2022-01-09,1220,almeria,12.4,3.9,0.0,869
AL,2022-01-10,1367,almeria,13.4,2.8,0.0,869
AL,2022-01-11,2001,almeria,10.6,2.5,0.0,869
AL,2022-01-12,1836,almeria,7.7,1.9,0.0,869
AL,2022-01-13,1932,almeria,6.0,3.3,2.0,869
AL,2022-01-14,658,almeria,5.6,2.5,0.0,869
AL,2022-01-15,1236,almeria,6.5,0.8,0.0,869
AL,2022-01-16,898,almeria,8.0,0.3,0.0,869
AL,2022-01-17,1230,almeria,6.4,1.1,0.0,869
AL,2022-01-18,1985,almeria,6.2,1.1,0.0,869
AL,2022-01-19,1811,almeria,5.8,1.4,0.0,869
AL,2022-01-20,1271,almeria,6.3,1.1,0.0,869
AL,2022-01-21,1110,almeria,6.2,1.4,0.0,869
AL,2022-01-22,642,almeria,7.6,3.3,0.0,869
AL,2022-01-23,714,almeria,7.4,3.1,0.0,869
AL,2022-01-24,1091,almeria,7.2,2.2,0.0,869
AL,2022-01-25,1247,almeria,6.6,2.5,0.1,869
AL,2022-01-26,1240,almeria,6.8,2.8,5.8,869
AL,2022-01-27,1096,almeria,7.8,2.5,0.0,869
AL,2022-01-28,941,almeria,8.4,1.9,0.0,869
AL,2022-01-29,632,almeria,9.0,2.5,0.0,869
AL,2022-01-30,442,almeria,10.9,1.9,0.0,869
AL,2022-01-31,849,almeria,14.0,2.5,0.0,869
AL,2022-02-01,940,almeria,11.8,1.4,0.0,869
AL,2022-02-02,669,almeria,13.0,1.9,0.0,869
AL,2022-02-03,381,almeria,15.0,0.8,0.0,869
