provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
O,2021-11-02,39,asturias,12.8,7.8,20.8,127
O,2021-11-03,42,asturias,10.1,5.8,16.1,127
O,2021-11-04,20,asturias,9.2,4.2,15.7,127
O,2021-11-05,14,asturias,10.2,2.5,5.6,127
O,2021-11-06,32,asturias,9.9,3.3,0.0,127
O,2021-11-07,34,asturias,10.0,2.2,0.0,127
O,2021-11-08,44,asturias,13.4,3.1,0.0,127
O,2021-11-09,39,asturias,11.6,3.3,0.0,127
O,2021-11-10,46,asturias,10.4,3.6,0.0,127
O,2021-11-12,45,asturias,12.0,2.5,0.0,127
O,2021-11-13,46,asturias,13.0,2.5,0.0,127
O,2021-11-14,46,asturias,11.8,1.7,2.3,127
O,2021-11-15,84,asturias,12.2,1.9,1.5,127
O,2021-11-16,84,asturias,10.8,2.2,0.0,127
O,2021-11-17,117,asturias,11.1,1.9,0.2,127
O,2021-11-18,84,asturias,10.8,4.2,0.0,127
O,2021-11-19,67,asturias,9.8,2.5,0.0,127
O,2021-11-20,117,asturias,11.2,2.5,0.0,127
O,2021-11-21,126,asturias,9.7,2.8,10.9,127
O,2021-11-22,196,asturias,8.6,3.6,35.7,127
O,2021-11-23,205,asturias,9.0,4.4,12.2,127
O,2021-11-24,260,asturias,9.8,3.3,18.2,127
O,2021-11-25,203,asturias,9.1,2.5,21.1,127
O,2021-11-26,133,asturias,8.7,5.0,14.2,127
O,2021-11-27,225,asturias,8.4,3.6,11.1,127
O,2021-11-28,297,asturias,9.0,5.6,19.9,127
O,2021-11-29,319,asturias,10.4,6.7,2.9,127
O,2021-11-30,321,asturias,11.2,2.5,0.0,127
O,2021-12-01,427,asturias,11.4,6.7,28.8,127
O,2021-12-02,374,asturias,9.3,2.5,6.9,127
O,2021-12-03,290,asturias,11.4,4.7,3.6,127
O,2021-12-04,330,asturias,12.4,9.7,20.9,127
O,2021-12-05,306,asturias,9.4,7.5,10.2,127
O,2021-12-06,449,asturias,12.5,5.6,8.9,127
