provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BA,2021-11-02,23,badajoz,13.6,2.2,0.0,185
BA,2021-11-03,21,badajoz,12.9,3.1,0.0,185
BA,2021-11-04,19,badajoz,11.2,2.2,0.0,185
BA,2021-11-05,16,badajoz,11.5,1.4,0.0,185
BA,2021-11-06,17,badajoz,10.7,3.1,0.0,185
BA,2021-11-07,27,badajoz,9.5,1.1,0.0,185
BA,2021-11-08,23,badajoz,11.9,0.8,0.0,185
BA,2021-11-09,38,badajoz,12.4,1.1,0.0,185
BA,2021-11-10,31,badajoz,12.2,1.1,0.0,185
BA,2021-11-11,28,badajoz,12.4,0.8,0.0,185
BA,2021-11-12,16,badajoz,11.6,0.8,0.0,185
BA,2021-11-13,32,badajoz,12.6,1.1,0.0,185
BA,2021-11-14,18,badajoz,12.2,1.1,0.0,185
BA,2021-11-15,42,badajoz,10.8,1.4,0.0,185
BA,2021-11-16,35,badajoz,10.8,2.2,0.0,185
BA,2021-11-17,37,badajoz,10.2,3.1,0.0,185
BA,2021-11-18,21,badajoz,11.0,2.8,0.0,185
BA,2021-11-19,34,badajoz,12.9,4.2,0.0,185
BA,2021-11-20,34,badajoz,14.2,3.1,1.2,185
BA,2021-11-21,44,badajoz,14.8,1.1,0.0,185
BA,2021-11-22,51,badajoz,10.2,3.3,1.0,185
BA,2021-11-23,48,badajoz,6.0,1.7,0.4,185
BA,2021-11-24,75,badajoz,8.6,1.9,0.0,185
BA,2021-11-25,46,badajoz,9.1,2.2,2.6,185
BA,2021-11-26,53,badajoz,8.8,1.7,0.0,185
BA,2021-11-27,90,badajoz,9.6,3.9,0.0,185
BA,2021-11-28,75,badajoz,7.8,3.3,0.0,185
BA,2021-11-29,130,badajoz,11.4,3.1,0.0,185
BA,2021-11-30,128,badajoz,7.5,1.4,0.0,185
BA,2021-12-01,97,badajoz,7.6,1.9,0.2,185
BA,2021-12-02,72,badajoz,10.3,5.0,0.0,185
BA,2021-12-03,88,badajoz,8.8,1.4,0.0,185
BA,2021-12-04,79,badajoz,9.4,2.5,0.0,185
BA,2021-12-05,110,badajoz,10.6,3.1,0.0,185
BA,2021-12-06,82,badajoz,10.6,1.9,0.0,185
BA,2021-12-07,147,badajoz,12.8,1.7,1.4,185
BA,2021-12-08,197,badajoz,10.4,4.4,0.4,185
BA,2021-12-09,144,badajoz,11.4,3.3,0.0,185
BA,2021-12-10,169,badajoz,12.5,3.3,0.0,185
BA,2021-12-11,210,badajoz,13.6,1.1,0.0,185
BA,2021-12-12,250,badajoz,11.7,1.9,0.0,185
BA,2021-12-13,422,badajoz,11.6,2.5,0.0,185
BA,2021-12-14,398,badajoz,11.0,1.9,0.0,185
BA,2021-12-15,405,badajoz,10.0,1.9,0.0,185
BA,2021-12-16,240,badajoz,8.4,3.1,0.0,185
BA,2021-12-17,370,badajoz,9.4,1.7,0.0,185
BA,2021-12-18,813,badajoz,9.0,3.1,0.0,185
BA,2021-12-19,1031,badajoz,11.5,4.4,0.2,185
BA,2021-12-20,1486,badajoz,11.4,3.1,11.6,185
BA,2021-12-21,1676,badajoz,11.7,3.6,8.0,185
BA,2021-12-22,1232,badajoz,13.0,1.7,1.6,185
BA,2021-12-23,1013,badajoz,13.4,2.2,11.4,185
BA,2021-12-24,1228,badajoz,13.8,2.5,9.2,185
BA,2021-12-25,1883,badajoz,14.0,3.6,2.8,185
BA,2021-12-26,2361,badajoz,14.5,2.5,1.4,185
BA,2021-12-27,1973,badajoz,16.7,2.5,0.6,185
BA,2021-12-28,2070,badajoz,14.2,1.4,0.2,185
BA,2021-12-29,1809,badajoz,12.0,2.2,0.2,185
BA,2021-12-30,1305,badajoz,11.5,1.7,0.0,185
BA,2021-12-31,951,badajoz,12.4,1.7,0.0,185
BA,2022-01-01,1695,badajoz,12.0,1.1,0.0,185
BA,2022-01-02,1970,badajoz,11.4,0.8,0.0,185
BA,2022-01-03,1856,badajoz,12.4,1.1,0.0,185
BA,2022-01-04,924,badajoz,7.8,1.9,1.8,185
BA,2022-01-05,2151,badajoz,9.4,3.3,0.0,185
BA,2022-01-06,1089,badajoz,8.8,1.7,0.0,185
BA,2022-01-07,1744,badajoz,8.0,1.4,0.0,185
BA,2022-01-08,2565,badajoz,6.6,0.8,0.0,185
BA,2022-01-09,2296,badajoz,7.8,2.8,0.0,185
BA,2022-01-10,2047,badajoz,13.3,2.2,0.0,185
BA,2022-01-11,1996,badajoz,10.6,1.9,0.0,185
