provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PM,2021-11-02,104,baleares,20.4,3.1,0.0,57
PM,2021-11-03,81,baleares,18.4,4.2,2.3,57
PM,2021-11-04,50,baleares,16.0,4.4,46.6,57
PM,2021-11-05,51,baleares,13.9,14.2,1.6,57
PM,2021-11-06,117,baleares,15.8,20.6,5.8,57
PM,2021-11-07,101,baleares,16.0,16.7,0.0,57
PM,2021-11-08,133,baleares,16.6,15.3,0.1,57
PM,2021-11-12,123,baleares,16.4,6.7,7.7,57
PM,2021-11-13,221,baleares,18.6,9.7,0.0,57
PM,2021-11-14,186,baleares,16.0,2.8,12.6,57
PM,2021-11-15,205,baleares,14.2,15.6,11.8,57
PM,2021-11-16,196,baleares,15.6,14.2,1.7,57
PM,2021-11-17,221,baleares,15.0,12.5,0.0,57
PM,2021-11-18,133,baleares,15.0,9.4,0.0,57
PM,2021-11-19,145,baleares,16.4,5.6,1.4,57
PM,2021-11-20,277,baleares,18.4,5.3,2.7,57
PM,2021-11-21,276,baleares,16.4,3.3,1.2,57
PM,2021-11-22,271,baleares,16.7,3.6,2.4,57
PM,2021-11-23,274,baleares,15.6,4.7,23.0,57
PM,2021-11-24,309,baleares,13.8,2.2,2.7,57
PM,2021-11-25,241,baleares,13.1,1.4,0.7,57
PM,2021-11-26,244,baleares,14.3,1.4,0.0,57
PM,2021-11-27,392,baleares,13.4,3.1,2.0,57
PM,2021-11-28,348,baleares,11.8,3.3,5.7,57
PM,2021-11-29,447,baleares,12.8,5.6,0.1,57
PM,2021-11-30,530,baleares,13.9,2.8,0.0,57
PM,2021-12-01,497,baleares,16.0,1.9,0.9,57
PM,2021-12-02,414,baleares,11.0,2.5,17.8,57
PM,2021-12-03,418,baleares,11.1,6.1,0.0,57
PM,2021-12-04,304,baleares,15.2,2.5,0.0,57
PM,2021-12-05,595,baleares,13.2,5.3,1.9,57
PM,2021-12-06,404,baleares,13.0,4.4,0.0,57
PM,2021-12-07,659,baleares,16.2,3.9,0.0,57
PM,2021-12-08,569,baleares,14.6,5.0,0.6,57
PM,2021-12-09,477,baleares,12.6,2.8,0.1,57
PM,2021-12-11,975,baleares,13.7,5.6,0.0,57
PM,2021-12-12,805,baleares,15.0,3.6,0.0,57
PM,2021-12-13,874,baleares,16.0,3.1,0.0,57
PM,2021-12-14,868,baleares,15.2,2.5,0.0,57
PM,2021-12-15,895,baleares,13.8,3.1,0.0,57
PM,2021-12-16,705,baleares,13.8,2.8,0.0,57
PM,2021-12-17,750,baleares,13.0,4.2,0.0,57
PM,2021-12-18,1110,baleares,14.4,4.7,0.0,57
PM,2021-12-19,1321,baleares,13.2,1.7,0.0,57
PM,2021-12-20,1528,baleares,14.9,1.7,0.0,57
PM,2021-12-21,1508,baleares,15.4,2.5,0.0,57
PM,2021-12-22,1388,baleares,13.7,3.3,0.0,57
PM,2021-12-23,1350,baleares,14.5,2.8,0.0,57
PM,2021-12-24,1321,baleares,15.1,3.1,0.0,57
PM,2021-12-25,2605,baleares,17.1,2.2,1.3,57
PM,2021-12-26,2781,baleares,16.8,1.9,0.0,57
PM,2021-12-27,2983,baleares,19.2,3.3,0.0,57
PM,2021-12-28,2667,baleares,19.2,1.7,0.0,57
PM,2021-12-29,2174,baleares,19.8,1.4,0.0,57
PM,2021-12-30,2006,baleares,16.4,0.6,0.0,57
PM,2021-12-31,2086,baleares,15.4,2.2,0.1,57
PM,2022-01-01,4167,baleares,12.9,1.7,0.1,57
PM,2022-01-02,3230,baleares,13.6,1.1,0.0,57
PM,2022-01-03,4412,baleares,13.8,1.1,0.0,57
PM,2022-01-04,2740,baleares,17.5,1.1,1.5,57
PM,2022-01-05,3561,baleares,11.6,10.0,4.7,57
PM,2022-01-06,2430,baleares,11.4,8.3,1.6,57
PM,2022-01-07,3281,baleares,11.7,5.3,0.0,57
PM,2022-01-08,3807,baleares,13.4,1.7,0.0,57
PM,2022-01-09,3443,baleares,14.1,4.4,0.0,57
PM,2022-01-10,4023,baleares,13.0,8.9,0.6,57
PM,2022-01-11,3511,baleares,13.0,10.0,0.0,57
PM,2022-01-12,3341,baleares,12.2,11.4,0.0,57
PM,2022-01-13,2801,baleares,13.4,7.2,0.0,57
PM,2022-01-14,3011,baleares,13.0,1.4,0.0,57
PM,2022-01-15,3393,baleares,13.0,1.4,0.0,57
PM,2022-01-16,3246,baleares,14.2,2.8,0.0,57
PM,2022-01-17,3756,baleares,13.2,3.6,0.0,57
PM,2022-01-18,3617,baleares,13.6,3.6,0.0,57
PM,2022-01-19,3967,baleares,13.8,1.7,0.0,57
PM,2022-01-20,2814,baleares,12.8,3.1,0.0,57
PM,2022-01-21,2723,baleares,10.4,6.1,1.0,57
PM,2022-01-22,2719,baleares,11.8,5.8,0.0,57
PM,2022-01-23,2638,baleares,11.0,3.3,0.0,57
PM,2022-01-24,2891,baleares,12.6,6.7,0.0,57
PM,2022-01-25,2161,baleares,12.8,3.6,0.0,57
PM,2022-01-26,1930,baleares,12.8,1.4,0.0,57
PM,2022-01-27,1281,baleares,14.2,1.1,0.0,57
PM,2022-01-28,1424,baleares,15.0,2.8,0.0,57
PM,2022-01-29,1667,baleares,13.0,9.2,0.0,57
PM,2022-01-30,1590,baleares,15.1,1.4,0.0,57
PM,2022-01-31,1893,baleares,15.2,2.8,0.5,57
PM,2022-02-01,1504,baleares,13.4,8.9,0.0,57
PM,2022-02-02,1250,baleares,15.2,2.2,0.0,57
PM,2022-02-03,955,baleares,15.3,2.5,0.0,57
PM,2022-02-04,980,baleares,15.2,5.0,0.0,57
PM,2022-02-05,814,baleares,14.2,0.8,0.2,57
PM,2022-02-06,481,baleares,13.2,1.7,0.0,57
PM,2022-02-07,239,baleares,13.5,3.9,0.0,57
