provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
B,2021-11-02,521,barcelona,14.2,1.4,0.0,74
B,2021-11-03,378,barcelona,13.4,1.1,0.2,74
B,2021-11-04,254,barcelona,13.1,1.7,0.1,74
B,2021-11-05,272,barcelona,12.2,1.4,0.0,74
B,2021-11-06,446,barcelona,12.2,2.8,0.0,74
B,2021-11-07,428,barcelona,12.6,1.4,0.0,74
B,2021-11-08,601,barcelona,13.9,1.7,0.0,74
B,2021-11-09,777,barcelona,12.8,3.1,0.0,74
B,2021-11-10,690,barcelona,14.6,4.4,9.2,74
B,2021-11-11,487,barcelona,16.3,2.5,0.1,74
B,2021-11-12,376,barcelona,17.3,3.3,0.0,74
B,2021-11-13,756,barcelona,17.2,0.8,0.0,74
B,2021-11-14,760,barcelona,15.0,1.1,4.9,74
B,2021-11-15,1046,barcelona,13.5,1.4,0.4,74
B,2021-11-16,986,barcelona,13.6,0.6,5.0,74
B,2021-11-17,821,barcelona,13.0,1.4,0.0,74
B,2021-11-18,787,barcelona,12.5,1.4,0.0,74
B,2021-11-19,833,barcelona,12.6,1.4,0.0,74
B,2021-11-20,1033,barcelona,12.8,1.1,0.0,74
B,2021-11-21,860,barcelona,14.8,0.8,1.3,74
B,2021-11-22,1217,barcelona,13.0,1.1,0.1,74
B,2021-11-23,1302,barcelona,11.9,2.5,33.4,74
B,2021-11-24,1491,barcelona,11.1,1.4,20.1,74
B,2021-11-25,1094,barcelona,10.0,2.2,0.1,74
B,2021-11-26,1081,barcelona,11.3,1.4,0.0,74
B,2021-11-27,1087,barcelona,9.4,0.6,0.0,74
B,2021-11-28,1057,barcelona,8.5,1.7,0.0,74
B,2021-11-29,2100,barcelona,7.9,1.7,0.0,74
B,2021-11-30,1819,barcelona,9.5,1.4,0.0,74
B,2021-12-01,2084,barcelona,9.4,1.4,0.5,74
B,2021-12-02,1774,barcelona,9.6,1.4,0.0,74
B,2021-12-03,1922,barcelona,8.6,1.1,0.0,74
B,2021-12-04,999,barcelona,13.1,1.1,0.0,74
B,2021-12-05,1364,barcelona,9.6,1.7,0.0,74
B,2021-12-06,843,barcelona,9.0,1.4,0.0,74
B,2021-12-07,3267,barcelona,10.6,1.9,0.0,74
B,2021-12-08,1675,barcelona,11.6,2.5,0.0,74
B,2021-12-09,2936,barcelona,8.4,1.1,0.0,74
B,2021-12-10,3465,barcelona,11.7,1.1,0.0,74
B,2021-12-11,2236,barcelona,10.7,1.4,0.0,74
B,2021-12-12,1481,barcelona,12.9,1.1,0.0,74
B,2021-12-13,4447,barcelona,11.8,1.4,0.1,74
B,2021-12-14,3874,barcelona,11.6,1.1,0.0,74
B,2021-12-15,4149,barcelona,11.8,1.1,0.0,74
B,2021-12-16,3503,barcelona,11.0,1.4,0.0,74
B,2021-12-17,4906,barcelona,10.4,1.1,0.0,74
B,2021-12-18,3549,barcelona,10.6,1.4,0.0,74
B,2021-12-19,3059,barcelona,9.8,1.7,0.0,74
B,2021-12-20,8725,barcelona,9.8,0.8,0.0,74
B,2021-12-21,9537,barcelona,10.6,0.6,0.0,74
B,2021-12-22,10717,barcelona,10.4,0.3,0.0,74
B,2021-12-23,12065,barcelona,12.2,1.7,0.0,74
B,2021-12-24,13981,barcelona,13.8,1.4,0.0,74
B,2021-12-25,7184,barcelona,13.7,0.8,0.0,74
B,2021-12-26,7894,barcelona,12.8,0.8,0.0,74
B,2021-12-27,19216,barcelona,15.4,1.1,0.0,74
B,2021-12-28,20067,barcelona,16.8,1.9,0.0,74
B,2021-12-29,19268,barcelona,15.2,1.4,0.0,74
B,2021-12-30,17551,barcelona,15.8,1.4,0.0,74
B,2021-12-31,16494,barcelona,14.0,0.8,0.0,74
B,2022-01-01,7529,barcelona,11.0,0.8,0.0,74
B,2022-01-02,9521,barcelona,10.7,0.8,0.0,74
B,2022-01-03,22698,barcelona,10.8,0.8,0.0,74
B,2022-01-04,23546,barcelona,14.8,1.1,0.5,74
B,2022-01-05,21962,barcelona,9.2,1.7,1.5,74
B,2022-01-06,10923,barcelona,7.4,1.1,0.0,74
B,2022-01-07,20473,barcelona,7.7,1.1,0.0,74
B,2022-01-08,13384,barcelona,8.6,0.8,0.0,74
B,2022-01-09,16177,barcelona,10.8,1.9,0.0,74
B,2022-01-10,28560,barcelona,9.6,3.1,0.4,74
B,2022-01-11,26023,barcelona,9.8,1.4,0.0,74
B,2022-01-12,24085,barcelona,8.8,1.1,0.0,74
B,2022-01-13,23439,barcelona,8.0,1.9,0.0,74
B,2022-01-14,22169,barcelona,9.6,1.7,0.0,74
B,2022-01-15,18540,barcelona,7.8,1.4,0.0,74
B,2022-01-16,19569,barcelona,8.9,1.4,0.0,74
B,2022-01-17,34438,barcelona,8.9,1.4,0.0,74
B,2022-01-18,32084,barcelona,9.2,1.4,0.0,74
