provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BI,2021-11-02,90,bizkaia,15.1,5.0,11.3,42
BI,2021-11-03,90,bizkaia,10.4,2.8,41.7,42
BI,2021-11-04,85,bizkaia,10.0,2.5,38.5,42
BI,2021-11-05,58,bizkaia,9.4,1.1,6.4,42
BI,2021-11-06,100,bizkaia,9.0,2.2,0.0,42
BI,2021-11-07,96,bizkaia,8.7,2.5,1.1,42
BI,2021-11-08,126,bizkaia,12.9,1.7,0.1,42
BI,2021-11-09,129,bizkaia,10.2,1.7,0.0,42
BI,2021-11-10,158,bizkaia,9.8,0.8,0.0,42
BI,2021-11-11,158,bizkaia,10.4,0.8,0.0,42
BI,2021-11-12,138,bizkaia,13.6,1.9,0.0,42
BI,2021-11-13,140,bizkaia,14.4,2.5,0.0,42
BI,2021-11-14,143,bizkaia,12.2,3.1,13.9,42
BI,2021-11-15,217,bizkaia,12.6,1.9,0.0,42
BI,2021-11-16,218,bizkaia,11.0,1.1,0.4,42
BI,2021-11-17,231,bizkaia,10.2,1.1,0.0,42
BI,2021-11-18,237,bizkaia,10.4,1.7,0.0,42
BI,2021-11-19,191,bizkaia,11.0,2.2,0.0,42
BI,2021-11-20,192,bizkaia,12.8,3.1,0.0,42
BI,2021-11-21,194,bizkaia,9.3,1.4,19.6,42
BI,2021-11-22,273,bizkaia,9.2,1.4,3.7,42
BI,2021-11-23,278,bizkaia,8.8,1.4,13.1,42
BI,2021-11-24,392,bizkaia,10.1,1.1,29.6,42
BI,2021-11-25,270,bizkaia,9.2,5.0,37.4,42
BI,2021-11-26,223,bizkaia,8.8,3.1,19.0,42
BI,2021-11-27,362,bizkaia,7.4,6.7,43.2,42
BI,2021-11-28,372,bizkaia,8.4,4.4,50.3,42
BI,2021-11-29,458,bizkaia,10.4,1.9,24.1,42
BI,2021-11-30,532,bizkaia,11.6,1.9,0.0,42
BI,2021-12-01,565,bizkaia,10.2,1.9,42.0,42
BI,2021-12-02,446,bizkaia,9.2,3.1,7.9,42
BI,2021-12-03,353,bizkaia,10.7,1.1,2.9,42
BI,2021-12-04,350,bizkaia,11.2,3.9,33.1,42
BI,2021-12-05,435,bizkaia,9.0,7.2,17.8,42
BI,2021-12-06,513,bizkaia,11.2,4.7,4.3,42
BI,2021-12-07,577,bizkaia,13.8,5.8,9.6,42
BI,2021-12-08,730,bizkaia,7.2,5.6,30.5,42
BI,2021-12-09,639,bizkaia,11.2,7.2,41.3,42
BI,2021-12-10,498,bizkaia,13.0,8.6,27.4,42
BI,2021-12-11,708,bizkaia,12.0,1.4,12.4,42
BI,2021-12-12,780,bizkaia,11.2,3.3,0.0,42
BI,2021-12-13,910,bizkaia,11.9,2.2,0.0,42
BI,2021-12-14,1079,bizkaia,9.2,1.4,0.0,42
BI,2021-12-15,1216,bizkaia,7.4,1.7,0.0,42
BI,2021-12-16,1048,bizkaia,9.3,0.8,0.0,42
BI,2021-12-17,732,bizkaia,9.6,2.2,0.0,42
BI,2021-12-18,1229,bizkaia,11.4,2.2,0.0,42
BI,2021-12-19,1911,bizkaia,11.1,4.2,0.0,42
BI,2021-12-20,2516,bizkaia,9.7,3.1,0.0,42
BI,2021-12-21,2815,bizkaia,13.4,2.5,0.0,42
BI,2021-12-22,2963,bizkaia,15.7,4.7,0.0,42
BI,2021-12-23,1935,bizkaia,14.9,4.4,3.3,42
BI,2021-12-24,2264,bizkaia,15.5,4.2,0.0,42
BI,2021-12-25,3182,bizkaia,13.4,4.4,0.0,42
BI,2021-12-26,3570,bizkaia,12.6,1.7,8.2,42
BI,2021-12-27,5273,bizkaia,15.4,5.0,0.0,42
BI,2021-12-28,5859,bizkaia,16.4,4.2,0.0,42
BI,2021-12-29,5187,bizkaia,16.8,1.9,0.0,42
BI,2021-12-30,3860,bizkaia,17.4,2.8,0.0,42
BI,2021-12-31,4459,bizkaia,17.8,3.3,0.0,42
BI,2022-01-01,6303,bizkaia,19.6,4.2,0.0,42
BI,2022-01-02,7187,bizkaia,15.5,1.9,0.0,42
BI,2022-01-03,7117,bizkaia,14.0,4.7,0.0,42
BI,2022-01-04,4698,bizkaia,14.4,5.3,24.6,42
BI,2022-01-05,6287,bizkaia,6.6,2.2,2.2,42
BI,2022-01-06,5224,bizkaia,6.6,1.9,6.8,42
BI,2022-01-07,4113,bizkaia,9.4,3.6,2.1,42
BI,2022-01-08,5939,bizkaia,9.2,3.9,22.6,42
BI,2022-01-09,5940,bizkaia,11.9,8.6,37.3,42
