provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CA,2021-11-02,40,cadiz,18.5,2.5,2.6,2
CA,2021-11-03,33,cadiz,17.6,6.4,0.0,2
CA,2021-11-04,23,cadiz,14.7,3.9,0.0,2
CA,2021-11-05,7,cadiz,14.7,4.7,0.0,2
CA,2021-11-06,28,cadiz,14.4,5.6,0.0,2
CA,2021-11-07,28,cadiz,14.4,4.4,0.0,2
CA,2021-11-08,44,cadiz,15.0,4.7,0.0,2
CA,2021-11-09,38,cadiz,15.8,2.2,0.0,2
CA,2021-11-10,63,cadiz,16.4,1.9,0.0,2
CA,2021-11-11,19,cadiz,16.1,1.4,0.0,2
CA,2021-11-12,49,cadiz,15.1,1.9,0.0,2
CA,2021-11-13,36,cadiz,17.2,4.2,0.0,2
CA,2021-11-14,61,cadiz,17.9,1.9,0.0,2
CA,2021-11-15,73,cadiz,16.6,1.1,0.0,2
CA,2021-11-16,112,cadiz,15.0,1.9,0.0,2
CA,2021-11-17,47,cadiz,15.5,5.6,0.0,2
CA,2021-11-18,73,cadiz,16.1,8.3,0.0,2
CA,2021-11-19,41,cadiz,18.0,14.4,0.4,2
CA,2021-11-20,99,cadiz,16.8,5.8,5.6,2
CA,2021-11-21,75,cadiz,16.4,3.3,1.4,2
CA,2021-11-22,125,cadiz,16.0,3.1,0.0,2
CA,2021-11-23,134,cadiz,13.2,4.4,0.0,2
CA,2021-11-24,111,cadiz,12.8,1.7,0.0,2
CA,2021-11-25,103,cadiz,14.4,5.3,3.0,2
CA,2021-11-26,81,cadiz,10.7,2.2,0.0,2
CA,2021-11-27,133,cadiz,12.6,5.3,0.0,2
CA,2021-11-28,39,cadiz,11.0,4.2,0.0,2
CA,2021-11-29,171,cadiz,15.0,5.0,0.0,2
CA,2021-11-30,186,cadiz,12.7,3.1,0.0,2
CA,2021-12-01,177,cadiz,12.2,2.8,1.0,2
CA,2021-12-02,239,cadiz,14.4,6.4,0.2,2
CA,2021-12-03,197,cadiz,11.9,2.8,0.0,2
CA,2021-12-04,110,cadiz,12.5,3.1,0.0,2
CA,2021-12-05,90,cadiz,14.2,5.6,0.0,2
CA,2021-12-06,76,cadiz,12.5,1.7,0.0,2
CA,2021-12-07,221,cadiz,13.2,2.5,4.8,2
CA,2021-12-08,178,cadiz,15.0,5.3,0.0,2
CA,2021-12-09,255,cadiz,13.8,5.0,0.0,2
CA,2021-12-10,260,cadiz,15.0,5.3,0.0,2
CA,2021-12-11,285,cadiz,15.0,4.4,0.0,2
CA,2021-12-12,247,cadiz,16.2,5.3,0.0,2
CA,2021-12-13,506,cadiz,16.4,9.7,0.0,2
CA,2021-12-14,601,cadiz,15.9,7.5,0.0,2
CA,2021-12-15,616,cadiz,15.6,8.6,0.0,2
CA,2021-12-16,962,cadiz,15.6,8.1,0.0,2
CA,2021-12-17,790,cadiz,15.8,10.6,0.0,2
CA,2021-12-18,665,cadiz,14.8,7.2,0.0,2
CA,2021-12-19,420,cadiz,16.3,11.1,0.0,2
CA,2021-12-20,988,cadiz,16.0,5.8,0.0,2
CA,2021-12-21,1331,cadiz,17.0,4.4,15.8,2
CA,2021-12-22,1385,cadiz,16.3,5.0,1.0,2
CA,2021-12-23,1647,cadiz,16.0,6.4,73.0,2
CA,2021-12-24,1116,cadiz,15.4,5.0,40.6,2
CA,2021-12-25,793,cadiz,16.2,7.2,1.6,2
CA,2021-12-26,650,cadiz,17.1,3.1,4.0,2
CA,2021-12-27,1424,cadiz,18.0,2.8,0.0,2
CA,2021-12-28,2067,cadiz,17.3,3.6,0.0,2
CA,2021-12-29,2380,cadiz,15.7,5.0,0.0,2
CA,2021-12-30,2325,cadiz,16.2,1.7,0.0,2
CA,2021-12-31,1566,cadiz,15.7,1.7,0.0,2
CA,2022-01-01,818,cadiz,15.3,3.6,0.0,2
