provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
S,2021-11-02,24,cantabria,15.3,4.4,20.3,45
S,2021-11-03,16,cantabria,10.0,7.8,37.8,45
S,2021-11-04,34,cantabria,9.8,4.2,43.6,45
S,2021-11-05,16,cantabria,10.8,2.2,7.9,45
S,2021-11-06,24,cantabria,10.8,1.7,0.0,45
S,2021-11-07,25,cantabria,11.1,4.2,0.3,45
S,2021-11-08,31,cantabria,13.6,2.5,0.0,45
S,2021-11-09,35,cantabria,12.0,1.9,0.0,45
S,2021-11-10,42,cantabria,11.4,1.7,0.0,45
S,2021-11-11,38,cantabria,11.8,0.8,0.0,45
S,2021-11-12,35,cantabria,14.0,1.7,0.0,45
S,2021-11-13,30,cantabria,14.8,3.6,0.0,45
S,2021-11-14,34,cantabria,12.8,4.7,5.0,45
S,2021-11-15,46,cantabria,13.4,3.1,6.0,45
S,2021-11-16,50,cantabria,12.2,2.5,1.7,45
S,2021-11-17,66,cantabria,11.4,2.5,0.0,45
S,2021-11-18,57,cantabria,11.5,1.4,0.0,45
S,2021-11-19,64,cantabria,12.4,3.9,0.0,45
S,2021-11-20,52,cantabria,14.0,4.4,0.0,45
S,2021-11-21,54,cantabria,11.8,3.6,23.4,45
S,2021-11-22,71,cantabria,9.4,3.6,7.2,45
S,2021-11-23,86,cantabria,9.6,4.4,20.2,45
S,2021-11-24,89,cantabria,10.3,1.7,14.5,45
S,2021-11-25,84,cantabria,9.3,6.9,29.9,45
S,2021-11-26,88,cantabria,9.4,5.6,20.9,45
S,2021-11-27,84,cantabria,8.4,10.6,19.9,45
S,2021-11-28,112,cantabria,9.8,9.2,44.1,45
S,2021-12-08,210,cantabria,6.8,9.2,35.6,45
S,2021-12-11,224,cantabria,12.2,5.6,20.8,45
S,2021-12-12,180,cantabria,11.7,3.3,0.0,45
S,2021-12-13,279,cantabria,10.8,1.1,0.3,45
S,2021-12-14,165,cantabria,8.9,1.4,0.1,45
S,2021-12-15,287,cantabria,7.4,0.8,0.0,45
S,2021-12-16,320,cantabria,8.9,2.8,0.3,45
S,2021-12-18,369,cantabria,10.1,4.4,0.0,45
S,2021-12-19,464,cantabria,11.2,2.2,0.0,45
S,2021-12-20,626,cantabria,10.0,0.8,0.0,45
S,2021-12-21,710,cantabria,13.9,2.2,0.0,45
S,2021-12-22,664,cantabria,16.0,5.3,0.0,45
S,2021-12-23,580,cantabria,16.6,8.1,0.6,45
S,2021-12-24,527,cantabria,16.0,6.1,0.1,45
S,2021-12-25,827,cantabria,14.9,3.1,0.0,45
S,2021-12-26,1034,cantabria,14.6,2.2,7.6,45
S,2021-12-27,1274,cantabria,16.6,4.7,0.2,45
S,2021-12-28,1277,cantabria,17.8,1.9,0.0,45
S,2021-12-29,962,cantabria,17.0,1.9,0.0,45
S,2021-12-30,1019,cantabria,16.7,1.7,0.0,45
S,2021-12-31,1032,cantabria,15.6,1.1,0.0,45
S,2022-01-01,1532,cantabria,19.6,5.0,0.0,45
S,2022-01-02,1714,cantabria,18.1,1.1,0.0,45
S,2022-01-03,2084,cantabria,15.2,4.4,0.0,45
S,2022-01-04,1375,cantabria,14.4,6.4,22.7,45
S,2022-01-05,1620,cantabria,9.0,3.3,0.7,45
S,2022-01-06,1063,cantabria,8.4,2.5,4.7,45
S,2022-01-07,1812,cantabria,10.6,6.1,3.4,45
S,2022-01-08,1370,cantabria,12.2,3.1,14.0,45
S,2022-01-09,2107,cantabria,12.2,9.2,33.4,45
S,2022-01-10,2009,cantabria,12.6,7.2,10.5,45
S,2022-01-11,2340,cantabria,11.5,2.5,4.2,45
S,2022-01-12,2046,cantabria,8.0,1.1,0.0,45
S,2022-01-13,1541,cantabria,8.0,2.5,0.0,45
S,2022-01-14,1712,cantabria,8.2,1.1,0.0,45
S,2022-01-15,1736,cantabria,7.4,1.1,0.0,45
S,2022-01-16,1441,cantabria,7.7,1.1,0.0,45
S,2022-01-17,2021,cantabria,8.0,2.2,0.0,45
S,2022-01-18,2045,cantabria,7.2,1.1,0.0,45
S,2022-01-19,1951,cantabria,7.8,1.7,0.0,45
S,2022-01-20,1610,cantabria,9.7,3.1,2.1,45
S,2022-01-21,1429,cantabria,7.5,5.3,0.0,45
S,2022-01-22,1585,cantabria,6.2,1.9,0.0,45
S,2022-01-23,1414,cantabria,7.1,2.8,0.1,45
S,2022-01-24,1861,cantabria,8.0,1.1,0.0,45
S,2022-01-25,1756,cantabria,8.2,1.4,0.0,45
S,2022-01-26,1689,cantabria,8.6,1.9,0.0,45
S,2022-01-27,1324,cantabria,8.2,1.9,0.0,45
S,2022-01-28,1080,cantabria,6.8,1.9,0.0,45
S,2022-01-29,1309,cantabria,7.6,3.1,0.0,45
S,2022-01-30,932,cantabria,6.8,2.2,0.5,45
S,2022-01-31,1375,cantabria,9.6,5.3,3.0,45
S,2022-02-01,1127,cantabria,9.2,3.1,0.0,45
S,2022-02-02,1005,cantabria,10.1,3.1,0.0,45
S,2022-02-03,834,cantabria,11.6,2.5,0.0,45
S,2022-02-04,611,cantabria,11.0,2.8,4.8,45
S,2022-02-05,668,cantabria,8.8,1.9,0.1,45
S,2022-02-06,430,cantabria,8.2,1.7,0.0,45
S,2022-02-07,482,cantabria,11.1,2.8,0.4,45
