provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CS,2021-11-02,103,castellon,15.9,1.7,0.0,43
CS,2021-11-03,106,castellon,15.0,2.5,0.0,43
CS,2021-11-04,68,castellon,13.6,2.5,0.0,43
CS,2021-11-05,46,castellon,13.8,2.5,0.0,43
CS,2021-11-06,69,castellon,14.6,3.1,0.0,43
CS,2021-11-07,89,castellon,15.0,2.8,0.0,43
CS,2021-11-08,102,castellon,16.6,1.7,0.0,43
CS,2021-11-09,102,castellon,14.4,2.5,0.0,43
CS,2021-11-10,124,castellon,17.8,1.4,1.0,43
CS,2021-11-11,69,castellon,16.1,3.3,0.0,43
CS,2021-11-12,74,castellon,18.2,1.4,0.0,43
CS,2021-11-13,101,castellon,17.2,1.7,0.0,43
CS,2021-11-14,128,castellon,16.5,1.9,0.0,43
CS,2021-11-15,124,castellon,15.6,2.8,0.0,43
CS,2021-11-16,149,castellon,14.2,2.2,0.0,43
CS,2021-11-17,121,castellon,16.0,1.9,0.0,43
CS,2021-11-18,93,castellon,14.2,1.7,0.0,43
CS,2021-11-19,71,castellon,13.2,2.2,0.0,43
CS,2021-11-20,138,castellon,14.6,1.4,0.0,43
CS,2021-11-21,186,castellon,15.8,1.9,0.0,43
CS,2021-11-22,155,castellon,12.3,1.7,22.6,43
CS,2021-11-23,203,castellon,12.0,2.8,0.0,43
CS,2021-11-24,169,castellon,9.2,1.9,12.2,43
CS,2021-11-25,143,castellon,11.8,2.2,0.0,43
CS,2021-11-26,84,castellon,11.2,1.9,0.0,43
CS,2021-11-27,198,castellon,12.4,2.8,0.0,43
CS,2021-11-28,194,castellon,9.6,2.2,0.0,43
CS,2021-11-29,204,castellon,13.2,2.2,0.0,43
CS,2021-11-30,331,castellon,13.2,1.9,0.0,43
CS,2021-12-01,300,castellon,12.6,2.2,0.0,43
CS,2021-12-02,255,castellon,12.0,2.2,0.0,43
CS,2021-12-03,173,castellon,11.8,1.9,0.0,43
CS,2021-12-04,200,castellon,13.3,2.2,0.0,43
CS,2021-12-05,285,castellon,13.1,5.0,0.2,43
CS,2021-12-06,168,castellon,13.8,2.2,0.0,43
CS,2021-12-07,418,castellon,14.2,1.7,0.0,43
CS,2021-12-08,391,castellon,13.3,4.7,0.0,43
CS,2021-12-09,432,castellon,13.8,3.6,0.0,43
CS,2021-12-10,354,castellon,17.6,3.1,0.0,43
CS,2021-12-11,440,castellon,16.4,1.9,0.0,43
CS,2021-12-12,376,castellon,13.6,2.2,0.0,43
CS,2021-12-13,490,castellon,11.9,1.9,0.0,43
CS,2021-12-14,423,castellon,11.6,1.7,0.0,43
CS,2021-12-15,502,castellon,11.6,1.4,0.0,43
CS,2021-12-16,457,castellon,10.5,1.9,0.0,43
CS,2021-12-17,411,castellon,9.8,1.7,0.0,43
CS,2021-12-18,413,castellon,10.8,0.8,0.0,43
CS,2021-12-19,354,castellon,10.8,1.7,0.0,43
CS,2021-12-20,671,castellon,10.4,1.9,0.0,43
CS,2021-12-21,635,castellon,11.5,1.1,0.0,43
CS,2021-12-22,752,castellon,11.6,0.8,0.0,43
CS,2021-12-23,765,castellon,13.8,1.1,0.2,43
CS,2021-12-24,615,castellon,12.2,1.1,0.0,43
CS,2021-12-25,493,castellon,13.9,2.2,0.0,43
CS,2021-12-26,576,castellon,14.8,1.1,0.0,43
CS,2021-12-27,1162,castellon,18.2,3.6,0.0,43
CS,2021-12-28,1190,castellon,19.2,2.5,0.0,43
CS,2021-12-29,1598,castellon,17.6,2.2,0.0,43
CS,2021-12-30,1426,castellon,16.4,1.7,0.0,43
CS,2021-12-31,1002,castellon,13.1,0.8,0.0,43
CS,2022-01-01,1028,castellon,11.1,1.1,0.0,43
CS,2022-01-02,1379,castellon,11.0,0.8,0.0,43
CS,2022-01-03,2095,castellon,10.8,1.4,0.0,43
CS,2022-01-04,2203,castellon,16.8,3.6,0.0,43
CS,2022-01-05,2898,castellon,11.4,3.1,0.0,43
CS,2022-01-06,1101,castellon,9.2,1.7,0.0,43
