provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CE,2021-11-02,0,ceuta,19.8,2.8,14.0,87
CE,2021-11-03,1,ceuta,16.3,3.6,3.4,87
CE,2021-11-04,0,ceuta,15.0,3.6,0.0,87
CE,2021-11-05,0,ceuta,15.6,1.9,0.0,87
CE,2021-11-06,0,ceuta,14.4,2.8,0.0,87
CE,2021-11-07,0,ceuta,14.5,1.9,0.0,87
CE,2021-11-08,1,ceuta,15.4,3.1,0.0,87
CE,2021-11-09,1,ceuta,18.0,2.5,0.0,87
CE,2021-11-10,0,ceuta,15.9,1.4,0.0,87
CE,2021-11-11,0,ceuta,17.4,2.2,0.0,87
CE,2021-11-12,11,ceuta,18.2,1.9,0.0,87
CE,2021-11-13,7,ceuta,17.8,3.3,0.0,87
CE,2021-11-14,2,ceuta,18.1,2.5,0.0,87
CE,2021-11-15,7,ceuta,18.0,3.9,0.0,87
CE,2021-11-16,1,ceuta,16.8,2.5,0.0,87
CE,2021-11-17,4,ceuta,17.7,4.7,18.8,87
CE,2021-11-18,9,ceuta,15.3,7.2,30.8,87
CE,2021-11-19,5,ceuta,18.0,12.2,0.6,87
CE,2021-11-20,7,ceuta,16.6,12.2,50.3,87
CE,2021-11-21,3,ceuta,15.4,1.9,1.4,87
CE,2021-11-22,4,ceuta,17.0,3.1,1.6,87
CE,2021-11-23,8,ceuta,14.2,2.8,0.6,87
CE,2021-11-24,9,ceuta,13.0,2.2,1.2,87
CE,2021-11-25,5,ceuta,14.8,1.9,8.4,87
CE,2021-11-26,6,ceuta,12.4,1.7,0.0,87
CE,2021-11-27,11,ceuta,13.2,3.3,0.6,87
CE,2021-11-28,11,ceuta,10.8,3.3,0.4,87
CE,2021-11-29,23,ceuta,14.6,3.1,0.0,87
CE,2021-11-30,14,ceuta,14.3,2.2,0.0,87
CE,2021-12-01,12,ceuta,13.1,2.5,3.4,87
CE,2021-12-02,7,ceuta,13.7,5.0,0.0,87
CE,2021-12-03,17,ceuta,13.8,2.5,0.0,87
CE,2021-12-04,15,ceuta,14.8,4.2,0.0,87
CE,2021-12-05,21,ceuta,14.5,5.3,0.0,87
CE,2021-12-06,22,ceuta,13.5,2.2,0.0,87
CE,2021-12-07,43,ceuta,15.5,3.1,0.0,87
CE,2021-12-08,37,ceuta,14.0,3.3,2.4,87
CE,2021-12-09,41,ceuta,13.2,3.6,0.0,87
CE,2021-12-10,44,ceuta,15.2,4.4,0.0,87
CE,2021-12-11,56,ceuta,17.6,2.5,0.0,87
CE,2021-12-12,82,ceuta,15.9,2.2,0.0,87
CE,2021-12-13,71,ceuta,15.4,3.3,0.0,87
CE,2021-12-14,97,ceuta,15.6,4.7,0.0,87
CE,2021-12-15,73,ceuta,15.2,6.7,0.0,87
CE,2021-12-16,49,ceuta,14.8,5.8,0.0,87
CE,2021-12-17,42,ceuta,15.0,6.1,0.0,87
CE,2021-12-18,57,ceuta,14.9,4.4,2.0,87
CE,2021-12-19,64,ceuta,14.8,3.9,0.0,87
CE,2021-12-20,59,ceuta,15.2,3.1,0.0,87
CE,2021-12-21,57,ceuta,14.8,1.9,5.0,87
CE,2021-12-22,55,ceuta,16.0,1.7,4.8,87
CE,2021-12-23,33,ceuta,14.8,1.7,8.0,87
CE,2021-12-24,53,ceuta,14.2,1.4,30.2,87
CE,2021-12-25,114,ceuta,15.7,4.4,1.2,87
CE,2021-12-26,138,ceuta,18.1,3.3,1.4,87
CE,2021-12-27,140,ceuta,18.4,3.1,0.6,87
CE,2021-12-28,166,ceuta,17.8,2.2,0.0,87
CE,2021-12-29,132,ceuta,17.4,1.4,0.0,87
CE,2021-12-30,88,ceuta,15.1,2.2,0.0,87
CE,2021-12-31,126,ceuta,13.2,2.5,0.0,87
CE,2022-01-01,161,ceuta,12.8,2.8,0.0,87
CE,2022-01-02,235,ceuta,13.0,1.7,0.0,87
