provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CR,2021-11-02,17,ciudadReal,11.4,3.1,2.4,628
CR,2021-11-03,19,ciudadReal,10.2,2.8,0.0,628
CR,2021-11-04,7,ciudadReal,8.4,0.6,2.2,628
CR,2021-11-05,12,ciudadReal,7.2,2.2,0.0,628
CR,2021-11-06,15,ciudadReal,7.4,1.7,0.0,628
CR,2021-11-07,12,ciudadReal,6.8,1.1,0.0,628
CR,2021-11-08,26,ciudadReal,10.5,1.9,0.0,628
CR,2021-11-09,20,ciudadReal,9.8,1.4,0.0,628
CR,2021-11-10,24,ciudadReal,9.0,1.1,0.0,628
CR,2021-11-11,12,ciudadReal,9.2,0.6,0.0,628
CR,2021-11-12,13,ciudadReal,9.4,0.6,0.0,628
CR,2021-11-13,22,ciudadReal,10.8,0.6,0.0,628
CR,2021-11-14,20,ciudadReal,10.6,0.8,0.0,628
CR,2021-11-15,40,ciudadReal,10.0,1.4,0.0,628
CR,2021-11-16,30,ciudadReal,8.1,1.4,0.0,628
CR,2021-11-17,27,ciudadReal,7.9,1.9,0.0,628
CR,2021-11-18,23,ciudadReal,9.2,4.2,0.0,628
CR,2021-11-19,24,ciudadReal,11.3,3.9,0.0,628
CR,2021-11-20,62,ciudadReal,10.8,1.9,5.2,628
CR,2021-11-21,55,ciudadReal,11.6,0.6,4.6,628
CR,2021-11-22,41,ciudadReal,9.4,3.1,0.4,628
CR,2021-11-23,42,ciudadReal,5.2,1.9,0.2,628
CR,2021-11-24,25,ciudadReal,5.6,1.9,1.0,628
CR,2021-11-25,41,ciudadReal,5.9,1.4,0.0,628
CR,2021-11-26,9,ciudadReal,7.2,1.4,0.0,628
CR,2021-11-27,45,ciudadReal,5.6,2.5,1.8,628
CR,2021-11-28,48,ciudadReal,4.6,1.9,0.0,628
CR,2021-11-29,51,ciudadReal,9.0,2.2,0.0,628
CR,2021-11-30,46,ciudadReal,7.8,0.8,0.0,628
CR,2021-12-01,53,ciudadReal,5.8,2.2,2.2,628
CR,2021-12-02,44,ciudadReal,7.2,2.5,0.0,628
CR,2021-12-03,49,ciudadReal,7.0,1.1,0.0,628
CR,2021-12-04,32,ciudadReal,6.7,2.8,0.0,628
CR,2021-12-05,58,ciudadReal,8.5,3.1,0.0,628
CR,2021-12-06,56,ciudadReal,8.0,1.7,0.0,628
CR,2021-12-07,111,ciudadReal,7.6,1.9,1.6,628
CR,2021-12-08,108,ciudadReal,8.0,3.3,0.0,628
CR,2021-12-09,58,ciudadReal,7.8,3.1,0.0,628
CR,2021-12-10,108,ciudadReal,9.8,2.8,0.0,628
CR,2021-12-11,101,ciudadReal,11.0,1.1,0.0,628
CR,2021-12-12,143,ciudadReal,7.8,0.8,0.0,628
CR,2021-12-13,186,ciudadReal,3.6,1.4,0.0,628
CR,2021-12-14,189,ciudadReal,4.8,1.4,0.0,628
CR,2021-12-15,206,ciudadReal,7.6,3.3,0.0,628
CR,2021-12-16,146,ciudadReal,8.8,3.1,0.0,628
CR,2021-12-17,189,ciudadReal,7.0,1.7,0.0,628
CR,2021-12-18,327,ciudadReal,7.0,1.4,0.0,628
CR,2021-12-19,520,ciudadReal,7.7,1.4,0.0,628
CR,2021-12-20,655,ciudadReal,6.9,0.6,0.0,628
CR,2021-12-21,838,ciudadReal,10.0,0.8,2.2,628
CR,2021-12-22,765,ciudadReal,10.7,1.4,0.0,628
CR,2021-12-23,875,ciudadReal,9.0,0.8,7.0,628
CR,2021-12-24,711,ciudadReal,11.0,1.9,1.4,628
CR,2021-12-25,915,ciudadReal,10.8,1.9,3.8,628
CR,2021-12-26,867,ciudadReal,12.2,2.5,1.2,628
CR,2021-12-27,885,ciudadReal,14.1,3.3,0.6,628
CR,2021-12-28,1182,ciudadReal,11.8,2.8,0.0,628
CR,2021-12-29,1789,ciudadReal,9.6,0.8,0.0,628
CR,2021-12-30,1807,ciudadReal,6.6,0.8,0.0,628
CR,2021-12-31,952,ciudadReal,8.2,0.3,0.0,628
CR,2022-01-01,1342,ciudadReal,8.1,0.3,0.0,628
CR,2022-01-02,1427,ciudadReal,8.6,0.3,0.0,628
CR,2022-01-03,1775,ciudadReal,10.2,0.6,0.0,628
CR,2022-01-04,944,ciudadReal,10.6,2.5,2.6,628
CR,2022-01-05,827,ciudadReal,5.8,3.1,7.8,628
CR,2022-01-06,427,ciudadReal,7.0,1.9,0.0,628
CR,2022-01-07,1201,ciudadReal,5.2,1.4,0.0,628
CR,2022-01-08,721,ciudadReal,4.4,1.1,0.0,628
CR,2022-01-09,1027,ciudadReal,6.4,2.8,0.0,628
CR,2022-01-10,1708,ciudadReal,9.0,1.4,0.0,628
CR,2022-01-11,1387,ciudadReal,8.2,1.9,0.0,628
CR,2022-01-12,1255,ciudadReal,6.4,1.9,0.0,628
CR,2022-01-13,1223,ciudadReal,5.2,2.8,0.0,628
CR,2022-01-14,1223,ciudadReal,3.6,1.9,0.0,628
CR,2022-01-15,697,ciudadReal,3.9,0.8,0.0,628
CR,2022-01-16,820,ciudadReal,3.8,0.6,0.0,628
CR,2022-01-17,1329,ciudadReal,3.3,1.1,0.0,628
CR,2022-01-18,1227,ciudadReal,3.6,1.4,0.0,628
CR,2022-01-19,971,ciudadReal,3.1,0.6,0.0,628
CR,2022-01-20,820,ciudadReal,4.6,1.1,0.0,628
CR,2022-01-21,1070,ciudadReal,3.8,1.4,0.0,628
CR,2022-01-22,513,ciudadReal,3.6,1.1,0.0,628
CR,2022-01-23,548,ciudadReal,4.2,1.7,0.0,628
CR,2022-01-24,1264,ciudadReal,4.8,1.7,0.0,628
CR,2022-01-25,843,ciudadReal,5.7,3.3,0.0,628
CR,2022-01-26,732,ciudadReal,6.9,2.8,0.0,628
CR,2022-01-27,869,ciudadReal,7.8,3.3,0.0,628
CR,2022-01-28,930,ciudadReal,7.5,3.9,0.0,628
CR,2022-01-29,678,ciudadReal,6.9,3.1,0.0,628
CR,2022-01-30,310,ciudadReal,6.6,0.8,0.0,628
CR,2022-01-31,371,ciudadReal,8.2,1.4,0.0,628
CR,2022-02-01,597,ciudadReal,8.2,1.9,0.0,628
CR,2022-02-02,305,ciudadReal,9.5,0.6,0.0,628
CR,2022-02-03,483,ciudadReal,10.4,0.8,0.0,628
CR,2022-02-04,395,ciudadReal,11.9,1.7,0.0,628
CR,2022-02-05,169,ciudadReal,10.6,1.1,0.0,628
CR,2022-02-06,184,ciudadReal,10.3,1.7,0.0,628
CR,2022-02-07,266,ciudadReal,9.1,1.1,0.0,628
