provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CO,2021-11-02,24,cordoba,17.2,3.3,0.0,90
CO,2021-11-03,52,cordoba,12.8,3.1,0.0,90
CO,2021-11-04,36,cordoba,12.0,1.9,0.0,90
CO,2021-11-05,40,cordoba,11.0,1.1,0.0,90
CO,2021-11-06,18,cordoba,11.3,4.2,0.0,90
CO,2021-11-07,23,cordoba,9.6,2.2,0.0,90
CO,2021-11-08,34,cordoba,11.4,0.8,0.0,90
CO,2021-11-09,185,cordoba,12.3,0.8,0.0,90
CO,2021-11-10,88,cordoba,12.3,0.8,0.0,90
CO,2021-11-11,48,cordoba,11.4,0.8,0.0,90
CO,2021-11-12,42,cordoba,12.0,1.4,0.0,90
CO,2021-11-13,45,cordoba,14.1,1.1,0.0,90
CO,2021-11-14,72,cordoba,14.4,1.1,0.0,90
CO,2021-11-15,53,cordoba,12.8,1.1,0.0,90
CO,2021-11-16,69,cordoba,11.6,2.2,0.0,90
CO,2021-11-17,92,cordoba,10.8,1.4,0.0,90
CO,2021-11-18,115,cordoba,12.8,4.4,0.0,90
CO,2021-11-19,74,cordoba,15.9,5.8,0.0,90
CO,2021-11-20,72,cordoba,14.2,2.8,1.0,90
CO,2021-11-21,72,cordoba,14.1,1.1,1.7,90
CO,2021-11-22,90,cordoba,11.3,5.0,0.2,90
CO,2021-11-23,133,cordoba,6.8,1.7,2.7,90
CO,2021-11-24,108,cordoba,8.4,1.9,0.0,90
CO,2021-11-25,110,cordoba,7.8,1.9,0.1,90
CO,2021-11-26,47,cordoba,9.6,1.9,0.0,90
CO,2021-11-27,69,cordoba,7.4,3.1,0.1,90
CO,2021-11-28,69,cordoba,6.5,2.5,0.0,90
CO,2021-11-29,107,cordoba,11.9,3.3,0.0,90
CO,2021-11-30,141,cordoba,10.0,1.1,0.0,90
CO,2021-12-01,134,cordoba,7.8,2.5,0.0,90
CO,2021-12-02,88,cordoba,9.0,4.2,0.0,90
CO,2021-12-03,85,cordoba,7.6,0.3,0.0,90
CO,2021-12-04,102,cordoba,7.6,1.4,0.0,90
CO,2021-12-05,82,cordoba,10.4,3.1,0.0,90
CO,2021-12-06,104,cordoba,8.3,0.3,0.0,90
CO,2021-12-07,203,cordoba,9.4,1.7,0.9,90
CO,2021-12-08,173,cordoba,11.2,4.7,0.0,90
CO,2021-12-09,190,cordoba,8.6,2.2,0.0,90
CO,2021-12-10,135,cordoba,11.3,3.9,0.0,90
CO,2021-12-11,262,cordoba,10.9,2.5,0.0,90
CO,2021-12-12,306,cordoba,13.4,1.9,0.0,90
CO,2021-12-13,457,cordoba,12.2,2.8,0.0,90
CO,2021-12-14,545,cordoba,11.0,1.9,0.0,90
CO,2021-12-15,717,cordoba,9.5,0.3,0.0,90
CO,2021-12-16,526,cordoba,9.6,2.5,0.0,90
CO,2021-12-17,575,cordoba,9.8,1.1,0.1,90
CO,2021-12-18,518,cordoba,10.5,2.2,0.0,90
CO,2021-12-19,696,cordoba,12.1,2.5,0.0,90
CO,2021-12-20,1167,cordoba,11.8,2.8,4.7,90
CO,2021-12-21,1432,cordoba,13.6,3.9,9.1,90
CO,2021-12-22,1385,cordoba,12.0,1.7,4.7,90
CO,2021-12-23,1434,cordoba,12.0,3.3,39.0,90
CO,2021-12-24,1384,cordoba,13.4,1.9,31.1,90
CO,2021-12-25,1148,cordoba,13.4,3.6,25.1,90
CO,2021-12-26,927,cordoba,14.4,3.1,5.7,90
CO,2021-12-27,1369,cordoba,17.4,3.6,0.1,90
CO,2021-12-28,2068,cordoba,14.4,2.2,0.0,90
CO,2021-12-29,2220,cordoba,12.5,2.5,0.0,90
CO,2021-12-30,1936,cordoba,12.7,1.9,0.0,90
CO,2021-12-31,1416,cordoba,12.6,2.8,0.0,90
CO,2022-01-01,743,cordoba,13.2,1.4,0.0,90
CO,2022-01-02,790,cordoba,11.9,1.7,0.0,90
CO,2022-01-03,1549,cordoba,12.3,1.7,0.0,90
CO,2022-01-04,1853,cordoba,8.5,1.9,0.7,90
CO,2022-01-05,1618,cordoba,9.2,3.1,0.1,90
CO,2022-01-06,854,cordoba,9.8,1.4,0.0,90
CO,2022-01-07,1692,cordoba,7.8,1.7,0.0,90
CO,2022-01-08,1169,cordoba,7.7,1.7,0.0,90
CO,2022-01-09,1011,cordoba,6.4,1.9,0.0,90
CO,2022-01-10,1557,cordoba,9.1,1.7,0.0,90
CO,2022-01-11,1512,cordoba,12.2,2.8,0.0,90
CO,2022-01-12,1145,cordoba,10.0,1.7,0.0,90
CO,2022-01-13,1110,cordoba,8.0,2.5,0.0,90
CO,2022-01-14,575,cordoba,8.8,3.9,0.0,90
CO,2022-01-15,922,cordoba,9.2,3.1,0.0,90
CO,2022-01-16,1053,cordoba,8.5,2.8,0.0,90
CO,2022-01-17,1205,cordoba,8.0,2.2,0.0,90
CO,2022-01-18,1116,cordoba,8.6,1.9,0.0,90
CO,2022-01-19,910,cordoba,7.7,1.1,0.0,90
CO,2022-01-20,958,cordoba,7.2,2.2,0.0,90
CO,2022-01-21,618,cordoba,7.2,2.2,0.0,90
CO,2022-01-22,556,cordoba,8.8,3.3,0.0,90
CO,2022-01-23,592,cordoba,9.1,2.2,0.0,90
CO,2022-01-24,862,cordoba,10.4,2.5,0.0,90
CO,2022-01-25,848,cordoba,10.8,3.6,0.0,90
CO,2022-01-26,767,cordoba,11.0,3.9,0.0,90
CO,2022-01-27,669,cordoba,11.8,2.8,0.0,90
CO,2022-01-28,430,cordoba,11.0,3.9,0.0,90
CO,2022-01-29,469,cordoba,11.8,3.9,0.0,90
CO,2022-01-30,369,cordoba,10.6,1.4,0.0,90
CO,2022-01-31,604,cordoba,10.3,1.1,0.0,90
CO,2022-02-01,702,cordoba,9.2,3.1,0.0,90
CO,2022-02-02,452,cordoba,10.9,2.2,0.0,90
CO,2022-02-03,345,cordoba,11.8,0.8,0.0,90
CO,2022-02-04,267,cordoba,10.6,1.9,0.0,90
CO,2022-02-05,150,cordoba,13.5,0.8,0.0,90
CO,2022-02-06,97,cordoba,12.8,0.6,0.0,90
CO,2022-02-07,138,cordoba,12.0,2.2,0.0,90
