provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
C,2021-11-03,33,coruña,12.5,4.2,20.0,58
C,2021-11-04,39,coruña,11.6,4.7,2.4,58
C,2021-11-08,39,coruña,14.3,2.2,0.0,58
C,2021-11-09,31,coruña,15.2,3.1,0.0,58
C,2021-11-11,40,coruña,11.6,2.2,0.0,58
C,2021-11-12,49,coruña,12.4,1.7,0.0,58
C,2021-11-13,36,coruña,13.0,1.1,0.0,58
C,2021-11-14,61,coruña,12.1,2.8,0.0,58
C,2021-11-15,68,coruña,13.4,3.9,0.0,58
C,2021-11-16,61,coruña,13.6,3.1,0.0,58
C,2021-11-17,94,coruña,14.1,3.9,0.0,58
C,2021-11-18,93,coruña,13.6,4.7,0.0,58
C,2021-11-19,64,coruña,12.6,2.5,0.0,58
C,2021-11-20,84,coruña,14.1,2.2,0.0,58
C,2021-11-21,100,coruña,11.8,2.5,1.8,58
C,2021-11-22,118,coruña,9.7,4.7,7.0,58
C,2021-11-23,140,coruña,11.5,6.7,0.0,58
C,2021-11-24,145,coruña,11.7,4.7,7.6,58
C,2021-11-25,120,coruña,10.8,2.8,2.2,58
C,2021-11-26,117,coruña,10.6,3.9,13.4,58
C,2021-11-27,129,coruña,10.2,8.9,4.8,58
C,2021-11-28,166,coruña,10.5,4.4,13.2,58
C,2021-11-29,192,coruña,12.2,4.4,0.4,58
C,2021-12-03,150,coruña,12.6,4.7,8.4,58
C,2021-12-04,199,coruña,13.4,4.2,3.0,58
C,2021-12-05,192,coruña,12.5,6.4,0.6,58
C,2021-12-06,170,coruña,13.2,2.5,15.2,58
C,2021-12-10,267,coruña,13.4,4.2,1.6,58
C,2021-12-11,223,coruña,13.8,1.9,0.0,58
C,2021-12-12,375,coruña,12.7,1.1,0.0,58
C,2021-12-13,391,coruña,14.8,2.2,0.0,58
C,2021-12-14,424,coruña,13.6,1.9,0.0,58
C,2021-12-15,456,coruña,11.0,1.4,0.0,58
C,2021-12-16,375,coruña,12.0,0.8,0.0,58
C,2021-12-17,436,coruña,11.8,1.4,0.0,58
C,2021-12-18,512,coruña,11.2,0.8,0.0,58
C,2021-12-19,722,coruña,11.0,2.5,0.0,58
C,2021-12-20,879,coruña,14.5,4.2,2.4,58
C,2021-12-21,1236,coruña,16.2,4.4,0.0,58
C,2021-12-22,1352,coruña,16.3,3.9,4.4,58
C,2021-12-23,1146,coruña,15.4,2.5,4.4,58
C,2021-12-24,1252,coruña,13.5,2.5,2.8,58
C,2021-12-25,1418,coruña,14.6,2.8,1.4,58
C,2021-12-26,2097,coruña,14.4,3.6,6.6,58
C,2021-12-27,2883,coruña,15.8,6.9,2.0,58
C,2021-12-28,2825,coruña,17.4,6.1,0.2,58
C,2021-12-29,3197,coruña,17.2,4.7,0.0,58
C,2021-12-30,2281,coruña,16.6,2.2,0.0,58
C,2021-12-31,2536,coruña,17.8,3.9,0.0,58
C,2022-01-01,2405,coruña,19.4,3.6,0.8,58
C,2022-01-02,3169,coruña,15.8,3.6,0.0,58
C,2022-01-03,3040,coruña,15.4,4.4,30.8,58
C,2022-01-04,3008,coruña,12.6,3.9,7.6,58
C,2022-01-05,3334,coruña,11.6,5.0,4.6,58
C,2022-01-06,2473,coruña,12.2,2.5,2.0,58
C,2022-01-07,2841,coruña,11.7,2.8,0.2,58
C,2022-01-08,3181,coruña,11.5,5.3,2.4,58
C,2022-01-09,3126,coruña,13.7,6.1,2.2,58
C,2022-01-10,3424,coruña,13.2,2.5,3.6,58
C,2022-01-11,2852,coruña,13.4,3.9,0.0,58
C,2022-01-12,2525,coruña,11.5,5.6,0.0,58
C,2022-01-13,2140,coruña,9.2,1.9,0.0,58
C,2022-01-14,2112,coruña,10.6,1.9,0.0,58
C,2022-01-15,2390,coruña,10.0,2.2,0.0,58
C,2022-01-16,2330,coruña,12.4,2.5,0.0,58
C,2022-01-17,2512,coruña,11.2,1.9,0.0,58
C,2022-01-18,2363,coruña,10.6,1.7,0.0,58
C,2022-01-19,2613,coruña,9.0,1.1,0.0,58
C,2022-01-20,2285,coruña,9.8,4.4,0.0,58
C,2022-01-21,2500,coruña,10.4,6.1,0.0,58
C,2022-01-22,2680,coruña,9.6,2.8,0.0,58
C,2022-01-23,2615,coruña,9.1,1.4,0.0,58
C,2022-01-24,2759,coruña,9.8,2.5,0.0,58
C,2022-01-25,2522,coruña,8.6,1.9,0.0,58
C,2022-01-26,2230,coruña,8.6,1.9,0.0,58
C,2022-01-27,1796,coruña,10.2,2.5,0.0,58
C,2022-01-28,1935,coruña,10.0,2.5,0.0,58
C,2022-01-29,1870,coruña,9.8,1.7,0.0,58
C,2022-01-30,2278,coruña,11.9,1.9,0.0,58
C,2022-01-31,2382,coruña,9.1,4.2,0.0,58
C,2022-02-01,2006,coruña,11.0,3.9,0.0,58
C,2022-02-02,1850,coruña,13.3,1.9,0.0,58
C,2022-02-03,1517,coruña,12.6,3.1,3.2,58
C,2022-02-04,1475,coruña,12.0,2.8,4.6,58
C,2022-02-05,1443,coruña,10.6,4.2,0.0,58
C,2022-02-06,943,coruña,10.1,1.7,0.0,58
C,2022-02-07,412,coruña,11.6,2.8,0.0,58
