provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CU,2021-11-02,11,cuenca,9.4,1.7,2.4,948
CU,2021-11-03,11,cuenca,8.0,1.7,0.0,948
CU,2021-11-04,10,cuenca,5.8,1.4,0.0,948
CU,2021-11-05,8,cuenca,6.4,1.7,0.0,948
CU,2021-11-06,11,cuenca,6.9,1.4,0.0,948
CU,2021-11-07,4,cuenca,6.8,1.1,0.0,948
CU,2021-11-08,7,cuenca,12.1,1.7,0.0,948
CU,2021-11-09,6,cuenca,9.0,0.8,0.0,948
CU,2021-11-10,7,cuenca,9.0,1.1,0.0,948
CU,2021-11-11,8,cuenca,9.8,1.1,0.0,948
CU,2021-11-12,17,cuenca,10.5,0.8,0.0,948
CU,2021-11-13,11,cuenca,10.6,0.6,0.0,948
CU,2021-11-14,15,cuenca,10.9,1.4,0.0,948
CU,2021-11-15,19,cuenca,8.0,1.4,0.0,948
CU,2021-11-16,13,cuenca,6.8,1.4,0.0,948
CU,2021-11-17,25,cuenca,8.2,1.1,0.0,948
CU,2021-11-18,27,cuenca,8.1,1.7,0.0,948
CU,2021-11-19,30,cuenca,8.5,3.3,0.0,948
CU,2021-11-20,34,cuenca,9.4,1.7,0.6,948
CU,2021-11-21,19,cuenca,10.0,1.4,0.6,948
CU,2021-11-22,31,cuenca,4.6,1.4,38.2,948
CU,2021-11-23,21,cuenca,3.2,1.4,0.2,948
CU,2021-11-24,48,cuenca,4.0,1.9,1.4,948
CU,2021-11-25,21,cuenca,4.1,1.4,0.4,948
CU,2021-11-26,35,cuenca,4.6,1.9,0.2,948
CU,2021-11-27,28,cuenca,1.8,1.9,1.2,948
CU,2021-11-28,32,cuenca,2.7,2.8,0.0,948
CU,2021-11-29,29,cuenca,6.8,2.8,0.0,948
CU,2021-11-30,41,cuenca,7.0,0.8,0.0,948
CU,2021-12-01,53,cuenca,3.5,1.1,8.4,948
CU,2021-12-02,21,cuenca,5.2,2.2,0.0,948
CU,2021-12-03,26,cuenca,6.6,1.7,0.0,948
CU,2021-12-04,17,cuenca,5.0,1.1,0.0,948
CU,2021-12-05,25,cuenca,4.2,2.5,0.8,948
CU,2021-12-06,28,cuenca,6.6,1.4,0.0,948
CU,2021-12-07,41,cuenca,5.2,1.1,1.8,948
CU,2021-12-08,35,cuenca,5.4,3.9,0.2,948
CU,2021-12-09,59,cuenca,5.1,3.1,0.0,948
CU,2021-12-10,57,cuenca,9.6,2.5,0.0,948
CU,2021-12-11,56,cuenca,9.6,1.7,0.0,948
CU,2021-12-12,70,cuenca,8.8,1.1,0.0,948
CU,2021-12-13,73,cuenca,8.3,0.8,0.0,948
CU,2021-12-14,76,cuenca,10.2,0.6,0.0,948
CU,2021-12-15,74,cuenca,9.4,0.8,0.0,948
CU,2021-12-16,54,cuenca,7.2,1.9,0.0,948
CU,2021-12-17,61,cuenca,5.4,1.9,0.0,948
CU,2021-12-18,125,cuenca,4.7,1.1,0.0,948
CU,2021-12-19,167,cuenca,5.6,1.7,0.0,948
CU,2021-12-20,193,cuenca,7.3,0.6,0.0,948
