provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SS,2021-11-02,189,gipuzkoa,13.8,7.2,20.0,251
SS,2021-11-03,111,gipuzkoa,9.1,5.0,8.8,251
SS,2021-11-04,58,gipuzkoa,9.4,5.0,22.2,251
SS,2021-11-05,121,gipuzkoa,10.9,3.6,2.1,251
SS,2021-11-06,186,gipuzkoa,8.2,2.8,0.0,251
SS,2021-11-07,171,gipuzkoa,9.7,2.5,15.2,251
SS,2021-11-08,203,gipuzkoa,11.7,4.4,0.0,251
SS,2021-11-09,253,gipuzkoa,9.4,1.7,0.0,251
SS,2021-11-10,236,gipuzkoa,8.6,1.7,0.0,251
SS,2021-11-11,211,gipuzkoa,10.7,1.9,0.0,251
SS,2021-11-12,161,gipuzkoa,11.7,2.8,0.7,251
SS,2021-11-13,233,gipuzkoa,12.1,2.8,0.1,251
SS,2021-11-14,317,gipuzkoa,10.8,6.1,7.9,251
SS,2021-11-15,402,gipuzkoa,10.6,2.2,0.3,251
SS,2021-11-16,359,gipuzkoa,8.8,1.1,0.8,251
SS,2021-11-17,367,gipuzkoa,8.0,1.7,0.0,251
SS,2021-11-18,299,gipuzkoa,9.6,1.7,0.0,251
SS,2021-11-19,272,gipuzkoa,10.9,3.9,0.0,251
SS,2021-11-20,465,gipuzkoa,14.3,6.1,0.0,251
SS,2021-11-21,537,gipuzkoa,11.4,3.9,9.4,251
SS,2021-11-22,541,gipuzkoa,8.0,4.4,1.0,251
SS,2021-11-23,679,gipuzkoa,6.0,1.7,18.6,251
SS,2021-11-24,525,gipuzkoa,7.9,1.9,30.5,251
SS,2021-11-25,418,gipuzkoa,7.5,7.8,51.4,251
SS,2021-11-26,385,gipuzkoa,7.2,5.3,27.5,251
SS,2021-11-27,669,gipuzkoa,7.4,11.7,12.3,251
SS,2021-11-28,708,gipuzkoa,6.4,8.9,32.9,251
SS,2021-11-29,723,gipuzkoa,7.2,3.1,7.7,251
SS,2021-11-30,875,gipuzkoa,9.8,1.4,0.0,251
SS,2021-12-01,684,gipuzkoa,9.4,5.8,31.9,251
SS,2021-12-02,682,gipuzkoa,7.6,8.1,5.8,251
SS,2021-12-03,561,gipuzkoa,9.0,3.9,1.4,251
SS,2021-12-04,641,gipuzkoa,9.2,6.1,33.3,251
SS,2021-12-05,720,gipuzkoa,7.6,11.7,5.7,251
SS,2021-12-06,676,gipuzkoa,10.8,6.4,11.9,251
SS,2021-12-07,821,gipuzkoa,12.1,8.1,21.8,251
SS,2021-12-08,1019,gipuzkoa,6.0,8.6,34.6,251
SS,2021-12-09,764,gipuzkoa,8.4,9.2,64.9,251
SS,2021-12-10,697,gipuzkoa,10.7,11.4,10.0,251
SS,2021-12-11,904,gipuzkoa,10.0,2.5,6.0,251
SS,2021-12-12,895,gipuzkoa,11.0,2.8,0.0,251
SS,2021-12-13,945,gipuzkoa,13.3,5.6,0.0,251
SS,2021-12-14,1020,gipuzkoa,8.8,0.8,0.0,251
SS,2021-12-15,822,gipuzkoa,6.6,0.3,0.0,251
SS,2021-12-16,681,gipuzkoa,7.2,1.1,0.0,251
SS,2021-12-17,636,gipuzkoa,10.6,3.1,0.0,251
SS,2021-12-18,891,gipuzkoa,11.4,3.6,0.0,251
SS,2021-12-19,1207,gipuzkoa,11.6,5.3,0.0,251
SS,2021-12-20,1643,gipuzkoa,10.6,3.6,0.0,251
SS,2021-12-21,1753,gipuzkoa,13.8,4.2,0.0,251
SS,2021-12-22,2004,gipuzkoa,14.8,6.1,0.0,251
SS,2021-12-23,1541,gipuzkoa,14.0,10.0,0.0,251
SS,2021-12-24,1635,gipuzkoa,14.2,7.2,0.0,251
SS,2021-12-25,2087,gipuzkoa,13.8,5.0,0.0,251
SS,2021-12-26,2798,gipuzkoa,12.8,4.4,12.5,251
SS,2021-12-27,4632,gipuzkoa,14.5,5.6,0.0,251
SS,2021-12-28,3974,gipuzkoa,16.0,4.7,0.0,251
SS,2021-12-29,4517,gipuzkoa,16.0,3.3,0.0,251
SS,2021-12-30,3606,gipuzkoa,16.2,5.0,0.0,251
SS,2021-12-31,3712,gipuzkoa,18.6,5.6,0.0,251
SS,2022-01-01,3760,gipuzkoa,19.6,6.7,0.0,251
SS,2022-01-02,4305,gipuzkoa,16.2,3.6,0.0,251
SS,2022-01-03,3954,gipuzkoa,15.1,4.4,0.0,251
SS,2022-01-04,3657,gipuzkoa,13.3,7.2,27.2,251
SS,2022-01-05,3610,gipuzkoa,6.7,3.9,0.2,251
SS,2022-01-06,3118,gipuzkoa,5.0,1.9,0.4,251
SS,2022-01-07,2754,gipuzkoa,7.4,5.8,3.2,251
SS,2022-01-08,3916,gipuzkoa,10.0,5.0,16.4,251
SS,2022-01-09,3884,gipuzkoa,10.5,8.9,55.8,251
SS,2022-01-10,3206,gipuzkoa,11.2,9.2,8.3,251
SS,2022-01-11,2897,gipuzkoa,8.6,2.2,0.2,251
SS,2022-01-12,2617,gipuzkoa,6.5,2.2,0.0,251
SS,2022-01-13,1905,gipuzkoa,5.3,2.5,0.0,251
SS,2022-01-14,1501,gipuzkoa,10.2,3.9,0.0,251
SS,2022-01-15,1790,gipuzkoa,7.1,1.9,0.0,251
SS,2022-01-16,2026,gipuzkoa,6.6,1.4,0.0,251
SS,2022-01-17,1861,gipuzkoa,5.2,1.4,0.0,251
SS,2022-01-18,1818,gipuzkoa,5.0,1.1,0.0,251
SS,2022-01-19,1900,gipuzkoa,7.4,2.8,0.2,251
SS,2022-01-20,1349,gipuzkoa,7.0,4.7,4.5,251
SS,2022-01-21,1145,gipuzkoa,3.8,2.2,0.0,251
SS,2022-01-22,2126,gipuzkoa,3.0,1.7,0.0,251
SS,2022-01-23,1908,gipuzkoa,4.9,1.7,0.0,251
SS,2022-01-24,2078,gipuzkoa,10.5,5.3,0.0,251
SS,2022-01-25,1777,gipuzkoa,10.0,4.2,0.0,251
SS,2022-01-26,1793,gipuzkoa,7.7,1.7,0.0,251
SS,2022-01-27,1277,gipuzkoa,7.6,1.4,0.0,251
SS,2022-01-28,1111,gipuzkoa,6.0,1.9,0.0,251
