provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GU,2021-11-02,15,guadalajara,9.5,3.1,6.0,721
GU,2021-11-03,13,guadalajara,8.6,2.8,0.0,721
GU,2021-11-04,12,guadalajara,6.5,1.7,0.0,721
GU,2021-11-05,6,guadalajara,6.3,2.2,0.0,721
GU,2021-11-06,18,guadalajara,8.1,2.2,0.0,721
GU,2021-11-07,10,guadalajara,8.0,1.9,0.0,721
GU,2021-11-08,18,guadalajara,10.7,2.8,0.0,721
GU,2021-11-09,14,guadalajara,10.4,3.1,0.0,721
GU,2021-11-10,27,guadalajara,9.4,1.1,0.0,721
GU,2021-11-11,2,guadalajara,9.4,1.1,0.0,721
GU,2021-11-12,11,guadalajara,12.1,1.1,0.0,721
GU,2021-11-13,18,guadalajara,10.2,1.4,0.0,721
GU,2021-11-14,15,guadalajara,9.8,1.1,0.0,721
GU,2021-11-15,18,guadalajara,9.4,2.2,0.0,721
GU,2021-11-16,15,guadalajara,7.4,3.3,0.0,721
GU,2021-11-17,29,guadalajara,8.9,2.2,0.0,721
GU,2021-11-18,8,guadalajara,8.6,1.4,0.0,721
GU,2021-11-19,6,guadalajara,9.4,2.8,0.0,721
GU,2021-11-20,12,guadalajara,8.7,1.1,0.0,721
GU,2021-11-21,37,guadalajara,9.8,0.8,1.4,721
GU,2021-11-22,21,guadalajara,7.0,1.4,18.0,721
GU,2021-11-23,31,guadalajara,4.4,1.4,0.0,721
GU,2021-11-24,30,guadalajara,4.2,1.9,0.0,721
GU,2021-11-25,18,guadalajara,6.5,1.7,0.0,721
GU,2021-11-26,12,guadalajara,5.2,1.9,0.0,721
GU,2021-11-27,26,guadalajara,4.6,2.5,2.8,721
GU,2021-11-28,27,guadalajara,4.4,3.3,0.0,721
GU,2021-11-29,48,guadalajara,8.8,1.7,0.0,721
GU,2021-11-30,47,guadalajara,7.8,1.1,0.0,721
GU,2021-12-01,60,guadalajara,4.5,1.1,2.6,721
GU,2021-12-02,38,guadalajara,6.0,1.7,0.0,721
GU,2021-12-03,33,guadalajara,7.8,1.4,0.0,721
GU,2021-12-04,50,guadalajara,6.4,2.5,0.0,721
GU,2021-12-05,59,guadalajara,6.8,3.3,0.0,721
GU,2021-12-06,38,guadalajara,7.5,1.7,0.0,721
GU,2021-12-07,70,guadalajara,6.2,2.5,2.6,721
GU,2021-12-08,80,guadalajara,6.0,3.9,0.0,721
GU,2021-12-09,67,guadalajara,7.5,3.1,0.0,721
GU,2021-12-10,74,guadalajara,11.4,5.0,0.0,721
GU,2021-12-11,100,guadalajara,11.6,1.4,0.0,721
GU,2021-12-12,94,guadalajara,9.0,1.7,0.0,721
GU,2021-12-13,135,guadalajara,7.9,0.6,0.0,721
GU,2021-12-14,137,guadalajara,9.2,0.6,0.0,721
GU,2021-12-15,176,guadalajara,9.9,0.6,0.0,721
GU,2021-12-16,135,guadalajara,7.6,0.8,0.0,721
GU,2021-12-17,114,guadalajara,7.0,1.1,0.0,721
GU,2021-12-18,202,guadalajara,5.4,1.1,0.0,721
GU,2021-12-19,367,guadalajara,6.8,1.1,0.0,721
GU,2021-12-20,418,guadalajara,5.4,1.1,0.0,721
GU,2021-12-21,608,guadalajara,9.2,0.3,0.0,721
GU,2021-12-22,454,guadalajara,10.0,3.1,0.0,721
GU,2021-12-23,577,guadalajara,9.2,0.8,1.8,721
GU,2021-12-24,562,guadalajara,10.3,1.7,2.8,721
GU,2021-12-25,683,guadalajara,9.2,1.9,4.4,721
GU,2021-12-26,979,guadalajara,9.2,3.3,7.6,721
GU,2021-12-27,961,guadalajara,11.5,4.4,0.0,721
GU,2021-12-28,1056,guadalajara,11.2,2.8,0.0,721
GU,2021-12-29,669,guadalajara,9.6,0.8,0.0,721
GU,2021-12-30,691,guadalajara,9.5,0.6,0.0,721
GU,2021-12-31,581,guadalajara,10.6,0.8,0.0,721
GU,2022-01-01,840,guadalajara,10.3,0.6,0.0,721
GU,2022-01-02,944,guadalajara,9.2,0.8,0.0,721
GU,2022-01-03,1205,guadalajara,9.4,0.8,0.0,721
GU,2022-01-04,903,guadalajara,8.6,1.9,4.2,721
