provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
H,2021-11-02,43,huelva,12.6,2.5,0.4,572
H,2021-11-03,57,huelva,11.0,4.2,0.0,572
H,2021-11-04,20,huelva,9.6,3.1,0.0,572
H,2021-11-05,12,huelva,11.1,2.8,0.0,572
H,2021-11-06,22,huelva,9.7,5.6,0.0,572
H,2021-11-07,31,huelva,11.8,2.8,0.0,572
H,2021-11-08,37,huelva,13.4,3.3,0.0,572
H,2021-11-09,42,huelva,16.4,1.4,0.0,572
H,2021-11-10,40,huelva,14.3,2.5,0.0,572
H,2021-11-11,24,huelva,14.6,2.5,0.0,572
H,2021-11-12,35,huelva,13.9,2.5,0.0,572
H,2021-11-13,36,huelva,16.6,2.8,0.0,572
H,2021-11-14,30,huelva,16.0,1.4,0.0,572
H,2021-11-15,79,huelva,15.1,2.8,0.0,572
H,2021-11-16,58,huelva,12.8,2.8,0.0,572
H,2021-11-17,56,huelva,13.2,2.2,0.0,572
H,2021-11-18,32,huelva,14.2,3.6,0.0,572
H,2021-11-19,22,huelva,14.2,3.9,0.2,572
H,2021-11-20,57,huelva,11.9,2.2,3.2,572
H,2021-11-21,57,huelva,12.6,1.7,0.0,572
H,2021-11-22,71,huelva,9.1,3.9,0.0,572
H,2021-11-23,64,huelva,6.4,3.1,0.0,572
H,2021-11-24,55,huelva,8.4,3.6,0.0,572
H,2021-11-25,44,huelva,8.2,1.9,5.2,572
H,2021-11-26,36,huelva,7.9,4.2,0.0,572
H,2021-11-27,102,huelva,7.6,4.4,0.0,572
H,2021-11-28,69,huelva,5.9,3.3,0.0,572
H,2021-11-29,121,huelva,10.2,4.7,0.0,572
H,2021-11-30,105,huelva,10.0,1.1,0.0,572
H,2021-12-01,128,huelva,9.2,2.2,1.0,572
H,2021-12-02,56,huelva,8.8,6.1,0.0,572
H,2021-12-03,69,huelva,8.2,3.1,0.0,572
H,2021-12-04,69,huelva,9.6,3.3,0.2,572
H,2021-12-05,108,huelva,8.6,6.1,0.0,572
H,2021-12-06,43,huelva,9.5,4.4,0.0,572
H,2021-12-08,144,huelva,9.2,3.6,0.4,572
H,2021-12-09,105,huelva,8.9,4.2,0.2,572
H,2021-12-10,93,huelva,10.8,7.8,0.0,572
H,2021-12-11,216,huelva,14.0,4.2,0.0,572
H,2021-12-12,198,huelva,15.6,1.7,0.0,572
H,2021-12-13,306,huelva,13.8,2.2,0.0,572
H,2021-12-14,291,huelva,13.7,1.9,0.0,572
H,2021-12-15,326,huelva,12.5,3.3,0.0,572
H,2021-12-16,173,huelva,11.8,4.2,0.0,572
H,2021-12-17,182,huelva,11.8,2.8,0.0,572
H,2021-12-18,322,huelva,10.8,3.3,0.0,572
H,2021-12-19,280,huelva,12.6,2.8,0.0,572
H,2021-12-20,428,huelva,12.6,1.9,0.2,572
H,2021-12-21,398,huelva,12.8,2.5,36.4,572
H,2021-12-22,435,huelva,12.0,1.7,4.0,572
H,2021-12-23,466,huelva,12.4,2.2,44.8,572
H,2021-12-24,441,huelva,12.1,3.9,20.0,572
H,2021-12-25,375,huelva,12.0,5.0,20.2,572
H,2021-12-26,411,huelva,12.3,2.2,9.8,572
H,2021-12-27,668,huelva,13.8,3.6,2.6,572
H,2021-12-28,746,huelva,12.6,1.7,0.2,572
H,2021-12-29,934,huelva,14.3,2.2,0.0,572
H,2021-12-30,697,huelva,14.4,1.7,0.0,572
H,2021-12-31,455,huelva,16.9,1.7,0.0,572
H,2022-01-01,444,huelva,16.6,1.9,0.0,572
H,2022-01-02,565,huelva,16.3,1.7,0.0,572
H,2022-01-03,841,huelva,16.4,1.4,0.0,572
H,2022-01-04,583,huelva,8.8,4.4,0.6,572
H,2022-01-05,661,huelva,8.6,4.7,1.6,572
H,2022-01-06,393,huelva,9.2,6.1,0.0,572
H,2022-01-07,541,huelva,10.7,4.2,0.0,572
H,2022-01-08,475,huelva,11.8,1.7,0.0,572
H,2022-01-09,696,huelva,7.8,5.3,0.0,572
H,2022-01-10,920,huelva,12.2,4.7,0.0,572
H,2022-01-11,944,huelva,14.0,3.9,0.0,572
H,2022-01-12,791,huelva,11.6,2.5,0.0,572
H,2022-01-13,699,huelva,9.7,3.9,0.0,572
H,2022-01-14,395,huelva,9.4,3.1,0.0,572
H,2022-01-15,403,huelva,9.5,1.9,0.0,572
H,2022-01-16,475,huelva,11.0,1.9,0.0,572
H,2022-01-17,786,huelva,10.4,2.2,0.0,572
H,2022-01-18,771,huelva,10.3,1.7,0.0,572
H,2022-01-19,618,huelva,10.4,1.4,0.0,572
H,2022-01-20,450,huelva,10.4,2.5,0.0,572
H,2022-01-21,564,huelva,10.2,1.9,0.0,572
H,2022-01-22,330,huelva,9.6,2.8,0.0,572
H,2022-01-23,302,huelva,11.0,1.7,0.0,572
H,2022-01-24,536,huelva,10.3,1.4,0.0,572
H,2022-01-25,476,huelva,10.8,2.5,0.0,572
H,2022-01-26,422,huelva,11.2,3.9,0.0,572
H,2022-01-27,336,huelva,11.4,2.8,0.0,572
H,2022-01-28,282,huelva,11.1,3.9,0.0,572
H,2022-01-29,171,huelva,13.2,4.2,0.0,572
H,2022-01-30,159,huelva,14.6,2.8,0.0,572
H,2022-01-31,272,huelva,14.8,5.0,0.0,572
H,2022-02-01,247,huelva,13.2,1.9,0.0,572
H,2022-02-02,182,huelva,14.9,1.7,0.0,572
H,2022-02-03,163,huelva,15.1,2.2,0.0,572
H,2022-02-04,180,huelva,12.9,2.5,0.2,572
H,2022-02-05,117,huelva,11.2,2.5,0.0,572
H,2022-02-06,41,huelva,12.6,1.9,0.0,572
H,2022-02-07,45,huelva,13.8,2.8,0.0,572
