provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
HU,2021-11-02,13,huesca,8.2,1.7,13.8,1040
HU,2021-11-03,21,huesca,3.9,2.2,1.6,1040
HU,2021-11-04,8,huesca,4.9,1.4,0.0,1040
HU,2021-11-05,8,huesca,4.1,3.1,0.0,1040
HU,2021-11-06,39,huesca,5.6,5.8,0.0,1040
HU,2021-11-07,25,huesca,8.7,4.4,0.0,1040
HU,2021-11-08,45,huesca,9.8,5.6,0.0,1040
HU,2021-11-09,41,huesca,9.4,2.8,0.0,1040
HU,2021-11-10,32,huesca,9.7,1.7,0.0,1040
HU,2021-11-11,21,huesca,9.8,1.7,0.0,1040
HU,2021-11-12,15,huesca,11.0,1.4,0.0,1040
HU,2021-11-13,60,huesca,9.4,1.7,0.0,1040
HU,2021-11-14,42,huesca,9.2,1.9,0.0,1040
HU,2021-11-15,66,huesca,6.2,7.5,0.0,1040
HU,2021-11-16,79,huesca,6.8,1.4,0.0,1040
HU,2021-11-17,76,huesca,6.7,1.7,0.0,1040
HU,2021-11-18,51,huesca,7.1,1.7,0.0,1040
HU,2021-11-19,42,huesca,8.4,3.1,0.0,1040
HU,2021-11-20,87,huesca,8.7,2.5,0.0,1040
HU,2021-11-21,129,huesca,7.9,1.1,0.0,1040
HU,2021-11-22,123,huesca,5.6,1.1,0.4,1040
HU,2021-11-23,151,huesca,4.2,0.8,35.0,1040
HU,2021-11-24,160,huesca,4.3,1.7,0.2,1040
HU,2021-11-25,88,huesca,2.6,1.1,5.0,1040
HU,2021-11-26,76,huesca,3.4,1.9,7.0,1040
HU,2021-11-27,161,huesca,1.2,1.9,24.6,1040
HU,2021-11-28,168,huesca,-0.1,1.9,32.2,1040
HU,2021-11-29,186,huesca,3.8,3.3,1.6,1040
HU,2021-11-30,201,huesca,5.8,1.4,0.0,1040
HU,2021-12-01,182,huesca,2.3,1.1,6.4,1040
HU,2021-12-02,125,huesca,2.6,4.7,0.4,1040
HU,2021-12-03,146,huesca,5.6,3.3,0.4,1040
HU,2021-12-04,100,huesca,4.6,1.9,14.4,1040
HU,2021-12-05,189,huesca,0.4,2.8,34.6,1040
HU,2021-12-06,128,huesca,4.7,3.9,9.2,1040
HU,2021-12-07,151,huesca,3.2,0.8,35.8,1040
HU,2021-12-08,213,huesca,1.7,1.4,26.8,1040
HU,2021-12-09,169,huesca,0.7,1.4,110.8,1040
HU,2021-12-10,205,huesca,4.3,3.3,13.4,1040
HU,2021-12-11,183,huesca,7.7,2.8,0.0,1040
HU,2021-12-12,209,huesca,7.2,1.9,0.0,1040
HU,2021-12-13,203,huesca,8.6,1.4,0.0,1040
HU,2021-12-14,268,huesca,10.3,0.8,0.0,1040
HU,2021-12-15,180,huesca,11.4,1.7,0.0,1040
HU,2021-12-16,198,huesca,9.6,2.2,0.0,1040
HU,2021-12-17,158,huesca,9.3,2.5,0.0,1040
HU,2021-12-18,216,huesca,8.2,2.2,0.0,1040
HU,2021-12-19,213,huesca,7.2,2.5,0.0,1040
HU,2021-12-20,341,huesca,6.5,1.7,0.0,1040
HU,2021-12-21,408,huesca,8.4,1.9,0.0,1040
HU,2021-12-22,430,huesca,10.2,2.5,0.0,1040
