provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
J,2021-11-02,20,jaen,16.0,3.1,1.0,202
J,2021-11-03,36,jaen,12.2,5.0,0.0,202
J,2021-11-04,18,jaen,10.1,1.1,0.0,202
J,2021-11-05,8,jaen,9.8,1.1,0.0,202
J,2021-11-06,16,jaen,9.7,1.7,0.0,202
J,2021-11-07,21,jaen,8.5,0.6,0.0,202
J,2021-11-08,38,jaen,10.0,1.4,0.0,202
J,2021-11-09,43,jaen,10.8,0.8,0.0,202
J,2021-11-10,43,jaen,11.0,0.3,0.0,202
J,2021-11-11,33,jaen,10.6,0.3,0.0,202
J,2021-11-12,38,jaen,11.7,0.8,0.0,202
J,2021-11-13,33,jaen,13.4,0.8,0.0,202
J,2021-11-14,48,jaen,13.2,0.3,0.0,202
J,2021-11-15,36,jaen,11.0,1.4,0.0,202
J,2021-11-16,43,jaen,10.2,1.1,0.0,202
J,2021-11-17,40,jaen,10.0,1.1,0.0,202
J,2021-11-18,27,jaen,11.5,3.1,0.0,202
J,2021-11-19,30,jaen,15.2,3.3,0.0,202
J,2021-11-20,18,jaen,13.9,1.1,10.4,202
J,2021-11-21,39,jaen,14.4,0.6,1.0,202
J,2021-11-22,53,jaen,12.1,2.5,5.6,202
J,2021-11-23,55,jaen,6.6,1.4,2.8,202
J,2021-11-24,59,jaen,8.4,1.7,0.6,202
J,2021-11-25,50,jaen,6.9,1.1,0.0,202
J,2021-11-26,38,jaen,10.1,0.6,0.0,202
J,2021-11-27,57,jaen,6.6,2.2,0.2,202
J,2021-11-28,62,jaen,5.0,2.5,0.0,202
J,2021-11-29,56,jaen,10.0,2.2,0.0,202
J,2021-11-30,65,jaen,9.7,1.4,0.0,202
J,2021-12-01,73,jaen,7.8,1.7,1.0,202
J,2021-12-02,71,jaen,7.8,1.9,0.0,202
J,2021-12-03,76,jaen,6.7,0.3,0.0,202
J,2021-12-04,40,jaen,6.4,0.8,0.0,202
J,2021-12-05,57,jaen,9.6,3.1,0.0,202
J,2021-12-06,83,jaen,7.0,0.8,0.0,202
J,2021-12-07,80,jaen,8.9,0.8,2.2,202
J,2021-12-08,111,jaen,10.8,5.0,0.0,202
J,2021-12-09,100,jaen,6.7,2.2,0.0,202
J,2021-12-10,145,jaen,11.0,2.5,0.0,202
J,2021-12-11,154,jaen,11.7,1.1,0.0,202
J,2021-12-12,217,jaen,11.4,0.8,0.0,202
J,2021-12-13,207,jaen,10.8,0.6,0.0,202
J,2021-12-14,327,jaen,10.6,0.8,0.0,202
J,2021-12-15,277,jaen,8.6,0.3,0.0,202
J,2021-12-16,315,jaen,8.4,1.9,0.0,202
J,2021-12-17,333,jaen,11.3,1.4,0.0,202
J,2021-12-18,267,jaen,8.7,0.8,0.0,202
J,2021-12-19,266,jaen,9.6,0.6,0.0,202
J,2021-12-20,496,jaen,9.7,0.8,3.4,202
J,2021-12-21,749,jaen,13.2,1.4,5.8,202
J,2021-12-22,675,jaen,12.5,1.4,0.2,202
J,2021-12-23,640,jaen,11.4,1.4,27.4,202
J,2021-12-24,695,jaen,12.3,0.3,13.4,202
J,2021-12-25,722,jaen,12.1,1.9,32.0,202
J,2021-12-26,825,jaen,14.4,3.1,8.2,202
J,2021-12-27,751,jaen,17.4,4.2,0.0,202
J,2021-12-28,1249,jaen,13.2,0.6,0.6,202
J,2021-12-29,1441,jaen,12.4,0.8,0.0,202
J,2021-12-30,1454,jaen,12.6,0.6,0.0,202
J,2021-12-31,1224,jaen,11.9,0.3,0.0,202
J,2022-01-01,797,jaen,11.6,0.6,0.0,202
J,2022-01-02,751,jaen,10.6,0.8,0.0,202
J,2022-01-03,1368,jaen,11.4,0.3,0.0,202
J,2022-01-04,1315,jaen,7.3,3.1,3.8,202
J,2022-01-05,1244,jaen,7.7,2.2,4.8,202
J,2022-01-06,785,jaen,7.8,0.3,0.0,202
J,2022-01-07,686,jaen,7.2,1.1,0.0,202
J,2022-01-08,874,jaen,6.3,1.1,0.0,202
J,2022-01-09,733,jaen,6.0,1.4,0.0,202
J,2022-01-10,935,jaen,8.4,0.8,0.0,202
J,2022-01-11,1138,jaen,9.7,1.4,0.0,202
J,2022-01-12,972,jaen,8.6,0.8,0.0,202
J,2022-01-13,899,jaen,8.9,0.8,0.0,202
J,2022-01-14,353,jaen,7.2,0.8,0.0,202
J,2022-01-15,691,jaen,6.8,0.6,0.0,202
J,2022-01-16,564,jaen,5.8,0.8,0.0,202
J,2022-01-17,891,jaen,6.2,0.6,0.0,202
J,2022-01-18,838,jaen,6.6,0.6,0.0,202
J,2022-01-19,870,jaen,5.6,0.6,0.0,202
J,2022-01-20,641,jaen,5.8,0.6,0.0,202
J,2022-01-21,558,jaen,5.6,0.8,0.0,202
J,2022-01-22,458,jaen,6.8,0.8,0.0,202
J,2022-01-23,369,jaen,7.6,0.8,0.0,202
J,2022-01-24,609,jaen,8.2,0.8,0.0,202
J,2022-01-25,697,jaen,8.5,1.9,0.0,202
J,2022-01-26,608,jaen,11.8,3.1,0.0,202
J,2022-01-27,471,jaen,12.2,1.9,0.0,202
J,2022-01-28,459,jaen,11.4,1.1,0.0,202
J,2022-01-29,295,jaen,10.6,1.7,0.0,202
J,2022-01-30,217,jaen,10.6,1.1,0.0,202
J,2022-01-31,435,jaen,9.8,0.8,0.0,202
J,2022-02-01,384,jaen,7.4,1.1,0.0,202
J,2022-02-02,383,jaen,10.1,0.6,0.0,202
J,2022-02-03,268,jaen,10.7,0.6,0.0,202
J,2022-02-04,323,jaen,9.4,1.1,0.4,202
J,2022-02-05,187,jaen,12.0,0.3,0.0,202
J,2022-02-06,88,jaen,12.3,0.0,0.0,202
J,2022-02-07,60,jaen,11.0,0.8,0.0,202
