provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LO,2021-11-02,34,laRioja,11.7,1.4,3.3,353
LO,2021-11-03,23,laRioja,8.4,3.6,0.1,353
LO,2021-11-04,17,laRioja,9.1,3.3,0.3,353
LO,2021-11-05,14,laRioja,8.0,2.5,0.1,353
LO,2021-11-06,22,laRioja,8.0,3.6,0.0,353
LO,2021-11-07,27,laRioja,10.5,3.3,0.0,353
LO,2021-11-08,36,laRioja,13.1,3.9,0.0,353
LO,2021-11-09,36,laRioja,8.6,3.3,0.0,353
LO,2021-11-10,40,laRioja,8.0,2.5,0.0,353
LO,2021-11-11,31,laRioja,9.3,2.8,0.0,353
LO,2021-11-12,14,laRioja,9.8,3.9,0.0,353
LO,2021-11-13,43,laRioja,12.6,2.8,0.0,353
LO,2021-11-14,39,laRioja,12.3,3.3,0.0,353
LO,2021-11-15,35,laRioja,10.7,3.6,0.0,353
LO,2021-11-16,64,laRioja,9.5,2.5,0.0,353
LO,2021-11-17,55,laRioja,8.6,3.6,0.0,353
LO,2021-11-18,41,laRioja,7.5,2.5,0.0,353
LO,2021-11-19,24,laRioja,5.4,2.5,0.0,353
LO,2021-11-20,62,laRioja,6.2,1.7,0.0,353
LO,2021-11-21,33,laRioja,9.6,2.8,1.2,353
LO,2021-11-22,42,laRioja,7.5,3.1,17.7,353
LO,2021-11-23,73,laRioja,6.4,1.9,23.6,353
LO,2021-11-24,56,laRioja,7.6,3.6,0.7,353
LO,2021-11-25,27,laRioja,7.9,5.0,2.0,353
LO,2021-11-26,44,laRioja,8.0,3.9,0.2,353
LO,2021-11-27,85,laRioja,5.0,4.7,15.5,353
LO,2021-11-28,79,laRioja,4.1,6.7,21.9,353
LO,2021-11-29,79,laRioja,8.3,3.3,1.0,353
LO,2021-11-30,91,laRioja,9.0,1.9,0.0,353
LO,2021-12-01,126,laRioja,7.3,3.3,2.6,353
LO,2021-12-02,82,laRioja,7.4,5.3,3.7,353
LO,2021-12-03,41,laRioja,8.5,4.4,0.0,353
LO,2021-12-04,68,laRioja,8.1,3.9,6.3,353
LO,2021-12-05,67,laRioja,6.4,4.2,11.9,353
LO,2021-12-06,80,laRioja,9.1,4.7,0.0,353
LO,2021-12-07,113,laRioja,6.2,1.4,4.6,353
LO,2021-12-08,158,laRioja,6.4,5.6,3.2,353
LO,2021-12-09,145,laRioja,8.0,4.4,5.7,353
LO,2021-12-10,123,laRioja,11.8,6.9,3.6,353
LO,2021-12-11,261,laRioja,12.0,3.1,0.9,353
LO,2021-12-12,351,laRioja,8.6,1.9,0.0,353
LO,2021-12-13,395,laRioja,4.6,0.8,0.0,353
LO,2021-12-14,533,laRioja,6.4,1.9,0.1,353
LO,2021-12-15,843,laRioja,5.2,1.7,0.0,353
LO,2021-12-16,507,laRioja,3.1,1.4,0.0,353
LO,2021-12-17,644,laRioja,1.8,2.2,0.0,353
LO,2021-12-18,834,laRioja,2.0,3.1,0.1,353
LO,2021-12-19,997,laRioja,2.2,1.4,0.0,353
LO,2021-12-20,1012,laRioja,1.9,0.6,0.0,353
LO,2021-12-21,1228,laRioja,3.6,0.3,0.0,353
LO,2021-12-22,1235,laRioja,2.5,1.4,0.4,353
LO,2021-12-23,609,laRioja,5.7,0.8,0.8,353
LO,2021-12-24,937,laRioja,7.9,0.8,0.3,353
LO,2021-12-25,1689,laRioja,7.8,0.8,0.0,353
LO,2021-12-26,1707,laRioja,7.8,0.8,5.0,353
LO,2021-12-27,1609,laRioja,12.0,2.5,0.0,353
LO,2021-12-28,1684,laRioja,14.2,3.6,0.0,353
LO,2021-12-29,1477,laRioja,12.2,3.9,0.0,353
LO,2021-12-30,671,laRioja,9.4,1.1,0.0,353
LO,2021-12-31,1047,laRioja,9.4,0.6,0.1,353
LO,2022-01-01,1218,laRioja,5.6,0.6,0.1,353
LO,2022-01-02,1376,laRioja,8.5,0.6,0.0,353
LO,2022-01-03,1286,laRioja,6.8,0.3,0.1,353
LO,2022-01-04,871,laRioja,7.2,2.2,2.9,353
LO,2022-01-05,1074,laRioja,5.8,3.3,0.0,353
LO,2022-01-06,793,laRioja,4.0,3.3,0.0,353
LO,2022-01-07,757,laRioja,7.8,3.1,1.0,353
LO,2022-01-08,1102,laRioja,7.5,4.2,1.0,353
LO,2022-01-09,966,laRioja,10.5,5.3,5.2,353
LO,2022-01-10,1032,laRioja,12.9,4.7,0.1,353
LO,2022-01-11,821,laRioja,10.2,3.9,0.0,353
LO,2022-01-12,765,laRioja,7.2,4.7,0.0,353
LO,2022-01-13,495,laRioja,3.2,1.9,0.0,353
LO,2022-01-14,549,laRioja,1.9,1.4,0.0,353
LO,2022-01-15,762,laRioja,3.0,1.4,0.0,353
LO,2022-01-16,735,laRioja,5.2,3.1,0.0,353
LO,2022-01-17,715,laRioja,4.8,3.3,0.0,353
LO,2022-01-18,667,laRioja,5.8,2.5,0.0,353
LO,2022-01-19,591,laRioja,3.6,2.8,0.0,353
LO,2022-01-20,437,laRioja,6.6,3.3,0.1,353
LO,2022-01-21,493,laRioja,3.6,4.2,0.0,353
LO,2022-01-22,627,laRioja,4.0,3.1,0.0,353
LO,2022-01-23,575,laRioja,1.1,2.8,0.0,353
