provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GC,2021-11-02,84,lasPalmas,22.2,4.7,0.0,25
GC,2021-11-03,76,lasPalmas,22.2,5.6,0.0,25
GC,2021-11-04,53,lasPalmas,22.4,6.4,0.0,25
GC,2021-11-05,48,lasPalmas,21.5,7.5,0.0,25
GC,2021-11-06,89,lasPalmas,21.0,11.4,0.0,25
GC,2021-11-07,90,lasPalmas,20.8,11.4,0.0,25
GC,2021-11-08,84,lasPalmas,20.9,8.3,0.0,25
GC,2021-11-09,94,lasPalmas,20.0,5.0,0.0,25
GC,2021-11-10,84,lasPalmas,20.2,3.9,0.0,25
GC,2021-11-11,78,lasPalmas,20.8,3.3,0.0,25
GC,2021-11-12,79,lasPalmas,20.9,5.0,0.0,25
GC,2021-11-13,128,lasPalmas,20.4,5.8,0.0,25
GC,2021-11-14,137,lasPalmas,19.4,4.7,0.0,25
GC,2021-11-15,162,lasPalmas,19.5,3.6,0.0,25
GC,2021-11-16,130,lasPalmas,20.3,4.7,0.0,25
GC,2021-11-17,150,lasPalmas,20.1,4.7,0.0,25
GC,2021-11-18,146,lasPalmas,19.0,2.5,0.0,25
GC,2021-11-19,102,lasPalmas,18.4,3.9,0.0,25
GC,2021-11-20,132,lasPalmas,18.4,2.5,0.0,25
GC,2021-11-21,169,lasPalmas,18.8,0.8,0.0,25
GC,2021-11-22,169,lasPalmas,19.7,3.3,0.0,25
GC,2021-11-23,196,lasPalmas,19.6,2.5,0.0,25
GC,2021-11-24,170,lasPalmas,19.6,3.6,0.0,25
GC,2021-11-25,193,lasPalmas,20.1,5.0,0.0,25
GC,2021-11-26,135,lasPalmas,17.6,4.2,0.6,25
GC,2021-11-27,176,lasPalmas,18.6,8.3,0.7,25
GC,2021-11-28,223,lasPalmas,19.3,9.2,0.0,25
GC,2021-11-29,251,lasPalmas,19.6,11.4,0.0,25
GC,2021-11-30,273,lasPalmas,19.4,5.6,0.0,25
GC,2021-12-01,256,lasPalmas,18.6,4.2,0.0,25
GC,2021-12-02,208,lasPalmas,20.4,9.2,0.0,25
GC,2021-12-03,182,lasPalmas,19.3,11.9,0.0,25
GC,2021-12-04,219,lasPalmas,19.6,6.9,0.0,25
GC,2021-12-05,204,lasPalmas,19.5,9.4,0.0,25
GC,2021-12-06,220,lasPalmas,19.0,9.7,0.0,25
GC,2021-12-07,272,lasPalmas,18.5,3.9,0.0,25
GC,2021-12-08,347,lasPalmas,19.4,7.5,0.3,25
GC,2021-12-09,297,lasPalmas,19.4,10.8,0.0,25
GC,2021-12-10,238,lasPalmas,19.7,10.3,0.0,25
GC,2021-12-11,306,lasPalmas,19.4,8.3,0.0,25
GC,2021-12-12,370,lasPalmas,18.8,4.2,0.0,25
GC,2021-12-13,425,lasPalmas,18.4,3.6,0.0,25
GC,2021-12-14,533,lasPalmas,17.8,4.2,0.0,25
GC,2021-12-15,511,lasPalmas,17.4,5.0,0.0,25
GC,2021-12-16,443,lasPalmas,16.2,1.9,0.0,25
GC,2021-12-17,461,lasPalmas,16.5,2.5,0.0,25
GC,2021-12-18,616,lasPalmas,17.7,5.3,0.0,25
GC,2021-12-19,901,lasPalmas,17.8,5.8,0.0,25
GC,2021-12-20,1018,lasPalmas,19.2,3.3,0.0,25
GC,2021-12-22,1055,lasPalmas,18.9,2.2,0.0,25
GC,2021-12-23,888,lasPalmas,18.6,1.7,0.0,25
GC,2021-12-24,1044,lasPalmas,17.6,2.2,0.0,25
GC,2021-12-25,1580,lasPalmas,19.5,2.2,0.0,25
GC,2021-12-26,2114,lasPalmas,19.2,1.9,0.0,25
GC,2021-12-27,2210,lasPalmas,20.0,4.4,0.0,25
GC,2021-12-28,2088,lasPalmas,20.0,5.0,0.0,25
GC,2021-12-29,1624,lasPalmas,18.2,2.2,0.0,25
GC,2021-12-30,1091,lasPalmas,21.0,4.2,0.0,25
GC,2021-12-31,1293,lasPalmas,19.0,2.2,0.0,25
GC,2022-01-01,2439,lasPalmas,18.8,3.3,0.0,25
GC,2022-01-02,2560,lasPalmas,19.1,2.8,0.0,25
GC,2022-01-03,2629,lasPalmas,18.2,3.1,0.0,25
GC,2022-01-04,1528,lasPalmas,17.6,3.6,0.0,25
GC,2022-01-05,2768,lasPalmas,18.8,7.8,0.0,25
GC,2022-01-06,1763,lasPalmas,19.2,9.4,0.0,25
GC,2022-01-07,1931,lasPalmas,19.3,11.4,0.0,25
GC,2022-01-08,3176,lasPalmas,19.2,6.4,0.0,25
GC,2022-01-09,3056,lasPalmas,17.1,3.1,0.0,25
GC,2022-01-10,3131,lasPalmas,17.2,2.2,0.0,25
GC,2022-01-11,2780,lasPalmas,16.7,3.9,0.0,25
GC,2022-01-12,2976,lasPalmas,17.6,3.9,0.0,25
GC,2022-01-13,1801,lasPalmas,17.4,3.1,0.0,25
GC,2022-01-14,1565,lasPalmas,18.0,3.3,0.0,25
GC,2022-01-15,2588,lasPalmas,18.6,6.4,0.0,25
GC,2022-01-16,2299,lasPalmas,18.4,6.4,0.0,25
GC,2022-01-17,2068,lasPalmas,17.4,5.6,4.8,25
GC,2022-01-18,1639,lasPalmas,16.2,5.0,0.0,25
GC,2022-01-19,1679,lasPalmas,18.3,4.7,0.0,25
GC,2022-01-20,1053,lasPalmas,19.0,3.6,0.0,25
GC,2022-01-21,808,lasPalmas,18.2,2.5,0.0,25
GC,2022-01-22,1343,lasPalmas,18.8,2.2,0.0,25
GC,2022-01-23,1246,lasPalmas,16.7,3.3,0.0,25
GC,2022-01-24,1226,lasPalmas,17.6,3.1,0.0,25
GC,2022-01-25,1079,lasPalmas,18.6,6.9,0.0,25
GC,2022-01-26,865,lasPalmas,17.0,4.7,0.0,25
GC,2022-01-27,540,lasPalmas,15.4,4.2,7.6,25
GC,2022-01-28,419,lasPalmas,17.1,6.4,0.0,25
GC,2022-01-29,728,lasPalmas,18.0,4.7,0.0,25
GC,2022-01-30,771,lasPalmas,16.2,2.5,0.0,25
GC,2022-01-31,637,lasPalmas,17.7,2.8,0.0,25
GC,2022-02-01,641,lasPalmas,19.5,3.9,0.1,25
GC,2022-02-02,603,lasPalmas,21.6,4.2,0.0,25
GC,2022-02-03,336,lasPalmas,21.2,1.1,0.0,25
GC,2022-02-04,243,lasPalmas,19.7,3.1,0.0,25
GC,2022-02-05,589,lasPalmas,18.6,3.9,0.0,25
GC,2022-02-06,463,lasPalmas,19.5,7.2,0.0,25
GC,2022-02-07,4,lasPalmas,19.4,6.1,0.0,25
