provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
L,2021-11-02,53,lleida,12.9,1.9,0.0,185
L,2021-11-03,64,lleida,11.7,5.3,0.0,185
L,2021-11-04,28,lleida,8.6,1.9,0.0,185
L,2021-11-05,46,lleida,8.9,1.4,0.0,185
L,2021-11-06,65,lleida,8.4,2.2,0.0,185
L,2021-11-07,53,lleida,8.6,2.8,0.0,185
L,2021-11-08,86,lleida,11.8,2.8,0.0,185
L,2021-11-09,58,lleida,8.6,1.7,0.2,185
L,2021-11-10,79,lleida,7.1,1.4,0.0,185
L,2021-11-11,58,lleida,9.0,0.8,0.2,185
L,2021-11-12,51,lleida,9.6,1.4,0.0,185
L,2021-11-13,115,lleida,9.6,1.4,0.0,185
L,2021-11-14,61,lleida,10.8,1.4,0.0,185
L,2021-11-15,100,lleida,11.0,2.5,0.0,185
L,2021-11-16,108,lleida,8.6,1.7,0.0,185
L,2021-11-17,119,lleida,8.0,2.2,0.0,185
L,2021-11-18,124,lleida,7.2,1.9,0.0,185
L,2021-11-19,127,lleida,7.5,1.1,0.0,185
L,2021-11-20,77,lleida,6.4,0.6,0.0,185
L,2021-11-21,82,lleida,7.8,1.7,0.0,185
L,2021-11-22,166,lleida,6.4,1.4,5.8,185
L,2021-11-23,169,lleida,9.3,3.3,35.4,185
L,2021-11-24,163,lleida,6.8,1.1,14.2,185
L,2021-11-25,146,lleida,7.5,2.2,0.4,185
L,2021-11-26,185,lleida,7.0,2.2,0.0,185
L,2021-11-27,115,lleida,7.0,6.4,0.0,185
L,2021-11-28,92,lleida,5.8,7.2,0.0,185
L,2021-11-29,216,lleida,8.3,5.6,0.0,185
L,2021-11-30,232,lleida,7.4,1.7,0.0,185
L,2021-12-01,248,lleida,5.0,1.4,0.1,185
L,2021-12-02,237,lleida,8.1,4.7,0.0,185
L,2021-12-03,251,lleida,7.6,2.8,0.0,185
L,2021-12-04,147,lleida,8.0,4.4,0.0,185
L,2021-12-05,166,lleida,7.0,8.3,0.0,185
L,2021-12-06,188,lleida,8.6,3.9,0.0,185
L,2021-12-07,369,lleida,6.6,1.9,0.7,185
L,2021-12-08,217,lleida,8.2,5.8,0.0,185
L,2021-12-09,294,lleida,6.6,3.3,0.6,185
L,2021-12-10,357,lleida,11.0,9.4,0.0,185
L,2021-12-11,198,lleida,11.8,4.7,0.0,185
L,2021-12-12,186,lleida,8.3,1.4,0.1,185
L,2021-12-13,387,lleida,2.9,1.4,0.3,185
L,2021-12-14,298,lleida,3.0,1.4,0.2,185
L,2021-12-15,319,lleida,2.6,1.1,0.2,185
L,2021-12-16,292,lleida,2.3,0.8,0.1,185
L,2021-12-17,348,lleida,1.5,1.1,0.2,185
L,2021-12-18,316,lleida,2.8,1.1,0.2,185
L,2021-12-19,304,lleida,2.4,0.8,0.2,185
L,2021-12-20,453,lleida,1.9,1.1,0.1,185
L,2021-12-21,476,lleida,2.8,0.8,0.1,185
L,2021-12-22,541,lleida,2.2,1.4,0.0,185
L,2021-12-23,685,lleida,7.8,1.4,0.0,185
L,2021-12-24,796,lleida,8.8,1.1,0.2,185
L,2021-12-25,522,lleida,9.6,1.4,0.0,185
L,2021-12-26,590,lleida,7.5,1.4,0.3,185
L,2021-12-27,1111,lleida,11.8,3.3,0.0,185
L,2021-12-28,1180,lleida,13.2,3.9,0.0,185
L,2021-12-29,1178,lleida,13.7,2.5,0.0,185
L,2021-12-30,1132,lleida,9.8,1.1,0.2,185
L,2021-12-31,1048,lleida,4.6,1.1,0.3,185
L,2022-01-01,497,lleida,3.4,1.1,0.2,185
L,2022-01-02,803,lleida,2.8,1.1,0.3,185
L,2022-01-03,1397,lleida,4.5,1.1,0.1,185
L,2022-01-04,1455,lleida,4.6,0.8,3.4,185
L,2022-01-05,1526,lleida,6.0,5.3,0.0,185
L,2022-01-06,891,lleida,3.6,2.5,0.0,185
L,2022-01-07,1410,lleida,3.4,1.7,0.0,185
L,2022-01-08,1022,lleida,6.0,3.3,0.0,185
L,2022-01-09,1290,lleida,10.6,6.9,0.0,185
L,2022-01-10,1783,lleida,13.0,9.2,0.0,185
L,2022-01-11,1814,lleida,9.6,2.2,0.0,185
L,2022-01-12,1675,lleida,4.8,1.7,0.0,185
L,2022-01-13,1587,lleida,3.4,0.6,0.0,185
L,2022-01-14,1494,lleida,2.0,1.1,0.0,185
L,2022-01-15,1383,lleida,1.6,1.4,0.0,185
L,2022-01-16,1436,lleida,1.6,1.4,0.0,185
L,2022-01-17,2235,lleida,1.6,1.1,0.0,185
L,2022-01-18,2285,lleida,2.0,1.1,0.0,185
L,2022-01-19,2163,lleida,1.7,1.1,0.0,185
L,2022-01-20,2042,lleida,2.6,1.4,0.0,185
L,2022-01-21,1780,lleida,3.5,1.9,0.0,185
L,2022-01-22,1373,lleida,1.7,1.7,0.0,185
L,2022-01-23,1655,lleida,2.8,0.8,0.0,185
L,2022-01-24,2225,lleida,4.5,1.1,0.0,185
L,2022-01-25,1650,lleida,4.2,0.8,0.0,185
L,2022-01-26,1504,lleida,3.8,1.1,0.0,185
L,2022-01-27,1404,lleida,3.7,0.8,0.0,185
L,2022-01-28,1210,lleida,3.8,1.1,0.0,185
L,2022-01-29,977,lleida,4.0,0.8,0.0,185
L,2022-01-30,779,lleida,4.6,1.1,0.0,185
L,2022-01-31,1160,lleida,7.2,2.8,0.0,185
L,2022-02-01,977,lleida,9.4,4.2,0.0,185
L,2022-02-02,923,lleida,8.5,1.9,0.0,185
L,2022-02-03,577,lleida,7.6,1.1,0.0,185
L,2022-02-04,555,lleida,9.2,1.4,0.0,185
L,2022-02-05,353,lleida,9.6,1.1,0.0,185
L,2022-02-06,290,lleida,5.8,1.9,0.0,185
L,2022-02-07,610,lleida,8.7,2.5,0.0,185
