provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LU,2021-11-02,1,lugo,8.6,2.8,13.0,445
LU,2021-11-03,4,lugo,8.0,1.1,12.6,445
LU,2021-11-04,3,lugo,8.0,1.1,2.4,445
LU,2021-11-05,8,lugo,7.0,0.8,0.6,445
LU,2021-11-06,10,lugo,6.9,1.4,0.0,445
LU,2021-11-07,5,lugo,7.0,1.4,0.0,445
LU,2021-11-08,16,lugo,12.0,1.7,0.0,445
LU,2021-11-09,17,lugo,12.2,1.9,0.0,445
LU,2021-11-10,17,lugo,9.2,0.8,0.0,445
LU,2021-11-11,13,lugo,5.6,0.8,0.0,445
LU,2021-11-12,18,lugo,9.4,0.8,0.0,445
LU,2021-11-13,15,lugo,9.9,0.6,0.0,445
LU,2021-11-14,20,lugo,8.0,1.7,0.0,445
LU,2021-11-15,19,lugo,8.6,1.7,0.0,445
LU,2021-11-16,28,lugo,8.2,1.4,0.0,445
LU,2021-11-17,36,lugo,8.6,1.9,0.0,445
LU,2021-11-18,38,lugo,8.0,1.4,0.0,445
LU,2021-11-19,15,lugo,7.2,0.8,0.0,445
LU,2021-11-20,37,lugo,7.2,0.6,0.0,445
LU,2021-11-21,38,lugo,6.8,0.6,1.0,445
LU,2021-11-22,46,lugo,4.8,0.8,17.6,445
LU,2021-11-23,29,lugo,7.7,2.2,1.0,445
LU,2021-11-24,65,lugo,6.4,1.1,9.0,445
LU,2021-11-25,44,lugo,7.6,1.7,9.2,445
LU,2021-11-26,26,lugo,5.4,1.4,7.2,445
LU,2021-11-27,51,lugo,5.0,1.7,4.6,445
LU,2021-11-28,65,lugo,4.6,1.9,6.6,445
LU,2021-11-29,51,lugo,7.8,1.4,1.8,445
LU,2021-11-30,50,lugo,8.8,0.6,0.2,445
LU,2021-12-01,64,lugo,8.2,1.9,11.2,445
LU,2021-12-02,54,lugo,6.2,0.6,1.0,445
LU,2021-12-03,43,lugo,7.4,2.5,0.4,445
LU,2021-12-04,43,lugo,9.0,1.7,5.2,445
LU,2021-12-12,72,lugo,8.8,1.1,0.2,445
LU,2021-12-13,103,lugo,9.4,1.4,0.0,445
LU,2021-12-14,95,lugo,3.1,0.3,0.0,445
LU,2021-12-15,111,lugo,1.6,0.3,0.2,445
LU,2021-12-16,88,lugo,5.6,0.6,0.2,445
LU,2021-12-17,80,lugo,5.6,0.8,0.0,445
LU,2021-12-18,125,lugo,3.8,0.6,0.2,445
LU,2021-12-19,142,lugo,4.1,0.8,0.0,445
LU,2021-12-20,219,lugo,7.0,0.8,0.4,445
LU,2021-12-21,240,lugo,12.8,2.2,0.2,445
LU,2021-12-22,287,lugo,11.6,2.5,6.8,445
LU,2021-12-23,291,lugo,11.8,1.7,4.2,445
LU,2021-12-24,242,lugo,9.6,2.5,28.0,445
LU,2021-12-25,319,lugo,11.8,2.2,0.0,445
LU,2021-12-26,452,lugo,11.7,3.3,10.6,445
LU,2021-12-27,560,lugo,11.8,4.7,3.2,445
LU,2021-12-28,559,lugo,13.8,3.6,0.6,445
LU,2021-12-29,735,lugo,12.1,2.2,1.4,445
LU,2021-12-30,515,lugo,11.7,1.4,0.0,445
LU,2021-12-31,764,lugo,12.4,2.5,0.0,445
LU,2022-01-01,588,lugo,17.2,4.2,0.2,445
LU,2022-01-02,803,lugo,10.8,2.2,0.0,445
LU,2022-01-03,855,lugo,12.4,3.9,9.8,445
LU,2022-01-04,734,lugo,9.2,1.9,13.0,445
LU,2022-01-05,908,lugo,7.2,1.9,7.2,445
LU,2022-01-06,647,lugo,8.0,1.1,1.8,445
LU,2022-01-07,720,lugo,6.2,0.6,0.2,445
LU,2022-01-08,789,lugo,5.2,2.8,1.8,445
LU,2022-01-09,808,lugo,10.7,2.8,1.8,445
LU,2022-01-10,832,lugo,11.3,1.1,0.8,445
LU,2022-01-11,730,lugo,9.3,0.8,0.0,445
LU,2022-01-12,804,lugo,6.2,1.9,0.0,445
LU,2022-01-13,567,lugo,5.1,0.8,0.2,445
LU,2022-01-14,581,lugo,3.5,1.1,0.0,445
LU,2022-01-15,612,lugo,3.6,1.1,0.0,445
LU,2022-01-16,639,lugo,4.6,0.3,0.0,445
LU,2022-01-17,647,lugo,4.8,0.6,0.0,445
LU,2022-01-18,644,lugo,6.2,0.3,0.0,445
LU,2022-01-19,639,lugo,4.5,0.8,0.2,445
LU,2022-01-20,545,lugo,4.8,1.7,0.0,445
LU,2022-01-21,609,lugo,6.1,2.5,0.0,445
LU,2022-01-22,590,lugo,3.9,1.1,0.0,445
LU,2022-01-23,665,lugo,3.2,0.6,0.0,445
LU,2022-01-24,732,lugo,3.4,1.1,0.0,445
LU,2022-01-25,630,lugo,3.7,1.1,0.0,445
LU,2022-01-26,610,lugo,3.7,1.1,0.0,445
LU,2022-01-27,487,lugo,6.1,1.7,0.0,445
LU,2022-01-28,460,lugo,4.2,1.1,0.0,445
LU,2022-01-29,476,lugo,2.9,0.6,0.0,445
LU,2022-01-30,539,lugo,6.1,0.8,0.2,445
LU,2022-01-31,601,lugo,6.4,1.9,0.0,445
LU,2022-02-01,505,lugo,7.2,1.4,0.0,445
LU,2022-02-02,498,lugo,7.8,0.8,0.0,445
LU,2022-02-03,326,lugo,7.8,2.2,0.0,445
LU,2022-02-04,391,lugo,8.8,0.8,1.4,445
LU,2022-02-05,377,lugo,5.4,1.9,0.0,445
LU,2022-02-06,242,lugo,5.4,0.8,0.0,445
LU,2022-02-07,97,lugo,6.3,1.4,0.0,445
