provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
M,2021-11-02,420,madrid,9.8,1.9,7.4,540
M,2021-11-03,483,madrid,9.8,1.9,0.1,540
M,2021-11-04,187,madrid,7.8,1.1,2.0,540
M,2021-11-05,191,madrid,6.8,1.9,0.0,540
M,2021-11-06,483,madrid,7.8,1.9,0.0,540
M,2021-11-07,315,madrid,7.0,1.4,0.0,540
M,2021-11-08,528,madrid,10.2,1.4,0.0,540
M,2021-11-09,552,madrid,9.4,0.6,0.0,540
M,2021-11-10,662,madrid,8.0,0.8,0.0,540
M,2021-11-11,233,madrid,8.2,1.1,0.0,540
M,2021-11-12,243,madrid,9.0,0.8,0.0,540
M,2021-11-13,626,madrid,9.1,1.1,0.0,540
M,2021-11-14,639,madrid,9.2,1.1,0.0,540
M,2021-11-15,755,madrid,9.0,1.7,0.0,540
M,2021-11-16,713,madrid,7.0,1.1,0.0,540
M,2021-11-17,872,madrid,8.1,1.1,0.0,540
M,2021-11-18,327,madrid,8.0,1.4,0.0,540
M,2021-11-19,376,madrid,10.4,3.9,0.0,540
M,2021-11-20,763,madrid,10.4,1.4,0.2,540
M,2021-11-21,866,madrid,10.6,0.8,4.3,540
M,2021-11-22,887,madrid,8.8,1.1,9.2,540
M,2021-11-23,858,madrid,5.4,1.4,0.3,540
M,2021-11-24,1116,madrid,4.2,1.7,0.0,540
M,2021-11-25,420,madrid,5.6,0.6,0.0,540
M,2021-11-26,578,madrid,6.0,1.1,0.0,540
M,2021-11-27,863,madrid,4.6,2.8,0.6,540
M,2021-11-28,856,madrid,4.2,3.9,0.0,540
M,2021-11-29,995,madrid,8.4,3.3,0.0,540
M,2021-11-30,1221,madrid,7.4,1.4,0.0,540
M,2021-12-01,1363,madrid,5.5,2.5,0.3,540
M,2021-12-02,985,madrid,5.2,3.1,0.0,540
M,2021-12-03,1398,madrid,6.4,1.7,0.0,540
M,2021-12-04,421,madrid,5.1,2.8,0.0,540
M,2021-12-05,951,madrid,9.0,4.4,0.0,540
M,2021-12-06,426,madrid,8.0,2.2,0.0,540
M,2021-12-07,2103,madrid,7.4,1.7,0.0,540
