provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MA,2021-11-02,78,malaga,16.0,1.1,0.8,408
MA,2021-11-03,101,malaga,11.3,2.8,0.0,408
MA,2021-11-04,81,malaga,9.0,1.4,0.0,408
MA,2021-11-05,50,malaga,8.2,1.1,0.0,408
MA,2021-11-06,56,malaga,9.0,1.4,0.0,408
MA,2021-11-07,78,malaga,7.6,1.1,0.0,408
MA,2021-11-08,98,malaga,8.2,0.8,0.0,408
MA,2021-11-09,112,malaga,10.6,0.8,0.0,408
MA,2021-11-10,105,malaga,11.7,0.3,0.0,408
MA,2021-11-11,91,malaga,9.8,0.6,0.0,408
MA,2021-11-12,45,malaga,9.8,0.6,0.0,408
MA,2021-11-13,114,malaga,11.5,0.8,0.0,408
MA,2021-11-14,150,malaga,12.8,0.6,0.0,408
MA,2021-11-15,145,malaga,10.6,0.8,0.0,408
MA,2021-11-16,159,malaga,9.6,0.6,0.0,408
MA,2021-11-17,136,malaga,10.0,1.4,0.0,408
MA,2021-11-18,125,malaga,11.0,2.2,0.0,408
MA,2021-11-19,96,malaga,14.1,3.9,6.0,408
MA,2021-11-20,143,malaga,14.2,1.9,0.7,408
MA,2021-11-21,119,malaga,12.6,0.8,5.6,408
MA,2021-11-22,184,malaga,12.0,1.4,1.1,408
MA,2021-11-23,237,malaga,7.4,1.1,4.4,408
MA,2021-11-24,204,malaga,6.2,1.1,0.0,408
MA,2021-11-25,158,malaga,7.8,1.4,1.6,408
MA,2021-11-26,152,malaga,7.2,0.8,0.0,408
MA,2021-11-27,154,malaga,5.6,2.2,1.2,408
MA,2021-11-28,182,malaga,4.6,1.7,0.0,408
MA,2021-11-29,295,malaga,9.6,1.9,0.0,408
MA,2021-11-30,272,malaga,7.4,0.8,0.0,408
MA,2021-12-01,359,malaga,5.8,1.4,0.7,408
MA,2021-12-02,234,malaga,8.2,2.8,0.3,408
MA,2021-12-03,228,malaga,6.0,1.1,0.0,408
MA,2021-12-04,245,malaga,6.4,1.1,0.0,408
MA,2021-12-05,334,malaga,9.2,3.1,0.0,408
MA,2021-12-06,311,malaga,7.0,1.1,0.0,408
MA,2021-12-07,467,malaga,8.4,0.8,2.5,408
MA,2021-12-08,426,malaga,10.0,3.3,0.2,408
MA,2021-12-09,419,malaga,8.5,1.1,0.0,408
MA,2021-12-10,500,malaga,10.8,1.7,0.0,408
MA,2021-12-11,564,malaga,11.3,0.3,0.0,408
MA,2021-12-12,557,malaga,10.2,2.8,0.0,408
MA,2021-12-13,813,malaga,13.6,2.8,0.0,408
MA,2021-12-14,818,malaga,12.0,3.1,0.0,408
MA,2021-12-15,826,malaga,11.6,5.3,0.0,408
MA,2021-12-16,1021,malaga,11.8,4.4,0.0,408
MA,2021-12-17,1032,malaga,11.6,2.8,0.0,408
MA,2021-12-18,1202,malaga,10.4,3.3,0.0,408
MA,2021-12-19,878,malaga,12.9,5.8,0.0,408
MA,2021-12-20,1567,malaga,12.6,1.4,0.0,408
MA,2021-12-21,1914,malaga,15.2,1.9,9.9,408
MA,2021-12-22,1400,malaga,13.2,0.3,1.0,408
MA,2021-12-23,1654,malaga,10.4,3.1,12.5,408
MA,2021-12-24,1443,malaga,10.5,0.6,20.9,408
MA,2021-12-25,1657,malaga,12.8,1.9,5.4,408
MA,2021-12-26,1327,malaga,13.6,0.8,0.6,408
MA,2021-12-27,1619,malaga,15.0,1.4,0.1,408
MA,2021-12-29,3061,malaga,10.8,0.8,0.1,408
MA,2021-12-30,3052,malaga,13.8,0.6,0.0,408
MA,2021-12-31,2612,malaga,12.4,0.6,0.0,408
MA,2022-01-01,2209,malaga,12.6,1.1,0.0,408
MA,2022-01-02,1426,malaga,10.8,0.6,0.0,408
MA,2022-01-03,1874,malaga,11.0,1.1,0.0,408
MA,2022-01-04,2596,malaga,10.2,1.1,2.8,408
MA,2022-01-05,2642,malaga,6.6,1.4,2.9,408
MA,2022-01-06,1344,malaga,7.6,1.4,0.0,408
MA,2022-01-07,1419,malaga,6.4,0.6,0.0,408
MA,2022-01-08,1557,malaga,6.3,0.6,0.0,408
MA,2022-01-09,1389,malaga,5.9,1.4,0.1,408
MA,2022-01-10,2175,malaga,8.4,0.6,0.1,408
MA,2022-01-11,2284,malaga,8.4,2.5,0.0,408
MA,2022-01-12,1662,malaga,10.2,3.6,0.0,408
MA,2022-01-13,1767,malaga,9.9,4.2,0.0,408
MA,2022-01-14,1311,malaga,8.8,3.9,0.0,408
MA,2022-01-15,1568,malaga,9.2,1.4,0.0,408
MA,2022-01-16,1108,malaga,8.8,0.8,0.0,408
MA,2022-01-17,1504,malaga,8.2,3.3,0.0,408
MA,2022-01-18,1673,malaga,10.2,3.9,0.0,408
MA,2022-01-19,1669,malaga,9.2,1.7,0.0,408
MA,2022-01-20,967,malaga,7.2,0.8,0.0,408
MA,2022-01-21,1079,malaga,6.7,1.4,0.0,408
MA,2022-01-22,1026,malaga,10.2,4.4,0.0,408
MA,2022-01-23,991,malaga,10.4,6.4,0.0,408
MA,2022-01-24,1170,malaga,10.4,4.4,0.0,408
MA,2022-01-25,1103,malaga,9.2,2.5,0.0,408
MA,2022-01-26,1068,malaga,9.5,1.9,0.0,408
MA,2022-01-27,581,malaga,11.3,3.3,0.0,408
MA,2022-01-28,652,malaga,10.6,3.1,0.0,408
MA,2022-01-29,536,malaga,12.4,3.3,0.0,408
MA,2022-01-30,508,malaga,12.0,1.9,0.0,408
MA,2022-01-31,816,malaga,10.1,1.1,0.0,408
MA,2022-02-01,846,malaga,8.1,1.1,0.0,408
MA,2022-02-02,721,malaga,13.3,1.9,0.0,408
MA,2022-02-03,375,malaga,12.4,0.6,0.0,408
MA,2022-02-04,272,malaga,9.5,1.1,0.3,408
MA,2022-02-05,213,malaga,12.8,1.7,0.0,408
MA,2022-02-06,152,malaga,12.6,1.9,0.0,408
MA,2022-02-07,56,malaga,11.3,1.1,0.0,408
