provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MU,2021-11-02,73,murcia,22.6,2.2,0.0,26
MU,2021-11-03,78,murcia,17.6,3.6,0.0,26
MU,2021-11-04,63,murcia,16.1,2.8,0.0,26
MU,2021-11-05,30,murcia,15.8,1.9,0.0,26
MU,2021-11-06,70,murcia,15.6,2.2,0.0,26
MU,2021-11-07,100,murcia,16.3,2.5,0.0,26
MU,2021-11-08,98,murcia,15.8,1.9,0.0,26
MU,2021-11-09,91,murcia,16.8,2.8,0.0,26
MU,2021-11-10,163,murcia,17.2,2.2,0.0,26
MU,2021-11-11,76,murcia,17.0,2.2,0.0,26
MU,2021-11-12,86,murcia,17.5,1.7,0.0,26
MU,2021-11-13,149,murcia,17.8,1.4,0.0,26
MU,2021-11-14,194,murcia,17.0,1.7,0.0,26
MU,2021-11-15,202,murcia,16.6,3.1,0.0,26
MU,2021-11-16,247,murcia,14.9,1.7,0.0,26
MU,2021-11-17,263,murcia,15.8,2.2,13.2,26
MU,2021-11-18,177,murcia,15.6,3.6,3.5,26
MU,2021-11-19,128,murcia,17.2,5.3,0.3,26
MU,2021-11-20,241,murcia,16.2,2.8,35.1,26
MU,2021-11-21,259,murcia,17.0,2.2,0.9,26
MU,2021-11-22,311,murcia,17.2,1.4,0.2,26
MU,2021-11-23,299,murcia,15.0,2.2,0.2,26
MU,2021-11-24,345,murcia,13.0,3.6,0.0,26
MU,2021-11-25,279,murcia,15.5,4.4,0.0,26
MU,2021-11-26,160,murcia,14.0,2.5,0.0,26
MU,2021-11-27,323,murcia,14.0,4.4,0.0,26
MU,2021-11-28,411,murcia,12.3,3.9,0.0,26
MU,2021-11-29,378,murcia,17.3,5.0,0.0,26
MU,2021-11-30,554,murcia,14.5,1.7,0.0,26
MU,2021-12-01,436,murcia,13.6,1.4,0.0,26
MU,2021-12-02,445,murcia,15.1,4.2,0.2,26
MU,2021-12-03,223,murcia,15.2,1.7,0.0,26
MU,2021-12-04,248,murcia,13.4,1.7,0.0,26
MU,2021-12-05,451,murcia,16.6,3.9,0.0,26
MU,2021-12-06,385,murcia,15.4,1.7,0.0,26
MU,2021-12-07,556,murcia,14.8,1.9,0.0,26
MU,2021-12-08,894,murcia,16.8,6.7,0.0,26
MU,2021-12-09,598,murcia,16.3,4.2,0.0,26
MU,2021-12-10,638,murcia,16.2,5.0,0.0,26
MU,2021-12-11,720,murcia,17.0,1.1,0.0,26
MU,2021-12-12,983,murcia,15.6,2.5,0.0,26
MU,2021-12-13,1196,murcia,13.7,1.7,0.0,26
MU,2021-12-14,1289,murcia,13.0,2.5,0.0,26
MU,2021-12-15,1494,murcia,12.6,2.2,0.0,26
MU,2021-12-16,1051,murcia,15.4,3.6,0.0,26
MU,2021-12-17,974,murcia,14.6,3.9,0.0,26
MU,2021-12-18,1560,murcia,14.8,3.3,0.0,26
MU,2021-12-19,1684,murcia,13.1,2.5,0.0,26
MU,2021-12-20,1866,murcia,13.2,1.4,0.0,26
MU,2021-12-21,1943,murcia,14.6,1.1,0.0,26
MU,2021-12-22,1645,murcia,15.4,1.9,0.0,26
MU,2021-12-23,999,murcia,14.8,1.1,0.0,26
MU,2021-12-24,998,murcia,14.2,0.8,0.0,26
MU,2021-12-25,2322,murcia,13.9,0.8,0.0,26
MU,2021-12-26,2719,murcia,16.1,1.4,0.0,26
MU,2021-12-27,2982,murcia,20.2,5.6,0.0,26
MU,2021-12-28,2763,murcia,19.5,1.9,0.0,26
MU,2021-12-29,2214,murcia,15.6,1.4,0.0,26
MU,2021-12-30,1024,murcia,12.9,1.1,0.4,26
MU,2021-12-31,1058,murcia,12.8,1.1,0.0,26
MU,2022-01-01,3069,murcia,12.6,1.1,0.0,26
MU,2022-01-02,4967,murcia,12.2,1.4,0.0,26
MU,2022-01-03,5726,murcia,12.5,1.4,0.0,26
MU,2022-01-04,2483,murcia,13.9,0.8,0.0,26
MU,2022-01-05,6158,murcia,14.3,5.0,8.6,26
MU,2022-01-06,3855,murcia,11.7,1.9,0.0,26
MU,2022-01-07,2780,murcia,11.0,1.7,0.0,26
MU,2022-01-08,7227,murcia,13.1,1.9,0.0,26
MU,2022-01-09,7957,murcia,13.8,2.8,0.0,26
MU,2022-01-10,7790,murcia,18.6,4.4,0.0,26
MU,2022-01-11,7527,murcia,14.0,1.9,2.0,26
MU,2022-01-12,6796,murcia,12.0,1.1,0.4,26
MU,2022-01-13,4187,murcia,12.6,3.3,0.0,26
MU,2022-01-14,2819,murcia,12.2,3.1,0.0,26
MU,2022-01-15,7569,murcia,11.2,1.9,0.0,26
MU,2022-01-16,6267,murcia,11.0,1.1,0.0,26
MU,2022-01-17,6173,murcia,10.7,1.7,0.0,26
MU,2022-01-18,6011,murcia,10.3,1.1,0.0,26
MU,2022-01-19,5239,murcia,10.6,1.7,0.0,26
MU,2022-01-20,3577,murcia,10.7,1.9,0.0,26
MU,2022-01-21,2149,murcia,10.8,2.2,0.6,26
MU,2022-01-22,5935,murcia,13.2,3.3,0.2,26
MU,2022-01-23,5636,murcia,13.4,3.1,0.0,26
MU,2022-01-24,5662,murcia,11.6,3.6,0.2,26
MU,2022-01-25,4710,murcia,14.2,4.7,0.2,26
MU,2022-01-26,3501,murcia,13.9,3.9,0.0,26
MU,2022-01-27,3366,murcia,12.6,3.1,0.0,26
MU,2022-01-28,1913,murcia,12.4,2.2,0.0,26
MU,2022-01-29,4346,murcia,12.6,2.2,0.2,26
MU,2022-01-30,3266,murcia,11.2,1.1,0.0,26
MU,2022-01-31,3190,murcia,13.5,1.4,0.0,26
MU,2022-02-01,2596,murcia,13.3,3.6,0.0,26
MU,2022-02-02,2396,murcia,13.6,1.1,0.0,26
MU,2022-02-03,1358,murcia,13.8,0.8,0.0,26
MU,2022-02-04,891,murcia,14.9,0.8,0.0,26
MU,2022-02-05,1820,murcia,15.6,2.2,0.0,26
MU,2022-02-06,1417,murcia,13.8,2.5,0.0,26
MU,2022-02-07,147,murcia,12.6,1.1,0.0,26
