provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PO,2021-11-02,28,pontevedra,12.2,1.9,17.8,108
PO,2021-11-03,15,pontevedra,10.2,1.1,8.6,108
PO,2021-11-04,18,pontevedra,10.0,1.9,0.0,108
PO,2021-11-05,19,pontevedra,10.5,1.9,0.0,108
PO,2021-11-06,23,pontevedra,10.6,1.1,0.0,108
PO,2021-11-07,24,pontevedra,11.0,1.9,0.0,108
PO,2021-11-08,24,pontevedra,14.8,1.1,0.0,108
PO,2021-11-09,51,pontevedra,15.2,1.4,0.0,108
PO,2021-11-10,36,pontevedra,13.8,0.8,0.0,108
PO,2021-11-11,76,pontevedra,12.6,1.9,0.0,108
PO,2021-11-12,34,pontevedra,11.3,0.8,0.0,108
PO,2021-11-13,53,pontevedra,12.3,0.8,0.0,108
PO,2021-11-14,85,pontevedra,11.7,1.4,0.0,108
PO,2021-11-15,98,pontevedra,13.0,1.7,0.0,108
PO,2021-11-16,83,pontevedra,13.2,1.7,0.0,108
PO,2021-11-17,117,pontevedra,13.3,2.8,0.0,108
PO,2021-11-18,116,pontevedra,11.8,1.9,0.0,108
PO,2021-11-19,106,pontevedra,14.9,1.1,0.0,108
PO,2021-11-20,115,pontevedra,15.2,0.6,0.0,108
PO,2021-11-21,132,pontevedra,12.4,2.2,0.0,108
PO,2021-11-22,190,pontevedra,8.8,3.1,0.0,108
PO,2021-11-23,255,pontevedra,10.4,3.1,0.0,108
PO,2021-11-24,213,pontevedra,9.6,1.7,4.0,108
PO,2021-11-25,183,pontevedra,9.8,1.7,0.4,108
PO,2021-11-26,184,pontevedra,9.2,2.2,1.2,108
PO,2021-11-27,249,pontevedra,7.6,3.9,3.4,108
PO,2021-11-28,279,pontevedra,6.0,0.3,4.2,108
PO,2021-11-29,392,pontevedra,10.2,0.6,1.0,108
PO,2021-11-30,365,pontevedra,10.8,1.1,2.6,108
PO,2021-12-01,372,pontevedra,10.8,1.4,9.0,108
PO,2021-12-02,392,pontevedra,8.4,2.2,0.0,108
PO,2021-12-03,401,pontevedra,8.8,1.4,23.6,108
PO,2021-12-04,339,pontevedra,11.7,1.7,0.2,108
PO,2021-12-05,433,pontevedra,9.9,1.4,0.6,108
PO,2021-12-06,478,pontevedra,10.7,0.6,53.0,108
PO,2021-12-07,589,pontevedra,11.0,4.2,31.4,108
PO,2021-12-08,484,pontevedra,8.8,2.2,9.8,108
PO,2021-12-09,528,pontevedra,10.6,1.7,11.4,108
PO,2021-12-10,609,pontevedra,12.7,3.1,1.3,108
PO,2021-12-11,510,pontevedra,12.0,0.6,0.6,108
PO,2021-12-12,534,pontevedra,10.6,0.8,0.0,108
PO,2021-12-13,485,pontevedra,13.0,1.4,0.0,108
PO,2021-12-14,605,pontevedra,12.4,1.4,0.0,108
PO,2021-12-15,693,pontevedra,11.4,1.1,0.0,108
PO,2021-12-16,665,pontevedra,11.4,0.6,0.0,108
PO,2021-12-17,718,pontevedra,10.4,1.9,0.0,108
PO,2021-12-18,716,pontevedra,9.9,1.7,0.0,108
PO,2021-12-19,872,pontevedra,10.4,1.4,0.0,108
PO,2021-12-20,1022,pontevedra,13.4,1.9,6.4,108
PO,2021-12-21,1061,pontevedra,16.0,2.5,0.0,108
PO,2021-12-22,1136,pontevedra,15.5,2.8,23.4,108
PO,2021-12-23,1344,pontevedra,14.7,1.4,3.4,108
PO,2021-12-24,1122,pontevedra,12.6,3.3,34.8,108
PO,2021-12-25,1593,pontevedra,13.6,1.4,3.0,108
PO,2021-12-26,1586,pontevedra,14.0,1.9,18.0,108
PO,2021-12-27,2142,pontevedra,14.6,3.9,7.8,108
PO,2021-12-28,2520,pontevedra,15.9,2.5,4.8,108
PO,2021-12-29,2654,pontevedra,15.0,1.9,1.2,108
PO,2021-12-30,1972,pontevedra,13.5,1.4,0.0,108
PO,2021-12-31,2234,pontevedra,15.8,2.8,0.0,108
PO,2022-01-01,2280,pontevedra,19.0,4.2,7.6,108
PO,2022-01-02,2497,pontevedra,13.9,1.9,0.0,108
PO,2022-01-03,2609,pontevedra,12.6,2.5,20.0,108
PO,2022-01-04,2554,pontevedra,11.0,1.9,7.4,108
PO,2022-01-05,2867,pontevedra,9.4,1.1,16.2,108
PO,2022-01-06,2698,pontevedra,9.0,1.1,0.6,108
PO,2022-01-07,2563,pontevedra,9.6,1.7,0.0,108
PO,2022-01-08,3097,pontevedra,7.3,1.1,16.6,108
PO,2022-01-09,3045,pontevedra,12.4,3.3,13.8,108
PO,2022-01-10,3172,pontevedra,11.8,0.8,0.6,108
PO,2022-01-11,2765,pontevedra,12.0,1.4,0.0,108
PO,2022-01-12,2300,pontevedra,12.4,1.4,0.0,108
PO,2022-01-13,2201,pontevedra,9.9,1.7,0.0,108
PO,2022-01-14,1870,pontevedra,8.6,1.4,0.0,108
PO,2022-01-15,2449,pontevedra,7.5,1.9,0.0,108
PO,2022-01-16,2403,pontevedra,12.0,1.7,0.4,108
