provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SA,2021-11-02,20,salamanca,9.7,3.1,7.6,775
SA,2021-11-03,12,salamanca,7.8,2.5,0.0,775
SA,2021-11-04,6,salamanca,7.6,1.1,0.0,775
SA,2021-11-05,0,salamanca,6.4,1.1,0.0,775
SA,2021-11-06,7,salamanca,7.0,1.9,0.0,775
SA,2021-11-07,18,salamanca,6.1,1.4,0.0,775
SA,2021-11-08,19,salamanca,9.7,1.1,0.0,775
SA,2021-11-09,16,salamanca,10.0,1.1,0.0,775
SA,2021-11-10,17,salamanca,8.4,0.0,0.0,775
SA,2021-11-11,7,salamanca,8.3,0.8,0.0,775
SA,2021-11-12,11,salamanca,7.9,0.8,0.0,775
SA,2021-11-13,28,salamanca,7.6,1.4,0.0,775
SA,2021-11-14,39,salamanca,7.9,1.1,0.0,775
SA,2021-11-15,43,salamanca,6.8,1.7,0.0,775
SA,2021-11-16,55,salamanca,6.2,1.1,0.0,775
SA,2021-11-17,87,salamanca,7.2,2.8,0.0,775
SA,2021-11-18,35,salamanca,6.6,1.9,0.0,775
SA,2021-11-19,23,salamanca,10.1,2.2,0.0,775
SA,2021-11-20,50,salamanca,11.0,0.6,0.0,775
SA,2021-11-21,83,salamanca,11.0,0.6,0.0,775
SA,2021-11-22,45,salamanca,4.4,1.4,12.4,775
SA,2021-11-23,95,salamanca,2.7,1.4,5.1,775
SA,2021-11-24,83,salamanca,5.6,1.7,3.3,775
SA,2021-11-25,68,salamanca,6.2,0.6,0.0,775
SA,2021-11-26,55,salamanca,5.1,0.6,0.0,775
SA,2021-11-27,50,salamanca,4.6,3.3,0.0,775
SA,2021-11-28,121,salamanca,3.6,3.6,0.0,775
SA,2021-11-29,84,salamanca,7.2,2.5,0.0,775
SA,2021-11-30,123,salamanca,6.0,0.8,0.0,775
SA,2021-12-01,93,salamanca,5.0,2.8,0.0,775
SA,2021-12-02,93,salamanca,5.4,1.4,0.0,775
SA,2021-12-03,63,salamanca,6.2,1.4,0.0,775
SA,2021-12-04,37,salamanca,10.1,3.1,0.0,775
SA,2021-12-05,157,salamanca,7.4,3.9,0.0,775
SA,2021-12-06,47,salamanca,7.0,2.2,0.0,775
SA,2021-12-07,130,salamanca,9.6,5.3,0.0,775
SA,2021-12-08,162,salamanca,5.7,3.6,0.0,775
SA,2021-12-09,73,salamanca,7.2,3.9,0.0,775
SA,2021-12-10,63,salamanca,10.8,4.2,0.0,775
SA,2021-12-11,127,salamanca,7.1,1.4,0.0,775
SA,2021-12-12,219,salamanca,5.6,1.1,0.0,775
SA,2021-12-13,215,salamanca,4.7,1.1,0.0,775
SA,2021-12-14,114,salamanca,2.7,1.4,0.0,775
SA,2021-12-15,304,salamanca,3.4,0.8,0.0,775
SA,2021-12-16,187,salamanca,6.8,1.7,0.0,775
SA,2021-12-17,114,salamanca,9.0,0.3,0.0,775
SA,2021-12-18,259,salamanca,5.5,0.8,0.0,775
SA,2021-12-19,552,salamanca,6.0,0.6,0.0,775
SA,2021-12-20,610,salamanca,5.4,0.8,0.0,775
SA,2021-12-21,932,salamanca,12.4,1.1,0.0,775
SA,2021-12-22,670,salamanca,10.4,1.7,0.0,775
SA,2021-12-23,511,salamanca,9.7,1.1,3.0,775
SA,2021-12-24,586,salamanca,10.0,2.8,0.0,775
SA,2021-12-25,700,salamanca,9.8,0.8,4.3,775
SA,2021-12-26,1201,salamanca,10.8,3.1,9.3,775
SA,2021-12-27,1308,salamanca,12.0,4.4,0.0,775
SA,2021-12-28,1171,salamanca,11.7,3.6,0.0,775
SA,2021-12-29,882,salamanca,11.5,0.6,0.0,775
SA,2021-12-30,332,salamanca,10.0,1.1,0.0,775
SA,2021-12-31,769,salamanca,11.2,0.6,0.0,775
SA,2022-01-01,1078,salamanca,12.2,0.8,0.0,775
SA,2022-01-02,1470,salamanca,12.0,0.3,0.0,775
SA,2022-01-03,1393,salamanca,11.0,1.9,0.0,775
SA,2022-01-04,440,salamanca,7.4,4.4,1.5,775
SA,2022-01-05,1343,salamanca,5.2,2.5,1.6,775
SA,2022-01-06,462,salamanca,4.9,0.8,0.0,775
SA,2022-01-07,533,salamanca,5.2,0.8,0.0,775
SA,2022-01-08,1499,salamanca,3.6,2.5,0.0,775
SA,2022-01-09,1496,salamanca,7.8,3.9,0.0,775
SA,2022-01-10,1153,salamanca,10.0,1.4,0.0,775
SA,2022-01-11,1252,salamanca,6.9,1.7,0.0,775
SA,2022-01-12,955,salamanca,5.2,1.9,0.0,775
SA,2022-01-13,448,salamanca,4.6,1.1,0.0,775
SA,2022-01-14,511,salamanca,4.4,1.1,0.0,775
SA,2022-01-15,1036,salamanca,4.0,0.8,0.0,775
SA,2022-01-16,967,salamanca,4.8,0.8,0.0,775
SA,2022-01-17,669,salamanca,4.4,1.4,0.0,775
SA,2022-01-18,805,salamanca,4.6,1.1,0.0,775
SA,2022-01-19,769,salamanca,4.6,1.1,0.0,775
SA,2022-01-20,394,salamanca,4.3,1.4,0.0,775
SA,2022-01-21,402,salamanca,3.2,1.9,0.0,775
SA,2022-01-22,779,salamanca,3.7,1.1,0.0,775
SA,2022-01-23,731,salamanca,4.0,0.6,0.0,775
SA,2022-01-24,766,salamanca,4.2,1.1,0.0,775
SA,2022-01-25,736,salamanca,5.1,1.4,0.0,775
SA,2022-01-26,645,salamanca,6.0,1.9,0.0,775
SA,2022-01-27,362,salamanca,6.7,1.4,0.0,775
SA,2022-01-28,372,salamanca,6.0,1.7,0.0,775
SA,2022-01-29,793,salamanca,6.4,1.1,0.0,775
SA,2022-01-30,569,salamanca,6.6,0.3,0.0,775
SA,2022-01-31,562,salamanca,5.2,1.9,0.0,775
SA,2022-02-01,572,salamanca,5.6,1.9,0.0,775
SA,2022-02-02,436,salamanca,8.7,0.6,0.0,775
SA,2022-02-03,255,salamanca,8.8,1.4,0.0,775
SA,2022-02-04,299,salamanca,7.2,1.1,0.0,775
SA,2022-02-05,451,salamanca,7.0,2.5,0.0,775
SA,2022-02-06,358,salamanca,4.0,1.1,0.0,775
SA,2022-02-07,24,salamanca,6.8,1.7,0.0,775
