provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TF,2021-11-02,52,santaCruzDeTenerife,20.5,3.6,0.0,115
TF,2021-11-03,57,santaCruzDeTenerife,21.2,3.6,0.0,115
TF,2021-11-04,51,santaCruzDeTenerife,22.2,4.4,0.0,115
TF,2021-11-05,36,santaCruzDeTenerife,20.8,6.9,0.0,115
TF,2021-11-06,79,santaCruzDeTenerife,21.0,7.8,0.0,115
TF,2021-11-07,74,santaCruzDeTenerife,20.2,7.2,0.0,115
TF,2021-11-08,84,santaCruzDeTenerife,19.6,6.7,0.0,115
TF,2021-11-09,115,santaCruzDeTenerife,19.1,5.3,0.0,115
TF,2021-11-10,94,santaCruzDeTenerife,19.2,3.9,0.0,115
TF,2021-11-11,71,santaCruzDeTenerife,19.5,3.3,0.0,115
TF,2021-11-12,77,santaCruzDeTenerife,19.8,5.0,0.0,115
TF,2021-11-13,75,santaCruzDeTenerife,19.6,5.3,0.0,115
TF,2021-11-14,119,santaCruzDeTenerife,19.0,4.4,0.0,115
TF,2021-11-15,97,santaCruzDeTenerife,19.4,3.6,0.0,115
TF,2021-11-16,133,santaCruzDeTenerife,18.8,4.4,0.0,115
TF,2021-11-17,120,santaCruzDeTenerife,19.6,7.2,0.0,115
TF,2021-11-18,114,santaCruzDeTenerife,18.2,2.8,0.0,115
TF,2021-11-19,85,santaCruzDeTenerife,17.9,2.8,12.6,115
TF,2021-11-20,119,santaCruzDeTenerife,18.2,2.5,0.0,115
TF,2021-11-21,111,santaCruzDeTenerife,17.8,3.9,0.0,115
TF,2021-11-22,146,santaCruzDeTenerife,20.5,2.2,0.0,115
TF,2021-11-23,152,santaCruzDeTenerife,19.7,1.9,0.0,115
TF,2021-11-24,124,santaCruzDeTenerife,19.4,3.1,1.4,115
TF,2021-11-25,139,santaCruzDeTenerife,17.2,3.6,12.0,115
TF,2021-11-26,116,santaCruzDeTenerife,16.6,4.2,4.2,115
TF,2021-11-27,159,santaCruzDeTenerife,18.4,7.8,0.0,115
TF,2021-11-28,144,santaCruzDeTenerife,19.5,8.9,0.0,115
TF,2021-11-29,170,santaCruzDeTenerife,18.5,6.7,0.2,115
TF,2021-11-30,200,santaCruzDeTenerife,18.7,4.7,3.4,115
TF,2021-12-01,160,santaCruzDeTenerife,17.6,2.8,4.6,115
TF,2021-12-02,124,santaCruzDeTenerife,18.7,8.3,0.2,115
TF,2021-12-03,123,santaCruzDeTenerife,18.6,6.4,0.2,115
TF,2021-12-04,111,santaCruzDeTenerife,18.5,4.2,0.0,115
TF,2021-12-05,129,santaCruzDeTenerife,18.2,5.6,0.0,115
TF,2021-12-06,174,santaCruzDeTenerife,18.8,6.1,0.0,115
TF,2021-12-07,204,santaCruzDeTenerife,17.8,2.8,0.2,115
TF,2021-12-08,285,santaCruzDeTenerife,17.8,6.4,0.0,115
TF,2021-12-09,273,santaCruzDeTenerife,18.4,7.5,0.0,115
TF,2021-12-10,285,santaCruzDeTenerife,18.8,6.4,0.0,115
TF,2021-12-11,426,santaCruzDeTenerife,18.0,6.1,0.0,115
TF,2021-12-12,776,santaCruzDeTenerife,18.0,4.7,0.0,115
TF,2021-12-13,1010,santaCruzDeTenerife,16.8,3.3,0.0,115
TF,2021-12-14,1125,santaCruzDeTenerife,17.5,2.5,0.0,115
TF,2021-12-15,1183,santaCruzDeTenerife,16.9,2.5,0.0,115
TF,2021-12-16,886,santaCruzDeTenerife,16.5,2.5,0.0,115
TF,2021-12-17,759,santaCruzDeTenerife,15.8,2.8,0.0,115
TF,2021-12-18,1454,santaCruzDeTenerife,15.9,1.9,0.0,115
TF,2021-12-19,1675,santaCruzDeTenerife,17.8,2.8,0.0,115
TF,2021-12-20,1875,santaCruzDeTenerife,19.2,4.7,0.0,115
TF,2021-12-21,1984,santaCruzDeTenerife,18.4,2.2,0.0,115
