provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SG,2021-11-02,15,segovia,2.0,4.2,19.8,1798
SG,2021-11-03,19,segovia,-1.4,4.2,4.0,1798
SG,2021-11-04,6,segovia,-1.8,5.3,0.4,1798
SG,2021-11-05,3,segovia,-2.8,4.7,1.6,1798
SG,2021-11-06,22,segovia,-3.1,3.1,0.8,1798
SG,2021-11-07,10,segovia,-1.6,1.1,0.0,1798
SG,2021-11-08,15,segovia,3.0,2.2,0.0,1798
SG,2021-11-09,8,segovia,4.2,1.9,0.0,1798
SG,2021-11-10,16,segovia,4.7,2.2,0.0,1798
SG,2021-11-11,2,segovia,5.2,2.5,0.0,1798
SG,2021-11-12,8,segovia,6.3,2.2,0.0,1798
SG,2021-11-13,11,segovia,6.6,1.4,0.0,1798
SG,2021-11-14,11,segovia,4.1,2.2,0.0,1798
SG,2021-11-15,11,segovia,-0.2,4.4,0.0,1798
SG,2021-11-16,16,segovia,1.5,0.8,0.0,1798
SG,2021-11-17,19,segovia,2.6,1.4,0.0,1798
SG,2021-11-18,10,segovia,5.2,3.9,0.0,1798
SG,2021-11-19,13,segovia,2.6,10.8,0.0,1798
SG,2021-11-20,21,segovia,3.0,7.8,0.6,1798
SG,2021-11-21,19,segovia,3.4,1.4,4.0,1798
SG,2021-11-22,24,segovia,-0.1,1.7,14.6,1798
SG,2021-11-23,10,segovia,-3.1,3.9,5.8,1798
SG,2021-11-24,22,segovia,-2.8,1.4,3.4,1798
SG,2021-11-25,15,segovia,-3.0,6.7,0.2,1798
SG,2021-11-26,13,segovia,-3.2,5.0,0.0,1798
SG,2021-11-27,25,segovia,-4.4,3.9,0.0,1798
SG,2021-11-28,23,segovia,-3.8,3.3,0.0,1798
SG,2021-11-29,25,segovia,0.0,3.6,0.0,1798
SG,2021-11-30,41,segovia,0.5,3.3,0.0,1798
SG,2021-12-01,25,segovia,0.0,2.5,17.8,1798
SG,2021-12-02,16,segovia,-3.4,7.2,0.0,1798
SG,2021-12-03,21,segovia,-1.8,2.5,0.6,1798
SG,2021-12-04,13,segovia,0.6,4.4,8.8,1798
SG,2021-12-05,36,segovia,-2.2,5.3,5.6,1798
SG,2021-12-06,10,segovia,0.3,3.1,2.2,1798
SG,2021-12-07,54,segovia,2.4,5.6,14.8,1798
SG,2021-12-08,40,segovia,-2.7,6.7,0.0,1798
SG,2021-12-09,26,segovia,-0.8,5.8,7.2,1798
SG,2021-12-10,61,segovia,1.6,5.8,1.4,1798
SG,2021-12-11,79,segovia,1.8,2.2,0.0,1798
SG,2021-12-12,114,segovia,5.0,2.8,0.0,1798
SG,2021-12-13,138,segovia,8.2,6.4,0.0,1798
SG,2021-12-14,238,segovia,9.0,4.2,0.0,1798
SG,2021-12-15,194,segovia,8.2,6.4,0.0,1798
SG,2021-12-16,104,segovia,6.2,8.9,0.0,1798
SG,2021-12-17,170,segovia,4.2,9.7,0.0,1798
SG,2021-12-18,265,segovia,3.1,3.9,0.0,1798
SG,2021-12-19,328,segovia,2.4,7.5,0.0,1798
SG,2021-12-20,409,segovia,4.6,2.5,0.2,1798
SG,2021-12-21,401,segovia,5.0,3.6,1.2,1798
SG,2021-12-22,315,segovia,4.6,6.7,0.2,1798
SG,2021-12-23,271,segovia,4.0,10.6,1.8,1798
SG,2021-12-24,287,segovia,3.3,9.2,0.8,1798
SG,2021-12-25,522,segovia,2.4,5.8,21.8,1798
SG,2021-12-26,509,segovia,4.1,4.2,29.2,1798
SG,2021-12-27,556,segovia,3.8,5.6,0.0,1798
SG,2021-12-28,568,segovia,3.0,4.2,0.4,1798
SG,2021-12-29,319,segovia,5.7,3.6,0.0,1798
SG,2021-12-30,335,segovia,11.1,5.0,0.0,1798
SG,2021-12-31,431,segovia,11.2,5.8,0.0,1798
SG,2022-01-01,602,segovia,10.1,6.4,0.0,1798
SG,2022-01-02,679,segovia,9.0,4.4,0.0,1798
SG,2022-01-03,743,segovia,7.2,3.6,0.0,1798
SG,2022-01-04,323,segovia,2.4,6.4,9.8,1798
SG,2022-01-05,752,segovia,-3.2,2.2,0.0,1798
SG,2022-01-06,365,segovia,-5.7,1.7,0.0,1798
SG,2022-01-07,442,segovia,-4.3,2.5,0.0,1798
SG,2022-01-08,718,segovia,-1.9,3.9,0.0,1798
SG,2022-01-09,663,segovia,0.6,6.1,3.8,1798
SG,2022-01-10,463,segovia,2.5,4.4,2.6,1798
SG,2022-01-11,522,segovia,1.0,2.2,0.0,1798
SG,2022-01-12,605,segovia,2.0,3.6,0.0,1798
SG,2022-01-13,407,segovia,0.4,6.4,0.0,1798
SG,2022-01-14,250,segovia,-1.0,5.6,0.0,1798
SG,2022-01-15,415,segovia,-2.0,2.5,0.0,1798
SG,2022-01-16,454,segovia,0.0,0.6,0.2,1798
SG,2022-01-17,294,segovia,3.0,1.9,0.0,1798
SG,2022-01-18,298,segovia,4.5,1.7,0.0,1798
SG,2022-01-19,362,segovia,3.2,1.7,0.0,1798
SG,2022-01-20,282,segovia,-0.8,2.2,0.0,1798
SG,2022-01-21,242,segovia,-2.4,1.7,2.2,1798
SG,2022-01-22,369,segovia,1.5,0.6,0.8,1798
SG,2022-01-23,297,segovia,2.2,4.7,0.0,1798
SG,2022-01-24,303,segovia,0.0,8.1,0.0,1798
SG,2022-01-25,243,segovia,-0.8,9.2,0.0,1798
SG,2022-01-26,213,segovia,1.2,7.8,0.0,1798
SG,2022-01-27,164,segovia,2.8,4.7,0.0,1798
SG,2022-01-28,165,segovia,4.8,5.3,0.0,1798
SG,2022-01-29,155,segovia,6.1,6.1,0.0,1798
SG,2022-01-30,195,segovia,6.0,3.1,0.0,1798
SG,2022-02-01,154,segovia,4.2,2.8,0.0,1798
