provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SE,2021-11-02,50,sevilla,11.7,2.2,0.9,550
SE,2021-11-03,52,sevilla,10.4,2.8,0.0,550
SE,2021-11-04,34,sevilla,8.0,1.1,0.0,550
SE,2021-11-07,43,sevilla,8.8,1.1,0.0,550
SE,2021-11-08,40,sevilla,11.0,1.1,0.0,550
SE,2021-11-09,74,sevilla,11.9,1.7,0.0,550
SE,2021-11-10,52,sevilla,10.7,0.8,0.0,550
SE,2021-11-11,45,sevilla,10.9,1.1,0.0,550
SE,2021-11-12,48,sevilla,10.7,1.4,0.1,550
SE,2021-11-13,78,sevilla,12.4,1.4,0.0,550
SE,2021-11-14,85,sevilla,12.9,1.4,0.0,550
SE,2021-11-15,127,sevilla,11.2,1.7,0.0,550
SE,2021-11-16,173,sevilla,9.6,1.4,0.0,550
SE,2021-11-17,148,sevilla,10.1,1.1,0.0,550
SE,2021-11-18,128,sevilla,10.8,1.4,0.0,550
SE,2021-11-19,111,sevilla,13.1,2.5,0.3,550
SE,2021-11-20,127,sevilla,13.2,1.4,1.1,550
SE,2021-11-21,129,sevilla,11.4,0.3,0.0,550
SE,2021-11-22,170,sevilla,8.2,2.5,0.1,550
SE,2021-11-23,229,sevilla,5.1,1.1,5.1,550
SE,2021-11-24,249,sevilla,6.1,1.4,0.0,550
SE,2021-11-25,171,sevilla,6.4,1.1,5.4,550
SE,2021-11-26,164,sevilla,7.0,1.4,0.0,550
SE,2021-11-27,164,sevilla,5.5,3.1,0.1,550
SE,2021-11-28,125,sevilla,5.8,2.8,0.0,550
SE,2021-11-29,246,sevilla,8.8,2.2,0.0,550
SE,2021-11-30,332,sevilla,7.4,0.8,0.0,550
SE,2021-12-01,276,sevilla,7.0,1.9,0.3,550
SE,2021-12-02,338,sevilla,7.7,3.3,0.1,550
SE,2021-12-03,365,sevilla,6.3,1.1,0.0,550
SE,2021-12-04,240,sevilla,7.1,2.5,0.0,550
SE,2021-12-05,185,sevilla,8.4,4.4,0.0,550
SE,2021-12-06,177,sevilla,7.8,1.1,0.0,550
SE,2021-12-07,416,sevilla,9.4,1.4,2.6,550
SE,2021-12-08,267,sevilla,8.8,3.6,0.1,550
SE,2021-12-09,481,sevilla,8.3,3.3,0.0,550
SE,2021-12-10,335,sevilla,10.9,3.9,0.1,550
SE,2021-12-11,503,sevilla,12.0,0.6,0.0,550
SE,2021-12-12,418,sevilla,12.6,1.4,0.0,550
SE,2021-12-13,836,sevilla,11.0,1.4,0.0,550
SE,2021-12-14,886,sevilla,11.2,1.1,0.0,550
SE,2021-12-15,1196,sevilla,8.2,1.4,0.0,550
SE,2021-12-16,1288,sevilla,8.4,2.5,0.0,550
SE,2021-12-17,1390,sevilla,8.8,2.5,0.0,550
SE,2021-12-18,755,sevilla,8.4,2.2,0.0,550
SE,2021-12-19,852,sevilla,11.0,2.8,0.0,550
SE,2021-12-20,1559,sevilla,11.4,1.7,5.1,550
SE,2021-12-21,1997,sevilla,13.2,2.2,36.5,550
SE,2021-12-22,2431,sevilla,10.4,1.1,22.6,550
SE,2021-12-23,2342,sevilla,11.8,1.7,67.0,550
SE,2021-12-24,2090,sevilla,11.0,1.9,40.8,550
SE,2021-12-25,1229,sevilla,12.0,3.1,21.4,550
SE,2021-12-26,1123,sevilla,12.0,2.5,4.7,550
SE,2021-12-27,2451,sevilla,15.2,2.8,1.2,550
SE,2021-12-28,3026,sevilla,11.5,1.4,0.1,550
SE,2021-12-29,3578,sevilla,12.0,1.1,0.1,550
SE,2021-12-30,3453,sevilla,12.1,1.4,0.0,550
SE,2021-12-31,2774,sevilla,14.1,1.4,0.0,550
SE,2022-01-01,1097,sevilla,13.9,1.7,0.0,550
SE,2022-01-02,1060,sevilla,13.4,1.7,0.0,550
SE,2022-01-03,2119,sevilla,14.0,1.1,0.0,550
