provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TE,2021-11-02,17,teruel,12.2,1.9,3.2,334
TE,2021-11-03,17,teruel,9.3,3.9,0.0,334
TE,2021-11-04,4,teruel,8.0,2.2,0.0,334
TE,2021-11-05,8,teruel,8.8,4.2,0.0,334
TE,2021-11-06,9,teruel,7.2,3.3,0.0,334
TE,2021-11-07,19,teruel,8.6,4.4,0.0,334
TE,2021-11-08,23,teruel,12.3,5.3,0.0,334
TE,2021-11-09,19,teruel,9.6,1.7,0.0,334
TE,2021-11-10,12,teruel,10.2,0.8,0.4,334
TE,2021-11-11,18,teruel,9.0,1.4,1.4,334
TE,2021-11-12,17,teruel,10.0,0.8,0.0,334
TE,2021-11-13,25,teruel,11.4,1.7,0.0,334
TE,2021-11-14,27,teruel,13.2,4.2,0.0,334
TE,2021-11-15,35,teruel,10.2,3.9,0.0,334
TE,2021-11-16,30,teruel,9.2,3.3,0.0,334
TE,2021-11-17,34,teruel,7.8,1.9,0.0,334
TE,2021-11-18,21,teruel,7.3,0.6,0.0,334
TE,2021-11-19,23,teruel,6.6,1.4,0.0,334
TE,2021-11-20,41,teruel,6.0,0.6,0.0,334
TE,2021-11-21,37,teruel,8.4,1.9,0.0,334
TE,2021-11-22,30,teruel,7.6,0.8,18.4,334
TE,2021-11-23,40,teruel,5.8,2.2,19.0,334
TE,2021-11-24,37,teruel,4.0,2.8,16.6,334
TE,2021-11-25,32,teruel,6.9,3.3,0.0,334
TE,2021-11-26,31,teruel,7.6,5.0,0.0,334
TE,2021-11-27,37,teruel,6.4,5.0,0.6,334
TE,2021-11-28,39,teruel,5.1,6.1,2.0,334
TE,2021-11-29,53,teruel,9.4,6.1,0.0,334
TE,2021-11-30,68,teruel,8.9,1.9,0.0,334
TE,2021-12-01,68,teruel,8.7,3.1,0.6,334
TE,2021-12-02,57,teruel,7.4,6.4,0.0,334
TE,2021-12-03,47,teruel,9.3,5.6,0.0,334
TE,2021-12-04,45,teruel,9.4,3.6,0.0,334
TE,2021-12-05,57,teruel,6.7,5.6,0.4,334
TE,2021-12-06,59,teruel,9.6,4.4,0.0,334
TE,2021-12-07,58,teruel,10.4,0.8,1.2,334
TE,2021-12-08,87,teruel,7.4,5.8,0.0,334
TE,2021-12-09,74,teruel,7.8,2.2,0.2,334
TE,2021-12-10,88,teruel,12.2,5.6,1.2,334
TE,2021-12-11,71,teruel,12.2,7.2,0.0,334
TE,2021-12-12,101,teruel,9.5,1.1,0.0,334
TE,2021-12-13,79,teruel,6.2,0.6,0.0,334
TE,2021-12-14,95,teruel,3.0,1.1,0.0,334
TE,2021-12-15,91,teruel,1.8,0.8,0.0,334
TE,2021-12-16,73,teruel,1.4,1.1,0.0,334
TE,2021-12-17,99,teruel,0.8,1.4,0.0,334
TE,2021-12-18,87,teruel,2.3,0.8,0.0,334
TE,2021-12-19,128,teruel,1.6,0.3,0.0,334
TE,2021-12-20,119,teruel,0.6,0.8,0.0,334
TE,2021-12-21,151,teruel,4.6,0.8,0.0,334
TE,2021-12-22,145,teruel,3.8,1.1,0.0,334
TE,2021-12-23,130,teruel,7.2,1.7,0.0,334
TE,2021-12-24,112,teruel,7.2,0.8,3.6,334
TE,2021-12-25,226,teruel,11.4,0.8,0.2,334
TE,2021-12-26,302,teruel,10.4,1.1,0.4,334
TE,2021-12-27,374,teruel,12.5,3.1,0.2,334
TE,2021-12-28,381,teruel,13.1,4.7,0.0,334
