provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TO,2021-11-02,40,toledo,10.4,3.1,2.2,690
TO,2021-11-03,33,toledo,8.2,3.6,0.0,690
TO,2021-11-04,37,toledo,6.7,3.9,1.0,690
TO,2021-11-05,26,toledo,5.8,4.2,0.0,690
TO,2021-11-06,43,toledo,6.0,3.3,0.0,690
TO,2021-11-07,40,toledo,6.0,3.1,0.0,690
TO,2021-11-08,65,toledo,9.4,4.2,0.0,690
TO,2021-11-09,42,toledo,8.1,2.8,0.0,690
TO,2021-11-10,77,toledo,8.2,1.4,0.0,690
TO,2021-11-11,27,toledo,9.2,0.8,0.0,690
TO,2021-11-12,38,toledo,8.4,1.4,0.0,690
TO,2021-11-13,63,toledo,8.7,2.5,0.0,690
TO,2021-11-14,31,toledo,9.6,3.1,0.0,690
TO,2021-11-15,63,toledo,7.9,3.1,0.0,690
TO,2021-11-16,49,toledo,6.4,2.8,0.0,690
TO,2021-11-17,54,toledo,6.4,2.2,0.0,690
TO,2021-11-18,55,toledo,6.5,3.9,0.0,690
TO,2021-11-19,37,toledo,9.5,6.4,0.0,690
TO,2021-11-20,59,toledo,10.4,5.0,0.0,690
TO,2021-11-21,84,toledo,9.6,1.1,0.8,690
TO,2021-11-22,72,toledo,8.5,3.6,1.4,690
TO,2021-11-23,85,toledo,4.0,2.5,5.4,690
TO,2021-11-24,90,toledo,3.6,2.5,0.8,690
TO,2021-11-25,38,toledo,5.4,2.2,0.0,690
TO,2021-11-26,36,toledo,5.5,3.3,0.0,690
TO,2021-11-30,104,toledo,6.9,1.1,0.0,690
TO,2021-12-01,110,toledo,5.4,2.8,5.2,690
TO,2021-12-02,63,toledo,5.0,5.0,0.0,690
TO,2021-12-03,68,toledo,5.3,3.1,0.0,690
TO,2021-12-04,46,toledo,6.7,3.3,0.0,690
TO,2021-12-05,57,toledo,6.2,6.1,0.2,690
TO,2021-12-06,54,toledo,7.1,2.8,0.0,690
TO,2021-12-07,128,toledo,7.2,4.4,0.0,690
TO,2021-12-10,68,toledo,9.0,7.5,0.0,690
TO,2021-12-11,152,toledo,9.8,2.8,0.0,690
TO,2021-12-12,219,toledo,7.2,1.1,0.0,690
TO,2021-12-13,288,toledo,2.8,1.4,0.2,690
TO,2021-12-14,318,toledo,6.5,1.9,0.2,690
TO,2021-12-15,365,toledo,6.2,2.8,0.0,690
TO,2021-12-16,281,toledo,6.0,5.3,0.0,690
TO,2021-12-17,222,toledo,4.2,2.5,0.0,690
TO,2021-12-18,552,toledo,3.6,3.1,0.2,690
TO,2021-12-19,659,toledo,5.9,2.5,0.2,690
TO,2021-12-20,748,toledo,5.2,0.8,0.0,690
TO,2021-12-21,747,toledo,9.4,0.8,0.2,690
TO,2021-12-22,919,toledo,10.0,2.5,0.2,690
TO,2021-12-26,1332,toledo,10.5,2.8,1.6,690
TO,2021-12-27,1719,toledo,12.4,5.8,0.0,690
TO,2021-12-28,1974,toledo,10.8,2.2,0.0,690
TO,2021-12-29,1916,toledo,8.2,1.7,0.2,690
TO,2021-12-30,2070,toledo,8.2,0.8,0.2,690
TO,2021-12-31,1454,toledo,8.2,0.8,0.2,690
TO,2022-01-01,882,toledo,8.9,1.4,0.0,690
TO,2022-01-02,1509,toledo,8.2,0.6,0.0,690
TO,2022-01-03,1858,toledo,8.8,0.8,0.0,690
TO,2022-01-04,2342,toledo,9.8,6.1,1.8,690
TO,2022-01-05,2330,toledo,5.2,2.8,0.4,690
TO,2022-01-08,1012,toledo,3.1,1.7,0.0,690
TO,2022-01-09,941,toledo,6.7,1.7,0.0,690
TO,2022-01-10,1535,toledo,9.1,4.4,0.0,690
TO,2022-01-20,1253,toledo,3.4,4.2,0.0,690
TO,2022-01-21,871,toledo,2.0,2.8,0.0,690
TO,2022-01-22,889,toledo,2.4,2.2,0.0,690
TO,2022-01-23,714,toledo,3.8,2.8,0.0,690
TO,2022-01-24,1298,toledo,3.3,3.3,0.2,690
TO,2022-01-25,1468,toledo,5.2,4.7,0.0,690
TO,2022-01-26,1341,toledo,5.0,4.4,0.0,690
TO,2022-01-27,886,toledo,5.2,3.6,0.0,690
TO,2022-01-28,693,toledo,4.8,3.6,0.0,690
TO,2022-01-29,740,toledo,4.4,3.6,0.0,690
TO,2022-01-30,589,toledo,6.0,1.7,0.0,690
TO,2022-01-31,766,toledo,6.8,3.1,0.0,690
TO,2022-02-03,363,toledo,9.4,1.7,0.0,690
TO,2022-02-04,375,toledo,9.7,1.4,0.0,690
TO,2022-02-05,326,toledo,8.0,1.7,0.0,690
TO,2022-02-06,104,toledo,7.3,2.5,0.0,690
TO,2022-02-07,206,toledo,6.8,3.6,0.0,690
