provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
Z,2021-11-02,87,zamora,9.0,3.9,0.4,715
Z,2021-11-03,128,zamora,7.7,3.6,0.0,715
Z,2021-11-04,68,zamora,6.8,3.1,0.0,715
Z,2021-11-05,49,zamora,6.0,2.8,0.0,715
Z,2021-11-06,88,zamora,5.6,1.7,0.0,715
Z,2021-11-07,86,zamora,6.0,1.1,0.0,715
Z,2021-11-08,83,zamora,9.6,1.1,0.0,715
Z,2021-11-09,128,zamora,9.6,1.4,0.0,715
Z,2021-11-10,141,zamora,8.2,1.1,0.0,715
Z,2021-11-11,87,zamora,7.2,0.8,0.0,715
Z,2021-11-12,52,zamora,7.2,1.7,0.0,715
Z,2021-11-13,114,zamora,5.2,1.1,0.0,715
Z,2021-11-14,140,zamora,2.2,1.1,0.0,715
Z,2021-11-15,160,zamora,6.6,0.8,0.0,715
Z,2021-11-16,161,zamora,6.2,1.1,0.0,715
Z,2021-11-17,195,zamora,6.6,2.8,0.0,715
Z,2021-11-18,190,zamora,5.6,2.8,0.0,715
Z,2021-11-19,90,zamora,6.0,1.7,0.0,715
Z,2021-11-20,189,zamora,6.7,1.4,0.0,715
Z,2021-11-21,225,zamora,8.2,1.4,0.0,715
Z,2021-11-22,263,zamora,6.5,2.8,7.0,715
Z,2021-11-23,304,zamora,6.4,2.5,5.4,715
Z,2021-11-24,292,zamora,6.8,1.7,16.4,715
Z,2021-11-25,274,zamora,6.4,1.7,0.0,715
Z,2021-11-26,199,zamora,5.6,3.1,0.0,715
Z,2021-11-27,279,zamora,3.7,4.4,0.0,715
Z,2021-11-28,359,zamora,5.3,3.3,0.0,715
Z,2021-11-29,455,zamora,7.4,4.2,0.0,715
Z,2021-11-30,461,zamora,5.6,1.1,0.0,715
Z,2021-12-01,501,zamora,4.9,2.2,2.2,715
Z,2021-12-02,440,zamora,6.2,3.6,0.0,715
Z,2021-12-03,334,zamora,6.1,1.4,0.0,715
Z,2021-12-04,216,zamora,8.4,3.3,0.0,715
Z,2021-12-05,371,zamora,7.2,4.4,0.0,715
Z,2021-12-06,417,zamora,8.2,2.5,0.4,715
Z,2021-12-07,454,zamora,8.4,4.2,3.8,715
Z,2021-12-08,808,zamora,4.7,3.9,0.2,715
Z,2021-12-09,489,zamora,8.3,1.7,0.0,715
Z,2021-12-10,525,zamora,10.2,4.7,0.0,715
Z,2021-12-11,544,zamora,10.0,1.7,0.0,715
Z,2021-12-12,673,zamora,6.0,0.3,0.0,715
Z,2021-12-13,740,zamora,6.7,0.8,0.0,715
Z,2021-12-14,900,zamora,4.6,1.1,0.0,715
Z,2021-12-15,959,zamora,5.8,1.1,0.0,715
Z,2021-12-16,820,zamora,6.0,1.4,0.0,715
Z,2021-12-17,616,zamora,5.3,1.1,0.0,715
Z,2021-12-18,979,zamora,3.5,1.1,0.0,715
Z,2021-12-19,1384,zamora,4.4,1.7,0.0,715
Z,2021-12-20,1475,zamora,3.2,1.1,0.8,715
Z,2021-12-21,2036,zamora,8.1,1.1,0.6,715
Z,2021-12-22,1741,zamora,8.9,1.7,0.0,715
Z,2021-12-23,1387,zamora,9.0,2.2,6.6,715
Z,2021-12-24,1597,zamora,8.7,3.3,0.0,715
Z,2021-12-25,2428,zamora,8.4,1.4,2.6,715
Z,2021-12-26,2844,zamora,9.0,2.5,7.4,715
Z,2021-12-27,3197,zamora,11.6,4.2,0.0,715
Z,2021-12-28,3830,zamora,11.4,4.4,0.0,715
Z,2021-12-29,3886,zamora,9.6,1.4,0.0,715
Z,2021-12-30,4319,zamora,7.5,1.1,0.0,715
Z,2021-12-31,3132,zamora,5.1,1.4,0.0,715
Z,2022-01-01,3512,zamora,6.4,1.1,0.0,715
Z,2022-01-02,4109,zamora,9.5,1.1,0.0,715
Z,2022-01-03,5156,zamora,8.0,1.1,0.0,715
Z,2022-01-04,5145,zamora,6.5,4.2,0.0,715
Z,2022-01-05,5563,zamora,2.5,2.2,3.6,715
Z,2022-01-06,3346,zamora,2.0,1.7,0.0,715
Z,2022-01-07,4990,zamora,5.2,1.7,0.0,715
Z,2022-01-08,4361,zamora,1.8,0.8,0.0,715
Z,2022-01-09,3746,zamora,9.6,3.3,0.0,715
Z,2022-01-10,4829,zamora,9.6,1.9,0.0,715
Z,2022-01-11,4480,zamora,6.4,0.8,0.0,715
Z,2022-01-12,4100,zamora,5.2,3.6,0.0,715
Z,2022-01-13,3870,zamora,2.8,1.1,0.0,715
Z,2022-01-14,3699,zamora,2.2,1.1,0.0,715
Z,2022-01-15,3212,zamora,1.5,0.8,0.0,715
Z,2022-01-16,2719,zamora,2.2,0.8,0.0,715
Z,2022-01-17,3661,zamora,3.3,0.8,0.0,715
Z,2022-01-18,3704,zamora,2.8,0.6,0.0,715
Z,2022-01-19,3333,zamora,3.8,0.6,0.0,715
Z,2022-01-20,3243,zamora,3.9,0.3,0.0,715
Z,2022-01-21,3173,zamora,1.8,2.8,0.0,715
Z,2022-01-22,2539,zamora,2.0,1.4,0.0,715
Z,2022-01-23,2136,zamora,2.2,0.8,0.0,715
Z,2022-01-24,2811,zamora,2.4,0.8,0.0,715
Z,2022-01-25,2606,zamora,2.8,1.1,0.0,715
Z,2022-01-26,2509,zamora,3.6,1.4,0.0,715
Z,2022-01-27,1920,zamora,5.2,1.1,0.0,715
Z,2022-01-28,1922,zamora,6.1,2.8,0.0,715
Z,2022-01-29,1612,zamora,5.0,1.1,0.0,715
Z,2022-01-30,1332,zamora,6.1,1.1,0.0,715
Z,2022-01-31,1475,zamora,4.2,0.8,0.0,715
Z,2022-02-01,1510,zamora,5.2,1.7,0.0,715
Z,2022-02-02,1426,zamora,7.9,1.1,0.0,715
Z,2022-02-03,1128,zamora,7.0,1.4,0.0,715
Z,2022-02-04,1154,zamora,5.6,0.8,0.0,715
Z,2022-02-05,787,zamora,5.2,2.2,0.0,715
Z,2022-02-06,505,zamora,3.6,0.8,0.0,715
Z,2022-02-07,453,zamora,5.2,0.8,0.0,715
