provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VI,2020-02-16,0,alava,13.0,5.6,0.0,513
VI,2020-02-17,2,alava,9.9,3.3,1.3,513
VI,2020-02-18,0,alava,5.0,1.7,0.4,513
VI,2020-02-19,1,alava,5.6,1.7,0.0,513
VI,2020-02-20,0,alava,6.8,2.5,0.0,513
VI,2020-02-21,2,alava,7.4,1.1,0.0,513
VI,2020-02-22,1,alava,9.1,1.9,0.0,513
VI,2020-02-23,1,alava,9.6,1.7,0.0,513
VI,2020-02-24,5,alava,9.6,3.3,0.0,513
VI,2020-02-25,7,alava,8.8,2.5,0.8,513
VI,2020-02-26,9,alava,6.1,2.5,1.7,513
VI,2020-02-27,8,alava,9.5,3.9,0.0,513
VI,2020-02-28,25,alava,9.8,2.2,0.0,513
VI,2020-02-29,17,alava,11.0,6.7,0.0,513
VI,2020-03-01,28,alava,11.6,7.5,11.1,513
VI,2020-03-02,41,alava,7.7,6.7,5.8,513
VI,2020-03-03,38,alava,10.8,6.7,3.4,513
VI,2020-03-04,49,alava,12.8,4.2,0.0,513
VI,2020-03-05,47,alava,8.7,6.4,2.6,513
VI,2020-03-06,55,alava,4.8,7.2,19.3,513
VI,2020-03-07,60,alava,6.2,4.7,1.0,513
VI,2020-03-08,49,alava,8.1,3.9,1.7,513
VI,2020-03-09,64,alava,7.4,3.6,1.0,513
VI,2020-03-10,97,alava,10.0,1.7,0.0,513
VI,2020-03-11,87,alava,12.9,1.4,0.0,513
VI,2020-03-12,106,alava,10.8,3.1,0.0,513
VI,2020-03-13,144,alava,6.2,3.6,0.0,513
VI,2020-03-14,146,alava,6.2,1.9,0.0,513
VI,2020-03-15,136,alava,9.0,1.4,22.2,513
VI,2020-03-16,164,alava,6.2,3.3,6.0,513
VI,2020-03-17,146,alava,8.4,2.5,0.1,513
VI,2020-03-18,181,alava,10.6,1.9,0.0,513
VI,2020-03-19,106,alava,12.2,4.2,0.0,513
VI,2020-03-20,172,alava,10.6,3.3,0.0,513
VI,2020-03-21,108,alava,10.7,2.8,0.0,513
VI,2020-03-22,92,alava,9.8,3.3,0.0,513
VI,2020-03-23,100,alava,11.2,2.2,0.0,513
VI,2020-03-24,105,alava,10.8,2.5,0.0,513
VI,2020-03-25,96,alava,8.2,4.2,0.0,513
VI,2020-03-26,99,alava,4.9,5.3,0.0,513
VI,2020-03-27,61,alava,5.4,3.1,0.0,513
VI,2020-03-28,62,alava,7.5,3.3,0.0,513
VI,2020-03-29,50,alava,5.7,3.3,0.8,513
VI,2020-03-30,83,alava,3.1,3.9,0.8,513
VI,2020-03-31,40,alava,4.0,3.3,0.7,513
VI,2020-04-01,50,alava,9.8,2.8,2.1,513
VI,2020-04-02,44,alava,8.0,3.9,0.0,513
VI,2020-04-03,63,alava,6.4,1.9,0.0,513
VI,2020-04-04,24,alava,8.6,5.0,0.0,513
VI,2020-04-05,32,alava,13.8,3.9,0.7,513
VI,2020-04-06,28,alava,13.0,2.2,2.3,513
VI,2020-04-07,24,alava,12.0,1.9,0.0,513
VI,2020-04-08,25,alava,14.1,2.8,0.0,513
VI,2020-04-09,22,alava,14.2,1.4,0.0,513
VI,2020-04-10,23,alava,13.9,2.2,0.0,513
VI,2020-04-11,10,alava,13.5,1.1,2.5,513
VI,2020-04-12,13,alava,15.1,1.7,3.5,513
VI,2020-04-13,10,alava,13.9,4.4,0.0,513
VI,2020-04-14,7,alava,12.1,4.2,0.4,513
VI,2020-04-15,11,alava,14.0,5.8,0.0,513
VI,2020-04-16,14,alava,15.0,4.7,11.1,513
VI,2020-04-17,8,alava,13.8,1.7,0.3,513
VI,2020-04-18,3,alava,14.6,2.8,6.5,513
VI,2020-04-19,11,alava,11.8,2.8,0.3,513
VI,2020-04-20,11,alava,13.6,2.2,0.0,513
VI,2020-04-21,3,alava,10.2,3.3,10.3,513
