provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AB,2020-02-16,0,albacete,13.1,0.3,0.0,676
AB,2020-02-17,0,albacete,11.4,0.8,0.0,676
AB,2020-02-18,0,albacete,10.4,1.1,0.0,676
AB,2020-02-19,0,albacete,12.2,0.3,0.0,676
AB,2020-02-20,0,albacete,10.6,0.8,0.0,676
AB,2020-02-21,0,albacete,10.5,0.8,0.0,676
AB,2020-02-22,0,albacete,11.6,0.3,0.0,676
AB,2020-02-23,0,albacete,11.9,0.6,0.0,676
AB,2020-02-24,1,albacete,12.2,0.8,0.0,676
AB,2020-02-25,0,albacete,12.4,1.9,0.0,676
AB,2020-02-26,0,albacete,11.3,1.9,0.0,676
AB,2020-02-27,0,albacete,11.1,1.4,0.0,676
AB,2020-02-28,2,albacete,12.8,0.6,0.0,676
AB,2020-02-29,4,albacete,12.8,2.8,0.1,676
AB,2020-03-01,9,albacete,12.6,3.6,0.0,676
AB,2020-03-02,9,albacete,10.0,4.7,3.0,676
AB,2020-03-03,8,albacete,9.9,6.1,0.0,676
AB,2020-03-04,9,albacete,13.4,3.3,0.0,676
AB,2020-03-05,9,albacete,12.4,4.2,0.0,676
AB,2020-03-06,12,albacete,8.8,2.5,0.2,676
AB,2020-03-07,26,albacete,8.4,1.4,0.0,676
AB,2020-03-08,24,albacete,10.8,1.7,0.0,676
AB,2020-03-09,29,albacete,11.9,1.9,0.0,676
AB,2020-03-10,41,albacete,14.9,0.8,0.0,676
AB,2020-03-11,60,albacete,17.8,0.8,0.0,676
AB,2020-03-12,82,albacete,17.6,1.1,0.0,676
AB,2020-03-13,106,albacete,15.8,1.4,0.0,676
AB,2020-03-14,95,albacete,14.2,0.6,0.0,676
AB,2020-03-15,181,albacete,15.8,2.2,3.7,676
AB,2020-03-16,137,albacete,7.2,3.1,2.9,676
AB,2020-03-17,128,albacete,7.4,2.2,0.2,676
AB,2020-03-18,114,albacete,10.9,1.7,0.0,676
AB,2020-03-19,149,albacete,9.0,1.7,0.0,676
AB,2020-03-20,131,albacete,9.8,1.9,0.0,676
AB,2020-03-21,129,albacete,8.2,1.1,12.6,676
AB,2020-03-22,126,albacete,6.8,0.8,2.9,676
AB,2020-03-23,112,albacete,10.4,1.7,11.0,676
AB,2020-03-24,107,albacete,7.8,2.5,1.1,676
AB,2020-03-25,78,albacete,9.0,0.8,0.2,676
AB,2020-03-26,141,albacete,9.8,1.4,0.1,676
AB,2020-03-27,64,albacete,4.3,1.1,37.7,676
AB,2020-03-28,68,albacete,7.9,0.8,0.0,676
AB,2020-03-29,102,albacete,10.0,1.4,0.0,676
AB,2020-03-30,109,albacete,9.9,0.8,31.8,676
AB,2020-03-31,77,albacete,9.8,1.7,16.7,676
AB,2020-04-01,60,albacete,12.0,0.6,0.2,676
AB,2020-04-02,61,albacete,10.8,0.0,16.1,676
AB,2020-04-03,30,albacete,11.2,0.3,0.0,676
AB,2020-04-04,72,albacete,11.2,2.2,0.0,676
AB,2020-04-05,48,albacete,12.8,1.7,0.0,676
AB,2020-04-06,51,albacete,14.6,0.6,0.0,676
AB,2020-04-07,28,albacete,14.9,1.1,0.2,676
AB,2020-04-08,41,albacete,13.8,1.1,0.0,676
AB,2020-04-09,59,albacete,12.4,0.8,0.0,676
AB,2020-04-10,25,albacete,14.2,0.8,0.0,676
AB,2020-04-11,14,albacete,15.0,1.7,0.0,676
AB,2020-04-12,20,albacete,14.1,1.1,0.0,676
AB,2020-04-13,28,albacete,15.0,0.3,0.2,676
AB,2020-04-14,25,albacete,12.6,1.4,4.0,676
AB,2020-04-15,24,albacete,14.6,1.4,12.2,676
AB,2020-04-16,14,albacete,14.4,1.9,0.0,676
AB,2020-04-17,8,albacete,16.4,1.4,0.0,676
AB,2020-04-18,21,albacete,14.6,0.6,0.0,676
AB,2020-04-19,23,albacete,14.8,0.6,0.0,676
AB,2020-04-20,20,albacete,13.1,1.9,0.4,676
AB,2020-04-21,14,albacete,10.8,0.8,3.5,676
