provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
A,2020-02-16,1,alicante,13.1,1.7,0.0,81
A,2020-02-17,1,alicante,14.4,1.1,0.0,81
A,2020-02-18,1,alicante,12.8,1.7,0.8,81
A,2020-02-19,1,alicante,13.8,1.4,0.0,81
A,2020-02-20,0,alicante,12.3,1.7,0.0,81
A,2020-02-21,1,alicante,11.2,1.7,0.0,81
A,2020-02-22,1,alicante,11.5,1.4,0.0,81
A,2020-02-23,2,alicante,13.3,1.7,0.0,81
A,2020-02-24,6,alicante,13.0,1.9,0.0,81
A,2020-02-25,1,alicante,18.2,3.1,0.0,81
A,2020-02-26,3,alicante,17.6,2.2,0.0,81
A,2020-02-27,4,alicante,17.5,2.2,0.0,81
A,2020-02-28,6,alicante,17.3,1.9,0.0,81
A,2020-02-29,8,alicante,16.2,2.2,0.0,81
A,2020-03-01,14,alicante,18.4,2.5,0.0,81
A,2020-03-02,16,alicante,18.9,5.0,1.0,81
A,2020-03-03,10,alicante,16.2,2.8,0.0,81
A,2020-03-04,15,alicante,20.5,3.6,0.0,81
A,2020-03-05,20,alicante,20.6,3.3,0.0,81
A,2020-03-06,25,alicante,15.6,3.6,0.0,81
A,2020-03-07,18,alicante,15.2,3.1,0.0,81
A,2020-03-08,41,alicante,16.2,1.7,0.0,81
A,2020-03-09,58,alicante,18.8,2.8,0.0,81
A,2020-03-10,106,alicante,14.4,1.9,0.0,81
A,2020-03-11,110,alicante,16.4,1.7,0.0,81
A,2020-03-12,126,alicante,17.4,1.7,0.0,81
A,2020-03-13,155,alicante,17.3,1.9,0.0,81
A,2020-03-14,173,alicante,16.5,1.9,0.0,81
A,2020-03-15,188,alicante,14.0,1.7,0.2,81
A,2020-03-16,215,alicante,14.5,1.7,5.2,81
A,2020-03-17,199,alicante,15.2,1.9,0.4,81
A,2020-03-18,177,alicante,15.4,3.6,0.0,81
A,2020-03-19,193,alicante,13.6,3.9,0.0,81
A,2020-03-20,220,alicante,13.2,3.1,0.0,81
A,2020-03-21,152,alicante,14.2,2.2,13.6,81
A,2020-03-22,151,alicante,13.4,1.1,12.6,81
A,2020-03-23,152,alicante,14.8,4.2,18.2,81
A,2020-03-24,116,alicante,13.3,4.4,6.0,81
A,2020-03-25,120,alicante,11.3,1.9,3.8,81
A,2020-03-26,110,alicante,13.0,2.5,0.0,81
A,2020-03-27,105,alicante,9.7,1.4,9.0,81
A,2020-03-28,92,alicante,12.0,1.4,0.0,81
A,2020-03-29,52,alicante,13.4,2.5,0.0,81
A,2020-03-30,66,alicante,12.6,4.2,0.0,81
A,2020-03-31,68,alicante,15.7,1.7,1.8,81
A,2020-04-01,67,alicante,16.2,1.9,8.6,81
A,2020-04-02,48,alicante,13.5,1.4,2.2,81
A,2020-04-03,57,alicante,14.8,2.2,0.0,81
A,2020-04-04,34,alicante,13.5,1.9,0.0,81
A,2020-04-05,27,alicante,13.4,2.2,0.0,81
A,2020-04-06,34,alicante,14.4,1.4,0.0,81
A,2020-04-07,23,alicante,14.8,2.5,0.0,81
A,2020-04-08,31,alicante,14.0,2.5,0.0,81
A,2020-04-09,34,alicante,15.0,2.2,0.0,81
A,2020-04-10,30,alicante,16.5,1.9,0.0,81
A,2020-04-11,16,alicante,15.4,2.2,0.0,81
A,2020-04-12,8,alicante,15.6,2.5,1.8,81
A,2020-04-13,16,alicante,16.0,1.9,0.2,81
A,2020-04-14,14,alicante,18.2,2.8,1.0,81
A,2020-04-15,19,alicante,16.4,1.9,6.6,81
A,2020-04-16,24,alicante,15.8,1.7,0.0,81
A,2020-04-17,12,alicante,17.3,2.5,0.2,81
A,2020-04-18,20,alicante,18.0,2.2,0.0,81
A,2020-04-19,6,alicante,18.4,2.5,6.8,81
A,2020-04-20,11,alicante,19.7,3.1,0.0,81
A,2020-04-21,20,alicante,17.8,3.1,0.0,81
A,2020-04-22,18,alicante,18.8,3.1,0.0,81
A,2020-04-23,21,alicante,16.4,2.2,0.0,81
A,2020-04-24,19,alicante,16.2,2.5,0.0,81
A,2020-04-25,15,alicante,15.6,1.7,0.0,81
A,2020-04-26,4,alicante,16.7,1.7,0.0,81
A,2020-04-27,6,alicante,20.0,2.2,8.8,81
